Country,Date,Agency,Rating,Outlook
Israel,10/1/2024,S&P,A,Negative
Israel,9/27/2024,Moody's,Baa1,Negative
Israel,8/12/2024,Fitch,A,Negative
Israel,4/18/2024,S&P,A+,Negative
Israel,4/2/2024,Fitch,A+,Negative
Israel,2/9/2024,Moody's,A2,Negative
Israel,10/24/2023,S&P,AA-,Negative
Israel,10/19/2023,Moody's,A1,Under Review
Israel,10/17/2023,Fitch,A+,Negative Watch
Israel,4/14/2023,Moody's,A1,Stable
Israel,4/8/2022,Moody's,A1,Positive
Israel,4/24/2020,Moody's,A1,Stable
Israel,8/3/2018,S&P,AA-,Stable
Israel,7/20/2018,Moody's,A1,Positive
Israel,8/4/2017,S&P,A+,Positive
Israel,11/11/2016,Fitch,A+,Stable
Israel,4/21/2016,Fitch,A,Positive
Israel,11/21/2014,Fitch,A,Stable
Israel,9/9/2011,S&P,A+,Stable
Israel,10/30/2008,S&P,A,Stable
Israel,4/17/2008,Moody's,A1,Stable
Israel,3/13/2008,Moody's,A2,Positive Watch
Israel,2/11/2008,Fitch,A,Stable
Israel,11/27/2007,S&P,A,Positive
Israel,2/13/2007,S&P,A-,Positive
Israel,12/18/2006,Fitch,A-,Positive
Israel,5/10/2006,Moody's,A2,Positive
Israel,1/11/2005,S&P,A-,Stable
Israel,12/16/2003,Fitch,A-,Stable
Israel,4/11/2002,S&P,A-,Negative
Israel,10/22/2001,Fitch,A-,Negative
Israel,5/21/2001,Fitch,A-,Negative Watch
Israel,10/23/2000,S&P,A-,Stable
Israel,9/21/2000,Fitch,A-,Stable
Israel,7/6/2000,Moody's,A2,Stable
Israel,4/18/2000,Moody's,A3,Positive Watch
Israel,2/16/2000,S&P,A-,Positive
Israel,12/10/1999,Moody's,A3,Positive
Israel,12/11/1995,Fitch,A-,N/A
Israel,12/4/1995,S&P,A-,Stable
Israel,11/24/1995,Fitch,BBB+,N/A
Israel,11/2/1995,Moody's,A3,Stable
Israel,9/21/1993,S&P,BBB+,Stable
Israel,1/19/1993,S&P,BBB,Stable
Israel,10/10/1991,S&P,BBB-,Positive
Israel,6/26/1989,S&P,BBB-,Negative
Israel,10/26/1988,S&P,BBB-,N/A
