Country,Date,Agency,Rating,Outlook
Italy,5/23/2025,Moody's,Baa3,Positive
Italy,4/12/2025,S&P,BBB+,Stable
Italy,10/25/2024,DBRS,BBB (high),Positive
Italy,10/18/2024,Fitch,BBB,Positive
Italy,11/17/2023,Moody's,Baa3,Stable
Italy,8/5/2022,Moody's,Baa3,Negative
Italy,7/26/2022,S&P,BBB,Stable
Italy,12/3/2021,Fitch,BBB,Stable
Italy,10/29/2021,DBRS,BBB (high),Stable
Italy,10/22/2021,S&P,BBB,Positive
Italy,10/23/2020,S&P,BBB,Stable
Italy,5/8/2020,DBRS,BBB (high),Negative
Italy,4/28/2020,Fitch,BBB-,Stable
Italy,10/26/2018,S&P,BBB,Negative
Italy,10/19/2018,Moody's,Baa3,Stable
Italy,8/31/2018,Fitch,BBB,Negative
Italy,5/25/2018,Moody's,Baa2,Under Review
Italy,10/27/2017,S&P,BBB,Stable
Italy,4/21/2017,Fitch,BBB,Stable
Italy,1/13/2017,DBRS,BBB (high),Stable
Italy,12/7/2016,Moody's,Baa2,Negative
Italy,10/21/2016,Fitch,BBB+,Negative
Italy,8/5/2016,DBRS,A (low),Under Review
Italy,12/5/2014,S&P,BBB-,Stable
Italy,4/25/2014,Fitch,BBB+,Stable
Italy,2/14/2014,Moody's,Baa2,Stable
Italy,7/9/2013,S&P,BBB,Negative
Italy,3/8/2013,Fitch,BBB+,Negative
Italy,3/6/2013,DBRS,A (low),Negative
Italy,8/8/2012,DBRS,A,Negative
Italy,7/13/2012,Moody's,Baa2,Negative
Italy,5/22/2012,DBRS,A (high),Under Review
Italy,2/13/2012,Moody's,A3,Negative
Italy,1/27/2012,Fitch,A-,Negative
Italy,1/13/2012,S&P,BBB+,Negative
Italy,12/16/2011,Fitch,A+,Negative Watch
Italy,12/5/2011,S&P,A,Negative Watch
Italy,11/9/2011,DBRS,A (high),Negative
Italy,10/7/2011,Fitch,A+,Negative
Italy,10/4/2011,Moody's,A2,Negative
Italy,9/19/2011,S&P,A,Negative
Italy,6/17/2011,Moody's,Aa2,Negative Watch
Italy,5/20/2011,S&P,A+,Negative
Italy,2/3/2011,DBRS,AA (low),Negative
Italy,10/19/2006,S&P,A+,Stable
Italy,10/19/2006,Fitch,AA-,Stable
Italy,5/25/2006,Fitch,AA,Negative Watch
Italy,8/8/2005,S&P,AA-,Negative
Italy,6/29/2005,Fitch,AA,Negative
Italy,7/7/2004,S&P,AA-,Stable
Italy,1/15/2003,S&P,AA,Negative
Italy,6/17/2002,Fitch,AA,Stable
Italy,5/15/2002,Moody's,Aa2,Stable
Italy,9/21/2000,Fitch,AA-,Stable
Italy,5/6/1998,S&P,AA,Stable
Italy,7/3/1996,Moody's,Aa3,Stable
Italy,5/1/1996,Moody's,A1,Stable
Italy,5/1/1996,Moody's,A1,Positive Watch
Italy,2/23/1995,Fitch,AA-,N/A
Italy,2/3/1995,S&P,AA,Negative
Italy,8/10/1994,Fitch,AA,N/A
Italy,3/1/1993,S&P,AA,Stable
Italy,2/25/1993,Moody's,Aa3,Negative Watch
Italy,8/13/1992,Moody's,Aa3,Stable
Italy,5/6/1992,S&P,AA+,Negative
Italy,7/1/1991,Moody's,Aa1,Stable
Italy,5/30/1991,S&P,AA+,Stable
Italy,6/26/1989,S&P,AA+,Positive
Italy,11/23/1988,S&P,AA+,N/A
Italy,10/10/1986,Moody's,Aaa,Stable
