Country,Date,Agency,Rating,Outlook
Japan,3/25/2022,Fitch,A,Stable
Japan,7/28/2020,Fitch,A,Negative
Japan,6/9/2020,S&P,A+,Stable
Japan,1/25/2019,DBRS,A (high),Stable
Japan,4/13/2018,S&P,A+,Positive
Japan,4/27/2017,Fitch,A,Stable
Japan,12/28/2016,DBRS,A,Stable
Japan,6/13/2016,Fitch,A,Negative
Japan,11/30/2015,DBRS,A (high),Negative
Japan,9/16/2015,S&P,A+,Stable
Japan,4/27/2015,Fitch,A,Stable
Japan,12/9/2014,Fitch,A+,Negative Watch
Japan,12/1/2014,Moody's,A1,Stable
Japan,11/20/2013,DBRS,A (high),Stable
Japan,5/22/2012,Fitch,A+,Negative
Japan,8/24/2011,Moody's,Aa3,Stable
Japan,5/31/2011,Moody's,Aa2,Negative Watch
Japan,5/27/2011,Fitch,AA,Negative
Japan,4/26/2011,S&P,AA-,Negative
Japan,2/22/2011,Moody's,Aa2,Negative
Japan,1/27/2011,S&P,AA-,Stable
Japan,1/26/2010,S&P,AA,Negative
Japan,5/18/2009,Moody's,Aa2,Stable
Japan,4/22/2007,S&P,AA,Stable
Japan,6/1/2006,Moody's,Aaa,Positive
Japan,5/23/2006,S&P,AA-,Positive
Japan,5/9/2005,Fitch,AA,Stable
Japan,4/7/2004,Moody's,Aaa,Stable
Japan,3/23/2004,S&P,AA-,Stable
Japan,5/30/2002,Moody's,Aa1,Stable
Japan,4/15/2002,S&P,AA-,Negative
Japan,11/27/2001,S&P,AA,Negative
Japan,11/26/2001,Fitch,AA,Negative
Japan,9/11/2001,S&P,AA+,Negative
Japan,3/2/2001,Fitch,AA+,Negative
Japan,2/22/2001,S&P,AA+,Stable
Japan,9/21/2000,Fitch,AA+,Stable
Japan,11/16/1998,Moody's,Aa1,Negative
Japan,9/1/1998,Fitch,AAA,Negative Watch
Japan,7/23/1998,Moody's,Aaa,Negative Watch
Japan,4/2/1998,Moody's,Aaa,Negative
Japan,8/10/1994,Fitch,AAA,N/A
Japan,6/26/1989,S&P,AAA,Stable
Japan,10/1/1981,Moody's,Aaa,Stable
Japan,2/28/1975,S&P,AAA,N/A
Japan,1/22/1959,S&P,BBB,N/A
