Country,Date,Agency,Rating,Outlook
Kenya,1/25/2025,Moody's,Caa1,Positive
Kenya,8/23/2024,S&P,B-,Stable
Kenya,8/2/2024,Fitch,B-,Stable
Kenya,7/8/2024,Moody's,Caa1,Negative
Kenya,7/28/2023,Moody's,B3,Negative
Kenya,7/20/2023,Fitch,B,Negative
Kenya,5/12/2023,Moody's,B3,Under Review
Kenya,2/24/2023,S&P,B,Negative
Kenya,12/14/2022,Fitch,B,Stable
Kenya,3/5/2021,S&P,B,Stable
Kenya,7/14/2020,S&P,B+,Negative
Kenya,6/19/2020,Fitch,B+,Negative
Kenya,5/7/2020,Moody's,B2,Negative
Kenya,2/13/2018,Moody's,B2,Stable
Kenya,2/9/2018,Fitch,B+,Stable
Kenya,10/2/2017,Moody's,B1,Under Review
Kenya,10/14/2016,S&P,B+,Stable
Kenya,10/16/2015,S&P,B+,Negative
Kenya,7/17/2015,Fitch,B+,Negative
Kenya,11/8/2012,Moody's,B1,Stable
Kenya,11/19/2010,S&P,B+,Stable
Kenya,1/16/2009,Fitch,B+,Stable
Kenya,8/4/2008,S&P,B,Positive
Kenya,3/10/2008,S&P,B,Stable
Kenya,2/4/2008,S&P,B,Negative
Kenya,1/30/2008,Fitch,B+,Negative
Kenya,12/12/2007,Fitch,B+,Stable
Kenya,9/8/2006,S&P,B+,Stable
