Country,Date,Agency,Rating,Outlook
Kuwait,7/15/2022,S&P,A+,Stable
Kuwait,1/27/2022,Fitch,AA-,Stable
Kuwait,7/16/2021,S&P,A+,Negative
Kuwait,2/2/2021,Fitch,AA,Negative
Kuwait,9/22/2020,Moody's,A1,Stable
Kuwait,7/17/2020,S&P,AA-,Negative
Kuwait,3/30/2020,Moody's,Aa2,Under Review
Kuwait,3/26/2020,S&P,AA-,Stable
Kuwait,5/26/2017,Moody's,Aa2,Stable
Kuwait,5/14/2016,Moody's,Aa2,Negative
Kuwait,3/4/2016,Moody's,Aa2,Negative Watch
Kuwait,11/21/2011,Fitch,AA,Stable
Kuwait,7/20/2011,S&P,AA,Stable
Kuwait,8/5/2010,Moody's,Aa2,Stable
Kuwait,6/9/2009,Moody's,Aa2,Negative
Kuwait,3/19/2009,Moody's,Aa2,Negative Watch
Kuwait,9/4/2008,Fitch,AA,Stable
Kuwait,7/25/2007,Moody's,Aa2,Stable
Kuwait,7/16/2007,S&P,AA-,Stable
Kuwait,10/4/2006,Moody's,Aa3,Stable
Kuwait,9/7/2006,Moody's,A2,Positive Watch
Kuwait,2/15/2006,Moody's,A2,Positive
Kuwait,6/10/2002,Fitch,AA-,Stable
Kuwait,5/15/2002,Moody's,A2,Stable
Kuwait,4/4/2002,S&P,A+,Stable
Kuwait,6/12/2001,Fitch,A+,Positive
Kuwait,9/21/2000,Fitch,A,Positive
Kuwait,11/15/1999,Moody's,Baa1,Positive
Kuwait,10/23/1997,S&P,A,Stable
Kuwait,1/29/1996,Moody's,Baa1,Stable
