Country,Date,Agency,Rating,Outlook
Latvia,11/15/2024,Fitch,A-,Stable
Latvia,5/31/2024,S&P,A,Stable
Latvia,7/28/2023,Fitch,A-,Positive
Latvia,12/6/2022,S&P,A+,Negative
Latvia,11/19/2021,DBRS,A,Stable
Latvia,5/21/2021,DBRS,A (low),Positive
Latvia,10/9/2020,Fitch,A-,Stable
Latvia,5/22/2020,DBRS,A (low),Stable
Latvia,4/10/2020,Fitch,A-,Negative
Latvia,2/21/2020,S&P,A+,Stable
Latvia,5/24/2019,DBRS,A (low),Positive
Latvia,9/21/2018,S&P,A,Stable
Latvia,9/22/2017,S&P,A-,Positive
Latvia,6/30/2017,DBRS,A (low),Stable
Latvia,2/13/2015,Moody's,A3,Stable
Latvia,6/20/2014,Fitch,A-,Stable
Latvia,5/30/2014,S&P,A-,Stable
Latvia,12/13/2013,S&P,BBB+,Positive
Latvia,7/9/2013,Fitch,BBB+,Stable
Latvia,6/13/2013,Moody's,Baa1,Stable
Latvia,6/10/2013,S&P,BBB+,Stable
Latvia,3/15/2013,Moody's,Baa2,Positive
Latvia,11/13/2012,Fitch,BBB,Positive
Latvia,11/9/2012,S&P,BBB,Positive
Latvia,5/2/2012,S&P,BBB-,Stable
Latvia,12/13/2011,Fitch,BBB-,Stable
Latvia,6/6/2011,Moody's,Baa3,Positive
Latvia,3/15/2011,Fitch,BBB-,Positive
Latvia,3/9/2011,S&P,BB+,Positive
Latvia,12/7/2010,S&P,BB+,Stable
Latvia,9/3/2010,Fitch,BB+,Stable
Latvia,3/31/2010,Moody's,Baa3,Stable
Latvia,2/12/2010,S&P,BB,Stable
Latvia,8/10/2009,S&P,BB,Negative
Latvia,4/23/2009,Moody's,Baa3,Negative
Latvia,4/8/2009,Fitch,BB+,Negative
Latvia,2/24/2009,S&P,BB+,Negative
Latvia,1/7/2009,Moody's,Baa1,Negative
Latvia,12/23/2008,Fitch,BBB-,Negative
Latvia,11/12/2008,Fitch,BBB-,Negative Watch
Latvia,11/7/2008,Moody's,A3,Negative
Latvia,10/27/2008,S&P,BBB,Negative
Latvia,10/3/2008,Fitch,BBB,Negative
Latvia,9/25/2008,Moody's,A2,Negative
Latvia,1/31/2008,Fitch,BBB+,Negative
Latvia,9/12/2007,Moody's,A2,Stable
Latvia,8/17/2007,Fitch,BBB+,Stable
Latvia,5/17/2007,S&P,BBB+,Negative
Latvia,4/5/2007,Fitch,A-,Negative
Latvia,2/19/2007,S&P,A-,Negative
Latvia,3/9/2006,Moody's,A2,Positive
Latvia,8/26/2005,Fitch,A-,Stable
Latvia,7/29/2004,S&P,A-,Stable
Latvia,7/7/2004,Fitch,A-,Positive
Latvia,11/4/2003,Fitch,BBB+,Positive
Latvia,7/29/2003,S&P,BBB+,Positive
Latvia,7/21/2003,Fitch,BBB+,Stable
Latvia,11/12/2002,Moody's,A2,Stable
Latvia,8/20/2002,S&P,BBB+,Stable
Latvia,8/9/2001,S&P,BBB,Positive
Latvia,7/17/2001,Fitch,BBB,Positive
Latvia,9/21/2000,Fitch,BBB,Stable
Latvia,6/29/1998,Fitch,BBB,N/A
Latvia,12/17/1997,Moody's,Baa2,Stable
Latvia,1/16/1997,S&P,BBB,Stable
