Country,Date,Agency,Rating,Outlook
Lithuania,5/31/2024,S&P,A,Stable
Lithuania,12/2/2022,S&P,A+,Negative
Lithuania,11/19/2021,DBRS,A (high),Stable
Lithuania,5/21/2021,DBRS,A,Positive
Lithuania,2/12/2021,Moody's,A2,Stable
Lithuania,5/22/2020,DBRS,A,Stable
Lithuania,2/21/2020,S&P,A+,Stable
Lithuania,1/31/2020,Fitch,A,Stable
Lithuania,1/10/2020,DBRS,A,Positive
Lithuania,8/23/2019,Moody's,A3,Positive
Lithuania,7/12/2019,DBRS,A,Stable
Lithuania,8/10/2018,Fitch,A-,Positive
Lithuania,3/2/2018,S&P,A,Stable
Lithuania,9/1/2017,S&P,A-,Positive
Lithuania,7/21/2017,DBRS,A (low),Stable
Lithuania,5/8/2015,Moody's,A3,Stable
Lithuania,9/5/2014,Moody's,Baa1,Positive
Lithuania,6/25/2014,Fitch,A-,Stable
Lithuania,4/11/2014,S&P,A-,Stable
Lithuania,10/25/2013,S&P,BBB,Positive
Lithuania,4/5/2013,Fitch,BBB+,Stable
Lithuania,12/13/2011,Fitch,BBB,Stable
Lithuania,5/4/2011,Fitch,BBB,Positive
Lithuania,3/31/2010,Moody's,Baa1,Stable
Lithuania,3/8/2010,Fitch,BBB,Stable
Lithuania,2/3/2010,S&P,BBB,Stable
Lithuania,9/28/2009,Moody's,Baa1,Negative
Lithuania,8/17/2009,S&P,BBB,Negative
Lithuania,4/23/2009,Moody's,A3,Negative
Lithuania,4/8/2009,Fitch,BBB,Negative
Lithuania,3/24/2009,S&P,BBB,Negative
Lithuania,2/10/2009,Moody's,A2,Negative Watch
Lithuania,12/22/2008,Fitch,BBB+,Negative
Lithuania,11/7/2008,Moody's,A2,Negative
Lithuania,10/27/2008,S&P,BBB+,Negative
Lithuania,10/3/2008,Fitch,A-,Negative
Lithuania,1/30/2008,S&P,A-,Negative
Lithuania,12/7/2007,Fitch,A,Negative
Lithuania,5/23/2007,S&P,A,Negative
Lithuania,10/23/2006,Fitch,A,Stable
Lithuania,9/12/2006,Moody's,A2,Stable
Lithuania,5/18/2006,S&P,A,Stable
Lithuania,3/9/2006,Moody's,A3,Positive Watch
Lithuania,12/5/2005,S&P,A,Positive
Lithuania,2/1/2005,S&P,A-,Positive
Lithuania,7/7/2004,Fitch,A-,Positive
Lithuania,2/5/2004,S&P,A-,Stable
Lithuania,1/28/2004,Fitch,BBB+,Positive
Lithuania,12/11/2003,Moody's,A3,Positive
Lithuania,11/4/2003,Fitch,BBB,Positive
Lithuania,8/19/2003,Moody's,Baa1,Positive Watch
Lithuania,7/29/2003,S&P,BBB+,Positive
Lithuania,3/14/2003,Moody's,Baa1,Positive
Lithuania,2/17/2003,S&P,BBB+,Stable
Lithuania,12/17/2002,Fitch,BBB,Stable
Lithuania,11/12/2002,Moody's,Baa1,Stable
Lithuania,4/23/2002,Moody's,Ba1,Positive
Lithuania,4/22/2002,S&P,BBB,Stable
Lithuania,2/28/2002,Fitch,BBB-,Positive
Lithuania,5/16/2001,Fitch,BBB-,Stable
Lithuania,9/21/2000,Fitch,BB+,Stable
Lithuania,12/16/1997,Moody's,Ba1,Stable
Lithuania,6/9/1997,S&P,BBB-,Stable
Lithuania,1/28/1997,Fitch,BB+,N/A
Lithuania,9/4/1996,Moody's,Ba2,Stable
