Country,Date,Agency,Rating,Outlook
Malaysia,6/27/2022,S&P,A-,Stable
Malaysia,12/4/2020,Fitch,BBB+,Stable
Malaysia,6/27/2020,S&P,A-,Negative
Malaysia,4/9/2020,Fitch,A-,Negative
Malaysia,1/11/2016,Moody's,A3,Stable
Malaysia,6/30/2015,Fitch,A-,Stable
Malaysia,11/20/2013,Moody's,A3,Positive
Malaysia,7/30/2013,Fitch,A-,Negative
Malaysia,11/9/2008,Fitch,A-,Stable
Malaysia,5/15/2008,S&P,A-,Stable
Malaysia,1/22/2008,Fitch,A-,Positive
Malaysia,7/31/2007,S&P,A-,Positive
Malaysia,12/16/2004,Moody's,A3,Stable
Malaysia,11/8/2004,Fitch,A-,Stable
Malaysia,9/29/2004,Moody's,Baa1,Positive Watch
Malaysia,4/6/2004,Fitch,BBB+,Positive
Malaysia,2/5/2004,Moody's,Baa1,Positive
Malaysia,10/7/2003,S&P,A-,Stable
Malaysia,9/24/2002,Moody's,Baa1,Stable
Malaysia,8/19/2002,S&P,BBB+,Stable
Malaysia,8/7/2002,Fitch,BBB+,Stable
Malaysia,6/24/2002,Moody's,Baa2,Positive Watch
Malaysia,4/9/2002,Fitch,BBB,Positive
Malaysia,4/2/2002,Moody's,Baa2,Positive
Malaysia,3/4/2002,S&P,BBB,Positive
Malaysia,9/12/2001,Fitch,BBB,Stable
Malaysia,4/4/2001,S&P,BBB,Stable
Malaysia,10/17/2000,Moody's,Baa2,Stable
Malaysia,9/21/2000,Fitch,BBB,Positive
Malaysia,8/31/2000,S&P,BBB,Positive
Malaysia,7/12/2000,Moody's,Baa3,Positive Watch
Malaysia,12/7/1999,Fitch,BBB,N/A
Malaysia,11/10/1999,S&P,BBB,Stable
Malaysia,10/7/1999,Moody's,Baa3,Positive
Malaysia,9/9/1999,Fitch,BBB-,Negative Watch
Malaysia,4/26/1999,Fitch,BBB-,N/A
Malaysia,4/20/1999,Moody's,Baa3,Stable
Malaysia,3/31/1999,S&P,BBB-,Stable
Malaysia,12/3/1998,Moody's,Baa3,Negative
Malaysia,9/15/1998,S&P,BBB-,Negative
Malaysia,9/14/1998,Moody's,Baa3,Stable
Malaysia,9/14/1998,Moody's,Baa3,Negative Watch
Malaysia,9/9/1998,Fitch,BB,N/A
Malaysia,8/13/1998,Fitch,BBB-,N/A
Malaysia,7/24/1998,S&P,BBB+,Negative
Malaysia,7/23/1998,Moody's,Baa2,Stable
Malaysia,6/4/1998,Moody's,A2,Negative Watch
Malaysia,4/17/1998,S&P,A-,Stable
Malaysia,12/29/1997,Moody's,A2,Stable
Malaysia,12/23/1997,S&P,A,Negative
Malaysia,9/23/1997,S&P,A+,Negative
Malaysia,8/18/1997,S&P,A+,Stable
Malaysia,3/28/1996,S&P,A+,Positive
Malaysia,3/15/1995,Moody's,A1,Stable
Malaysia,1/20/1995,Moody's,A2,Positive Watch
Malaysia,12/29/1994,S&P,A+,Stable
Malaysia,3/11/1993,Moody's,A2,Stable
Malaysia,1/18/1993,S&P,A,Positive
Malaysia,7/8/1991,S&P,A,Stable
Malaysia,7/24/1990,S&P,A-,Positive
Malaysia,3/12/1990,Moody's,A3,Stable
Malaysia,6/26/1989,S&P,A-,Stable
Malaysia,3/8/1989,S&P,A-,N/A
Malaysia,1/18/1986,Moody's,Baa1,Stable
