Country,Date,Agency,Rating,Outlook
Malta,11/18/2022,Moody's,A2,Stable
Malta,8/6/2021,Moody's,A2,Negative
Malta,4/17/2020,Fitch,A+,Stable
Malta,3/13/2020,S&P,A-,Stable
Malta,7/19/2019,Moody's,A2,Stable
Malta,7/12/2019,Fitch,A+,Positive
Malta,2/23/2018,Moody's,A3,Positive
Malta,2/23/2018,DBRS,A (high),Stable
Malta,9/29/2017,S&P,A-,Positive
Malta,8/25/2017,DBRS,A,Positive
Malta,8/11/2017,Fitch,A+,Stable
Malta,10/14/2016,S&P,A-,Stable
Malta,8/19/2016,Fitch,A,Positive
Malta,7/10/2015,S&P,BBB+,Positive
Malta,4/3/2015,DBRS,A,Stable
Malta,10/4/2013,Moody's,A3,Stable
Malta,9/20/2013,Fitch,A,Stable
Malta,1/16/2013,S&P,BBB+,Stable
Malta,2/13/2012,Moody's,A3,Negative
Malta,1/13/2012,S&P,A-,Negative
Malta,12/5/2011,S&P,A,Negative Watch
Malta,9/6/2011,Moody's,A2,Negative
Malta,1/3/2008,Moody's,A1,Stable
Malta,7/12/2007,Fitch,A+,Stable
Malta,7/10/2007,Moody's,A2,Positive
Malta,5/17/2007,Moody's,A3,Positive Watch
Malta,3/9/2006,Moody's,A3,Positive
Malta,11/4/2003,Fitch,A,Positive
Malta,7/15/2003,Moody's,A3,Stable
Malta,9/21/2000,Fitch,A,Stable
Malta,5/2/2000,S&P,A,Stable
Malta,3/10/1999,S&P,A,Negative
Malta,2/17/1999,Moody's,A3,Negative
Malta,6/19/1998,S&P,A+,Negative
Malta,3/25/1998,Moody's,A3,Stable
Malta,1/22/1998,Moody's,A2,Negative Watch
Malta,7/3/1997,Moody's,A2,Negative
Malta,7/20/1996,Fitch,A,N/A
Malta,5/6/1996,S&P,A+,Stable
Malta,3/14/1994,S&P,A,Stable
Malta,3/14/1994,Moody's,A2,Stable
