Country,Date,Agency,Rating,Outlook
Mexico,11/14/2024,Moody's,Baa2,Negative
Mexico,7/8/2022,Moody's,Baa2,Stable
Mexico,7/6/2022,S&P,BBB,Stable
Mexico,5/6/2021,DBRS,BBB,Stable
Mexico,5/6/2020,DBRS,BBB,Negative
Mexico,4/17/2020,Moody's,Baa1,Negative
Mexico,4/16/2020,Fitch,BBB-,Stable
Mexico,3/26/2020,S&P,BBB,Negative
Mexico,12/19/2019,DBRS,BBB (high),Negative
Mexico,6/5/2019,Fitch,BBB,Stable
Mexico,6/5/2019,Moody's,A3,Negative
Mexico,3/1/2019,S&P,BBB+,Negative
Mexico,10/31/2018,Fitch,BBB+,Negative
Mexico,4/11/2018,Moody's,A3,Stable
Mexico,8/3/2017,Fitch,BBB+,Stable
Mexico,7/19/2017,S&P,BBB+,Stable
Mexico,8/23/2016,S&P,BBB+,Negative
Mexico,3/31/2016,Moody's,A3,Negative
Mexico,3/31/2014,DBRS,BBB (high),Stable
Mexico,2/5/2014,Moody's,A3,Stable
Mexico,12/19/2013,S&P,BBB+,Stable
Mexico,5/8/2013,Fitch,BBB+,Stable
Mexico,3/12/2013,S&P,BBB,Positive
Mexico,2/12/2013,DBRS,BBB,Positive
Mexico,12/14/2009,S&P,BBB,Stable
Mexico,11/23/2009,Fitch,BBB,Stable
Mexico,5/11/2009,S&P,BBB+,Negative
Mexico,11/10/2008,Fitch,BBB+,Negative
Mexico,10/8/2007,S&P,BBB+,Stable
Mexico,9/19/2007,Fitch,BBB+,Stable
Mexico,7/2/2007,S&P,BBB,Positive
Mexico,3/29/2007,Fitch,BBB,Positive
Mexico,7/28/2006,DBRS,BBB,Stable
Mexico,12/7/2005,Fitch,BBB,Stable
Mexico,1/31/2005,S&P,BBB,Stable
Mexico,1/6/2005,Moody's,Baa1,Stable
Mexico,3/12/2003,Moody's,Baa2,Positive
Mexico,2/7/2002,S&P,BBB-,Stable
Mexico,2/6/2002,Moody's,Baa2,Stable
Mexico,1/15/2002,Fitch,BBB-,Stable
Mexico,9/4/2001,Moody's,Baa3,Positive
Mexico,9/21/2000,Fitch,BB+,Positive
Mexico,5/3/2000,Fitch,BB+,N/A
Mexico,4/11/2000,Fitch,BB,Negative Watch
Mexico,3/13/2000,S&P,BB+,Positive
Mexico,3/7/2000,Moody's,Baa3,Stable
Mexico,2/2/2000,Moody's,Ba1,Positive Watch
Mexico,9/15/1999,S&P,BB,Positive
Mexico,8/10/1999,Moody's,Ba1,Positive
Mexico,6/21/1999,Moody's,Ba2,Positive Watch
Mexico,6/9/1999,Moody's,Ba2,Stable
Mexico,2/10/1999,Moody's,Ba2,Negative
Mexico,10/2/1998,S&P,BB,Stable
Mexico,9/3/1998,Moody's,Ba2,Negative Watch
Mexico,9/2/1997,S&P,BB,Positive
Mexico,9/3/1996,S&P,BB,Stable
Mexico,2/28/1996,S&P,BB,Negative
Mexico,8/30/1995,Fitch,BB,N/A
Mexico,3/23/1995,S&P,BB+,Negative
Mexico,2/10/1995,S&P,BB+,Stable
Mexico,12/23/1994,S&P,BB+,N/A
Mexico,11/18/1993,S&P,BB+,Positive
Mexico,7/30/1992,S&P,BB+,Stable
Mexico,12/18/1990,Moody's,Ba2,Stable
