Country,Date,Agency,Rating,Outlook
Morocco,3/29/2024,S&P,BB+,Positive
Morocco,7/1/2022,Moody's,Ba1,Stable
Morocco,4/2/2021,S&P,BB+,Stable
Morocco,2/4/2021,Moody's,Ba1,Negative
Morocco,10/23/2020,Fitch,BB+,Stable
Morocco,10/2/2020,S&P,BBB-,Negative
Morocco,4/28/2020,Fitch,BBB-,Negative
Morocco,10/4/2019,S&P,BBB-,Stable
Morocco,11/20/2018,Moody's,Ba1,Stable
Morocco,10/5/2018,S&P,BBB-,Negative
Morocco,2/24/2017,Moody's,Ba1,Positive
Morocco,9/2/2014,Moody's,Ba1,Stable
Morocco,5/16/2014,S&P,BBB-,Stable
Morocco,2/11/2013,Moody's,Ba1,Negative
Morocco,10/11/2012,S&P,BBB-,Negative
Morocco,3/23/2010,S&P,BBB-,Stable
Morocco,4/11/2008,S&P,BB+,Stable
Morocco,4/19/2007,Fitch,BBB-,Stable
Morocco,3/26/2007,S&P,BB+,Positive
Morocco,8/9/2005,S&P,BB+,Stable
Morocco,3/8/2004,S&P,BB,Positive
Morocco,6/18/2003,Moody's,Ba1,Stable
Morocco,2/21/2003,S&P,BB,Stable
Morocco,12/3/2001,Moody's,Ba1,Negative
Morocco,11/2/2001,S&P,BB,Negative
Morocco,7/22/1999,Moody's,Ba1,Stable
Morocco,3/2/1998,S&P,BB,Stable
