Country,Date,Agency,Rating,Outlook
Netherlands,11/20/2015,S&P,AAA,Stable
Netherlands,5/22/2015,S&P,AA+,Positive
Netherlands,7/11/2014,Fitch,AAA,Stable
Netherlands,3/7/2014,Moody's,Aaa,Stable
Netherlands,11/29/2013,S&P,AA+,Stable
Netherlands,2/5/2013,Fitch,AAA,Negative
Netherlands,7/23/2012,Moody's,Aaa,Negative
Netherlands,1/13/2012,S&P,AAA,Negative
Netherlands,12/5/2011,S&P,AAA,Negative Watch
Netherlands,5/12/2011,DBRS,AAA,Stable
Netherlands,9/21/2000,Fitch,AAA,Stable
Netherlands,10/1/1998,S&P,AAA,N/A
Netherlands,8/10/1994,Fitch,AAA,N/A
Netherlands,1/25/1990,S&P,AAA,Stable
Netherlands,1/10/1986,Moody's,Aaa,Stable
