Country,Date,Agency,Rating,Outlook
Nigeria,5/30/2025,Moody's,B3,Stable
Nigeria,4/11/2025,Fitch,B,Stable
Nigeria,5/3/2024,Fitch,B-,Positive
Nigeria,12/8/2023,Moody's,Caa1,Positive
Nigeria,8/4/2023,S&P,B-,Stable
Nigeria,2/3/2023,S&P,B-,Negative
Nigeria,1/27/2023,Moody's,Caa1,Stable
Nigeria,11/11/2022,Fitch,B-,Stable
Nigeria,10/21/2022,Moody's,B3,Under Review
Nigeria,11/29/2021,Moody's,B2,Stable
Nigeria,9/30/2020,Fitch,B,Stable
Nigeria,4/6/2020,Fitch,B,Negative
Nigeria,3/26/2020,S&P,B-,Stable
Nigeria,2/28/2020,S&P,B,Negative
Nigeria,12/19/2019,Fitch,B+,Negative
Nigeria,12/19/2019,Fitch,B+,Negative
Nigeria,12/4/2019,Moody's,B2,Negative
Nigeria,11/2/2018,Fitch,B+,Stable
Nigeria,11/7/2017,Moody's,B2,Stable
Nigeria,1/25/2017,Fitch,B+,Negative
Nigeria,9/16/2016,S&P,B,Stable
Nigeria,6/23/2016,Fitch,B+,Stable
Nigeria,4/29/2016,Moody's,B1,Stable
Nigeria,3/18/2016,S&P,B+,Negative
Nigeria,3/4/2016,Moody's,Ba3,Negative Watch
Nigeria,3/30/2015,Fitch,BB-,Negative
Nigeria,3/20/2015,S&P,B+,Stable
Nigeria,2/10/2015,S&P,BB-,Negative Watch
Nigeria,3/27/2014,S&P,BB-,Negative
Nigeria,3/21/2014,S&P,BB-,Negative Watch
Nigeria,11/7/2012,S&P,BB-,Stable
Nigeria,11/7/2012,Moody's,Ba3,Stable
Nigeria,12/29/2011,S&P,B+,Positive
Nigeria,11/21/2011,Fitch,BB-,Stable
Nigeria,10/21/2011,Fitch,BB-,Stable
Nigeria,10/22/2010,Fitch,BB-,Negative
Nigeria,8/21/2009,S&P,B+,Stable
Nigeria,3/27/2009,S&P,BB-,Negative
Nigeria,2/6/2006,S&P,BB-,Stable
Nigeria,1/30/2006,Fitch,BB-,Stable
