Country,Date,Agency,Rating,Outlook
Peru,11/5/2024,Fitch,BBB,Stable
Peru,9/20/2024,Moody's,Baa1,Stable
Peru,4/25/2024,S&P,BBB-,Stable
Peru,1/31/2023,Moody's,Baa1,Negative
Peru,12/12/2022,S&P,BBB,Negative
Peru,10/20/2022,Fitch,BBB,Negative
Peru,3/18/2022,S&P,BBB,Stable
Peru,10/18/2021,S&P,BBB+,Negative
Peru,10/15/2021,Fitch,BBB,Stable
Peru,9/1/2021,Moody's,Baa1,Stable
Peru,5/21/2021,Moody's,A3,Negative
Peru,12/15/2020,Fitch,BBB+,Negative
Peru,4/4/2017,DBRS,N/A,N/A
Peru,7/2/2014,Moody's,A3,Stable
Peru,5/30/2014,DBRS,BBB (high),Stable
Peru,10/23/2013,Fitch,BBB+,Stable
Peru,8/19/2013,S&P,BBB+,Stable
Peru,4/29/2013,DBRS,BBB,Positive
Peru,8/28/2012,S&P,BBB,Positive
Peru,8/16/2012,Moody's,Baa2,Positive
Peru,2/23/2012,DBRS,BBB (low),Positive
Peru,11/10/2011,Fitch,BBB,Stable
Peru,8/30/2011,S&P,BBB,Stable
Peru,3/21/2011,Moody's,Baa3,Positive
Peru,8/23/2010,S&P,BBB-,Positive
Peru,6/2/2010,Fitch,BBB-,Positive
Peru,12/16/2009,Moody's,Baa3,Stable
Peru,9/29/2009,Moody's,Ba1,Positive Watch
Peru,8/19/2008,Moody's,Ba1,Stable
Peru,7/14/2008,S&P,BBB-,Stable
Peru,4/2/2008,Fitch,BBB-,Stable
Peru,10/19/2007,DBRS,BBB (low),Stable
Peru,7/23/2007,S&P,BB+,Positive
Peru,7/16/2007,Moody's,Ba2,Stable
Peru,3/8/2007,Moody's,Ba3,Positive Watch
Peru,3/6/2007,Fitch,BB+,Positive
Peru,11/20/2006,S&P,BB+,Stable
Peru,11/7/2006,Moody's,Ba3,Positive
Peru,8/31/2006,Fitch,BB,Stable
Peru,11/4/2005,Fitch,BB,Positive
Peru,7/11/2005,S&P,BB,Positive
Peru,11/18/2004,Fitch,BB,Stable
Peru,6/8/2004,S&P,BB,Stable
Peru,6/4/2004,Fitch,BB-,Positive
Peru,10/22/2003,Fitch,BB-,Stable
Peru,8/21/2002,Fitch,BB-,Negative
Peru,7/2/2002,S&P,BB-,Stable
Peru,4/29/2002,Fitch,BB-,Stable
Peru,1/24/2002,S&P,BB-,Positive
Peru,4/18/2001,Fitch,BB-,Negative Watch
Peru,11/8/2000,Fitch,BB,Negative Watch
Peru,11/1/2000,S&P,BB-,Stable
Peru,9/21/2000,Fitch,BB,Stable
Peru,9/19/2000,S&P,BB,Negative
Peru,6/16/2000,S&P,BB,Stable
Peru,5/19/2000,S&P,BB,Negative Watch
Peru,10/14/1999,Fitch,BB,N/A
Peru,3/27/1998,Moody's,Ba3,Stable
Peru,2/13/1998,Moody's,B2,Positive Watch
Peru,12/18/1997,S&P,BB,Stable
Peru,2/5/1996,Moody's,B2,Stable
