Country,Date,Agency,Rating,Outlook
Philippines,11/25/2024,S&P,BBB+,Positive
Philippines,5/22/2023,Fitch,BBB,Stable
Philippines,7/12/2021,Fitch,BBB,Negative
Philippines,5/7/2020,Fitch,BBB,Stable
Philippines,2/11/2020,Fitch,BBB,Positive
Philippines,4/30/2019,S&P,BBB+,Stable
Philippines,4/26/2018,S&P,BBB,Positive
Philippines,12/10/2017,Fitch,BBB,Stable
Philippines,9/24/2015,Fitch,BBB-,Positive
Philippines,12/11/2014,Moody's,Baa2,Stable
Philippines,5/8/2014,S&P,BBB,Stable
Philippines,10/3/2013,Moody's,Baa3,Positive
Philippines,7/25/2013,Moody's,Ba1,Positive Watch
Philippines,5/2/2013,S&P,BBB-,Stable
Philippines,3/27/2013,Fitch,BBB-,Stable
Philippines,12/20/2012,S&P,BB+,Positive
Philippines,10/29/2012,Moody's,Ba1,Stable
Philippines,7/4/2012,S&P,BB+,Stable
Philippines,5/29/2012,Moody's,Ba2,Positive
Philippines,12/16/2011,S&P,BB,Positive
Philippines,6/23/2011,Fitch,BB+,Stable
Philippines,6/15/2011,Moody's,Ba2,Stable
Philippines,1/6/2011,Moody's,Ba3,Positive
Philippines,11/12/2010,S&P,BB,Stable
Philippines,7/23/2009,Moody's,Ba3,Stable
Philippines,1/24/2008,Moody's,B1,Positive
Philippines,11/2/2006,Moody's,B1,Stable
Philippines,2/12/2006,Fitch,BB,Stable
Philippines,2/9/2006,S&P,BB-,Stable
Philippines,7/13/2005,Moody's,B1,Negative
Philippines,7/11/2005,S&P,BB-,Negative
Philippines,7/10/2005,Fitch,BB,Negative
Philippines,5/26/2005,Fitch,BB,Stable
Philippines,2/16/2005,Moody's,B1,Stable
Philippines,1/17/2005,S&P,BB-,Stable
Philippines,12/7/2004,Fitch,BB,Negative
Philippines,11/8/2004,Moody's,Ba2,Negative Watch
Philippines,1/27/2004,Moody's,Ba2,Negative
Philippines,11/25/2003,Moody's,Ba1,Negative Watch
Philippines,6/12/2003,Fitch,BB,Stable
Philippines,4/24/2003,S&P,BB,Stable
Philippines,1/8/2003,Moody's,Ba1,Negative
Philippines,11/25/2002,Fitch,BB+,Negative
Philippines,10/28/2002,S&P,BB+,Negative
Philippines,4/3/2002,S&P,BB+,Stable
Philippines,2/3/2002,Moody's,Ba1,Stable
Philippines,5/3/2001,Moody's,Ba1,Negative
Philippines,1/17/2001,Fitch,BB+,Negative Watch
Philippines,10/19/2000,S&P,BB+,Negative
Philippines,9/21/2000,Fitch,BB+,Stable
Philippines,7/8/1999,Fitch,BB+,N/A
Philippines,1/6/1999,S&P,BB+,Stable
Philippines,2/23/1998,S&P,BB+,Negative
Philippines,9/26/1997,S&P,BB+,Stable
Philippines,5/18/1997,Moody's,Ba1,Stable
Philippines,2/21/1997,S&P,BB+,Positive
Philippines,1/23/1997,Moody's,Ba2,Positive Watch
Philippines,5/30/1995,S&P,BB,Positive
Philippines,5/12/1995,Moody's,Ba2,Stable
Philippines,11/2/1994,S&P,BB-,Positive
Philippines,7/2/1993,S&P,BB-,Stable
Philippines,7/1/1993,Moody's,Ba3,Stable
