Country,Date,Agency,Rating,Outlook
Poland,10/12/2018,S&P,A-,Stable
Poland,4/13/2018,S&P,BBB+,Positive
Poland,6/9/2017,DBRS,A,Stable
Poland,5/12/2017,Moody's,A2,Stable
Poland,12/2/2016,S&P,BBB+,Stable
Poland,6/10/2016,DBRS,A,Negative
Poland,5/14/2016,Moody's,A2,Negative
Poland,1/15/2016,S&P,BBB+,Negative
Poland,12/11/2015,DBRS,A,Stable
Poland,2/6/2015,S&P,A-,Positive
Poland,8/23/2013,Fitch,A-,Stable
Poland,2/21/2013,Fitch,A-,Positive
Poland,10/27/2008,S&P,A-,Stable
Poland,2/21/2008,S&P,A-,Positive
Poland,3/29/2007,S&P,A-,Stable
Poland,1/18/2007,Fitch,A-,Stable
Poland,4/24/2006,S&P,BBB+,Stable
Poland,3/23/2005,Fitch,BBB+,Positive
Poland,3/22/2005,S&P,BBB+,Positive
Poland,10/7/2004,S&P,BBB+,Stable
Poland,5/6/2004,Fitch,BBB+,Stable
Poland,11/4/2003,Fitch,BBB+,Positive
Poland,6/23/2003,S&P,BBB+,Negative
Poland,11/12/2002,Moody's,A2,Stable
Poland,9/21/2002,Fitch,BBB+,Stable
Poland,8/22/2001,S&P,BBB+,Stable
Poland,4/12/2001,S&P,BBB+,Positive
Poland,5/15/2000,S&P,BBB+,Stable
Poland,9/2/1999,Moody's,Baa1,Stable
Poland,6/10/1999,S&P,BBB,Positive
Poland,11/19/1998,Fitch,BBB+,N/A
Poland,6/3/1997,S&P,BBB-,Positive
Poland,6/7/1996,Fitch,BBB,N/A
Poland,4/29/1996,Fitch,BB+,Negative Watch
Poland,4/10/1996,S&P,BBB-,Stable
Poland,10/26/1995,Fitch,BB+,N/A
Poland,6/1/1995,S&P,BB,Positive
Poland,6/1/1995,Moody's,Baa3,Stable
