Country,Date,Agency,Rating,Outlook
Portugal,2/28/2025,S&P,A,Positive
Portugal,1/17/2025,DBRS,A (high),Stable
Portugal,9/20/2024,Fitch,A-,Positive
Portugal,7/19/2024,DBRS,A,Positive
Portugal,3/1/2024,S&P,A-,Positive
Portugal,11/17/2023,Moody's,A3,Stable
Portugal,9/29/2023,Fitch,A-,Stable
Portugal,9/8/2023,S&P,BBB+,Positive
Portugal,7/21/2023,DBRS,A,Stable
Portugal,5/20/2023,Moody's,Baa2,Positive
Portugal,10/28/2022,Fitch,BBB+,Stable
Portugal,9/9/2022,S&P,BBB+,Stable
Portugal,8/26/2022,DBRS,A (low),Stable
Portugal,5/6/2022,Fitch,BBB,Positive
Portugal,2/25/2022,DBRS,BBB (high),Positive
Portugal,9/17/2021,Moody's,Baa2,Stable
Portugal,4/24/2020,S&P,BBB,Stable
Portugal,4/17/2020,Fitch,BBB,Stable
Portugal,10/4/2019,DBRS,BBB (high),Stable
Portugal,9/13/2019,S&P,BBB,Positive
Portugal,8/9/2019,Moody's,Baa3,Positive
Portugal,5/24/2019,Fitch,BBB,Positive
Portugal,4/5/2019,DBRS,BBB,Positive
Portugal,3/15/2019,S&P,BBB,Stable
Portugal,10/12/2018,Moody's,Baa3,Stable
Portugal,9/14/2018,S&P,BBB-,Positive
Portugal,4/20/2018,DBRS,BBB,Stable
Portugal,12/15/2017,Fitch,BBB,Stable
Portugal,9/15/2017,S&P,BBB-,Stable
Portugal,9/1/2017,Moody's,Ba1,Positive
Portugal,6/16/2017,Fitch,BB+,Positive
Portugal,3/4/2016,Fitch,BB+,Stable
Portugal,9/18/2015,S&P,BB+,Stable
Portugal,3/20/2015,S&P,BB,Positive
Portugal,7/25/2014,Moody's,Ba1,Stable
Portugal,5/23/2014,DBRS,BBB (low),Stable
Portugal,5/9/2014,Moody's,Ba2,Positive Watch
Portugal,5/9/2014,S&P,BB,Stable
Portugal,4/11/2014,Fitch,BB+,Positive
Portugal,3/4/2014,Fitch,BB+,Stable
Portugal,1/17/2014,S&P,BB,Negative
Portugal,11/8/2013,Moody's,Ba3,Stable
Portugal,9/18/2013,S&P,BB,Negative Watch
Portugal,7/5/2013,S&P,BB,Negative
Portugal,3/6/2013,S&P,BB,Stable
Portugal,8/22/2012,DBRS,BBB (low),Under Review
Portugal,5/22/2012,DBRS,BBB (low),Under Review
Portugal,2/13/2012,Moody's,Ba3,Negative
Portugal,1/30/2012,DBRS,BBB (low),Negative
Portugal,1/13/2012,S&P,BB,Negative
Portugal,12/5/2011,S&P,BBB-,Negative Watch
Portugal,11/24/2011,Fitch,BB+,Negative
Portugal,11/21/2011,Fitch,BB+,Positive
Portugal,10/19/2011,DBRS,BBB,Negative
Portugal,7/5/2011,Moody's,Ba2,Negative
Portugal,5/24/2011,DBRS,BBB (high),Negative
Portugal,4/5/2011,Moody's,Baa1,Negative Watch
Portugal,4/1/2011,Fitch,BBB-,Negative Watch
Portugal,3/29/2011,S&P,BBB-,Negative
Portugal,3/24/2011,S&P,BBB,Negative Watch
Portugal,3/24/2011,Fitch,A-,Negative Watch
Portugal,3/15/2011,Moody's,A3,Negative
Portugal,12/23/2010,Fitch,A+,Negative
Portugal,12/21/2010,Moody's,A1,Negative Watch
Portugal,11/30/2010,S&P,A-,Negative Watch
Portugal,11/10/2010,DBRS,A (low),Negative
Portugal,7/13/2010,Moody's,A1,Stable
Portugal,5/5/2010,Moody's,Aa2,Negative Watch
Portugal,4/27/2010,S&P,A-,Negative
Portugal,3/24/2010,Fitch,AA-,Negative
Portugal,12/7/2009,S&P,A+,Negative
Portugal,10/29/2009,Moody's,Aa2,Negative
Portugal,9/3/2009,Fitch,AA,Negative
Portugal,1/21/2009,S&P,A+,Stable
Portugal,1/13/2009,S&P,AA-,Negative Watch
Portugal,5/1/2007,Fitch,AA,Stable
Portugal,6/29/2005,Fitch,AA,Negative
Portugal,6/27/2005,S&P,AA-,Stable
Portugal,10/29/2004,S&P,AA,Negative
Portugal,9/21/2000,Fitch,AA,Stable
Portugal,12/15/1998,S&P,AA,Stable
Portugal,6/4/1998,Fitch,AA,N/A
Portugal,5/4/1998,Moody's,Aa2,Stable
Portugal,10/6/1997,S&P,AA-,Positive
Portugal,2/10/1997,Moody's,Aa3,Stable
Portugal,8/10/1994,Fitch,AA-,N/A
Portugal,5/26/1993,S&P,AA-,Stable
Portugal,10/25/1991,S&P,A+,Stable
Portugal,10/26/1989,S&P,A,Stable
Portugal,6/26/1989,S&P,A,Positive
Portugal,10/1/1988,S&P,A,N/A
Portugal,11/18/1986,Moody's,A1,Stable
