Country,Date,Agency,Rating,Outlook
Qatar,3/20/2024,Fitch,AA,Stable
Qatar,1/25/2024,Moody's,Aa2,Stable
Qatar,3/28/2023,Fitch,AA-,Positive
Qatar,11/4/2022,S&P,AA,Stable
Qatar,11/2/2022,Moody's,Aa3,Positive
Qatar,12/7/2018,S&P,AA-,Stable
Qatar,7/13/2018,Moody's,Aa3,Stable
Qatar,6/5/2018,Fitch,AA-,Stable
Qatar,8/28/2017,Fitch,AA-,Negative
Qatar,8/25/2017,S&P,AA-,Negative
Qatar,7/4/2017,Moody's,Aa3,Negative
Qatar,6/12/2017,Fitch,AA,Negative Watch
Qatar,6/7/2017,S&P,AA-,Negative Watch
Qatar,5/26/2017,Moody's,Aa3,Stable
Qatar,3/3/2017,S&P,AA,Negative
Qatar,5/14/2016,Moody's,Aa2,Negative
Qatar,3/4/2016,Moody's,Aa2,Negative Watch
Qatar,3/6/2015,Fitch,AA,Stable
Qatar,7/5/2010,S&P,AA,Stable
Qatar,7/25/2007,Moody's,Aa2,Stable
Qatar,3/6/2007,S&P,AA-,Stable
Qatar,10/4/2006,Moody's,Aa3,Stable
Qatar,9/7/2006,Moody's,A1,Positive Watch
Qatar,9/13/2005,S&P,A+,Stable
Qatar,5/18/2005,Moody's,A1,Stable
Qatar,6/21/2004,S&P,A+,Positive
Qatar,7/15/2003,S&P,A+,Stable
Qatar,8/15/2002,Moody's,A3,Stable
Qatar,5/13/2002,S&P,A-,Positive
Qatar,3/9/2001,S&P,BBB+,Positive
Qatar,11/4/1996,Moody's,Baa2,Stable
Qatar,9/26/1996,Moody's,Ba1,Positive Watch
Qatar,2/1/1996,S&P,BBB,Stable
Qatar,1/29/1996,Moody's,Ba1,Stable
