Country,Date,Agency,Rating,Outlook
Romania,7/11/2025,DBRS,BB (high),Stable
Romania,3/14/2025,Moody's,Baa3,Negative
Romania,1/25/2025,S&P,BBB-,Negative
Romania,12/17/2024,Fitch,BBB-,Negative
Romania,3/24/2023,Fitch,BBB-,Stable
Romania,10/18/2021,Moody's,Baa3,Stable
Romania,4/16/2021,S&P,BBB-,Stable
Romania,4/24/2020,Moody's,Baa3,Negative
Romania,4/17/2020,Fitch,BBB-,Negative
Romania,12/10/2019,S&P,BBB-,Negative
Romania,4/21/2017,Moody's,Baa3,Stable
Romania,12/11/2015,Moody's,Baa3,Positive
Romania,5/16/2014,S&P,BBB-,Stable
Romania,4/25/2014,Moody's,Baa3,Stable
Romania,11/22/2013,S&P,BB+,Positive
Romania,6/29/2012,Moody's,Baa3,Negative
Romania,7/4/2011,Fitch,BBB-,Stable
Romania,3/9/2010,S&P,BB+,Stable
Romania,2/2/2010,Fitch,BB+,Stable
Romania,11/9/2008,Fitch,BB+,Negative
Romania,10/27/2008,S&P,BB+,Negative
Romania,1/31/2008,Fitch,BBB,Negative
Romania,11/6/2007,S&P,BBB-,Negative
Romania,4/5/2007,S&P,BBB-,Stable
Romania,10/6/2006,Moody's,Baa3,Stable
Romania,9/5/2006,S&P,BBB-,Positive
Romania,8/31/2006,Fitch,BBB,Stable
Romania,6/7/2006,Moody's,Ba1,Positive Watch
Romania,9/6/2005,S&P,BBB-,Stable
Romania,3/2/2005,Moody's,Ba1,Positive
Romania,2/1/2005,S&P,BB+,Positive
Romania,11/17/2004,Fitch,BBB-,Stable
Romania,9/14/2004,S&P,BB+,Stable
Romania,8/23/2004,Fitch,BB,Positive
Romania,12/18/2003,Fitch,BB-,Stable
Romania,12/11/2003,Moody's,Ba3,Stable
Romania,9/24/2003,Fitch,BB-,Negative Watch
Romania,9/17/2003,S&P,BB,Positive
Romania,2/27/2003,S&P,BB-,Positive
Romania,12/16/2002,Moody's,B1,Stable
Romania,10/30/2002,Fitch,BB-,Stable
Romania,6/14/2002,Fitch,B+,Stable
Romania,4/19/2002,S&P,B+,Positive
Romania,12/19/2001,Moody's,B2,Stable
Romania,11/14/2001,Fitch,B,Positive
Romania,6/7/2001,S&P,B,Positive
Romania,3/5/2001,S&P,B-,Positive
Romania,11/16/2000,Fitch,B,Stable
Romania,9/21/2000,Fitch,B-,Stable
Romania,8/4/2000,S&P,B-,Stable
Romania,3/24/1999,Fitch,B-,N/A
Romania,12/23/1998,Fitch,B,N/A
Romania,11/6/1998,Moody's,B3,Stable
Romania,10/19/1998,S&P,B-,Negative
Romania,9/23/1998,Fitch,BB-,Negative Watch
Romania,9/14/1998,Moody's,B1,Stable
Romania,8/7/1998,Moody's,Ba3,Negative Watch
Romania,5/20/1998,S&P,B+,Stable
Romania,3/25/1997,S&P,BB-,Negative Watch
Romania,3/6/1996,S&P,BB-,Stable
Romania,3/6/1996,Moody's,Ba3,Stable
Romania,3/6/1996,Fitch,BB-,N/A
