Country,Date,Agency,Rating,Outlook
Russia,4/8/2022,S&P,NR,N/A
Russia,3/31/2022,Moody's,NR,N/A
Russia,3/25/2022,Fitch,NR,N/A
Russia,3/17/2022,S&P,CC,Negative Watch
Russia,3/8/2022,Fitch,C,N/A
Russia,3/6/2022,Moody's,Ca,Negative
Russia,3/3/2022,Moody's,B3,Under Review
Russia,3/3/2022,S&P,CCC-,Negative Watch
Russia,3/2/2022,Fitch,B,Negative Watch
Russia,2/27/2022,S&P,BB+,Negative Watch
Russia,2/25/2022,Moody's,Baa3,Under Review
Russia,8/9/2019,Fitch,BBB,Stable
Russia,2/8/2019,Moody's,Baa3,Stable
Russia,2/23/2018,S&P,BBB-,Stable
Russia,1/25/2018,Moody's,Ba1,Positive
Russia,9/22/2017,Fitch,BBB-,Positive
Russia,3/17/2017,S&P,BB+,Positive
Russia,2/17/2017,Moody's,Ba1,Stable
Russia,10/14/2016,Fitch,BBB-,Stable
Russia,9/16/2016,S&P,BB+,Stable
Russia,4/22/2016,Moody's,Ba1,Negative
Russia,3/4/2016,Moody's,Ba1,Negative Watch
Russia,12/3/2015,Moody's,Ba1,Stable
Russia,2/20/2015,Moody's,Ba1,Negative
Russia,1/26/2015,S&P,BB+,Negative
Russia,1/16/2015,Moody's,Baa3,Negative Watch
Russia,1/9/2015,Fitch,BBB-,Negative
Russia,12/23/2014,S&P,BBB-,Negative Watch
Russia,10/17/2014,Moody's,Baa2,Negative
Russia,6/27/2014,Moody's,Baa1,Negative
Russia,4/25/2014,S&P,BBB-,Negative
Russia,3/28/2014,Moody's,Baa1,Negative Watch
Russia,3/21/2014,Fitch,BBB,Negative
Russia,3/20/2014,S&P,BBB,Negative
Russia,1/16/2012,Fitch,BBB,Stable
Russia,9/8/2010,Fitch,BBB,Positive
Russia,1/22/2010,Fitch,BBB,Stable
Russia,12/21/2009,S&P,BBB,Stable
Russia,2/4/2009,Fitch,BBB,Negative
Russia,12/12/2008,Moody's,Baa1,Stable
Russia,12/8/2008,S&P,BBB,Negative
Russia,11/9/2008,Fitch,BBB+,Negative
Russia,10/23/2008,S&P,BBB+,Negative
Russia,9/19/2008,S&P,BBB+,Stable
Russia,7/16/2008,Moody's,Baa1,Positive
Russia,3/27/2008,Moody's,Baa2,Positive Watch
Russia,3/11/2008,S&P,BBB+,Positive
Russia,9/4/2006,S&P,BBB+,Stable
Russia,7/25/2006,Fitch,BBB+,Stable
Russia,12/31/2005,S&P,BBB-,Stable
Russia,12/15/2005,S&P,BBB,Stable
Russia,10/25/2005,Moody's,Baa2,Stable
Russia,9/8/2005,Moody's,Baa3,Positive Watch
Russia,8/3/2005,Fitch,BBB,Stable
Russia,11/18/2004,Fitch,BBB-,Stable
Russia,10/6/2004,Moody's,Baa3,Positive
Russia,1/27/2004,S&P,BB+,Stable
Russia,10/8/2003,Moody's,Baa3,Stable
Russia,7/28/2003,Moody's,Ba2,Positive Watch
Russia,5/13/2003,Fitch,BB+,Stable
Russia,12/17/2002,Moody's,Ba2,Stable
Russia,12/5/2002,S&P,BB,Stable
Russia,10/17/2002,Moody's,Ba3,Positive Watch
Russia,7/26/2002,S&P,BB-,Stable
Russia,5/2/2002,Fitch,BB-,Positive
Russia,2/22/2002,S&P,B+,Positive
Russia,12/19/2001,S&P,B+,Stable
Russia,11/29/2001,Moody's,Ba3,Stable
Russia,10/4/2001,Fitch,B+,Stable
Russia,10/4/2001,S&P,B+,Positive
Russia,7/17/2001,Fitch,B,Positive
Russia,6/28/2001,S&P,B,Stable
Russia,12/8/2000,S&P,B-,Stable
Russia,11/13/2000,Moody's,B2,Stable
Russia,9/21/2000,Fitch,B,Stable
Russia,8/29/2000,Fitch,B,N/A
Russia,8/23/2000,Moody's,B3,Positive Watch
Russia,5/8/2000,Fitch,B-,N/A
Russia,2/14/2000,Fitch,CCC,Negative Watch
Russia,1/5/2000,Moody's,B3,Stable
Russia,1/27/1999,S&P,SD,N/A
Russia,9/16/1998,S&P,CCC-,Negative
Russia,8/27/1998,Fitch,CCC,N/A
Russia,8/21/1998,Moody's,B3,Negative
Russia,8/17/1998,S&P,CCC,Negative
Russia,8/17/1998,Fitch,B-,Negative Watch
Russia,8/13/1998,S&P,B-,Negative
Russia,8/13/1998,Moody's,B2,Negative
Russia,7/30/1998,Fitch,BB-,N/A
Russia,6/9/1998,S&P,B+,Stable
Russia,6/7/1998,Fitch,BB,Negative Watch
Russia,6/5/1998,Fitch,BB+,Negative Watch
Russia,5/29/1998,Moody's,B1,Negative
Russia,5/27/1998,S&P,BB-,Negative Watch
Russia,3/11/1998,Moody's,Ba3,Stable
Russia,3/10/1998,Fitch,BB+,N/A
Russia,2/12/1998,Fitch,BB+,Negative Watch
Russia,2/3/1998,Moody's,Ba2,Negative Watch
Russia,12/19/1997,S&P,BB-,Negative
Russia,10/7/1996,S&P,BB-,Stable
Russia,10/7/1996,Fitch,BB+,N/A
Russia,10/7/1996,Moody's,Ba2,Stable
