Country,Date,Agency,Rating,Outlook
Saudi Arabia,3/14/2025,S&P,A+,Stable
Saudi Arabia,2/3/2025,Fitch,A+,Stable
Saudi Arabia,11/22/2024,Moody's,Aa3,Stable
Saudi Arabia,9/14/2024,S&P,A,Positive
Saudi Arabia,4/5/2023,Fitch,A+,Stable
Saudi Arabia,3/17/2023,Moody's,A1,Positive
Saudi Arabia,3/17/2023,S&P,A,Stable
Saudi Arabia,4/14/2022,Fitch,A,Positive
Saudi Arabia,3/25/2022,S&P,A-,Positive
Saudi Arabia,11/5/2021,Moody's,A1,Stable
Saudi Arabia,7/15/2021,Fitch,A,Stable
Saudi Arabia,11/9/2020,Fitch,A,Negative
Saudi Arabia,5/1/2020,Moody's,A1,Negative
Saudi Arabia,9/30/2019,Fitch,A,Stable
Saudi Arabia,3/22/2017,Fitch,A+,Stable
Saudi Arabia,5/14/2016,Moody's,A1,Stable
Saudi Arabia,4/12/2016,Fitch,AA-,Negative
Saudi Arabia,2/17/2016,S&P,A-,Stable
Saudi Arabia,10/30/2015,S&P,A+,Negative
Saudi Arabia,8/24/2015,Fitch,AA,Negative
Saudi Arabia,2/9/2015,S&P,AA-,Negative
Saudi Arabia,12/5/2014,S&P,AA-,Stable
Saudi Arabia,3/7/2014,Fitch,AA,Stable
Saudi Arabia,5/29/2013,S&P,AA-,Positive
Saudi Arabia,3/20/2013,Fitch,AA-,Positive
Saudi Arabia,3/4/2011,Moody's,Aa3,Negative Watch
Saudi Arabia,2/15/2010,Moody's,Aa3,Stable
Saudi Arabia,7/9/2009,Fitch,AA-,Stable
Saudi Arabia,7/31/2007,Fitch,A+,Positive
Saudi Arabia,7/24/2007,Moody's,A1,Positive
Saudi Arabia,7/16/2007,S&P,AA-,Stable
Saudi Arabia,10/4/2006,Moody's,A2,Positive
Saudi Arabia,9/7/2006,Moody's,A3,Positive Watch
Saudi Arabia,8/17/2006,Fitch,A+,Stable
Saudi Arabia,4/5/2006,S&P,A+,Stable
Saudi Arabia,1/5/2006,S&P,A,Positive
Saudi Arabia,11/14/2005,Moody's,A3,Stable
Saudi Arabia,10/3/2005,Moody's,Baa2,Positive Watch
Saudi Arabia,11/24/2004,Fitch,A,Stable
Saudi Arabia,7/14/2003,S&P,A,Stable
Saudi Arabia,6/16/2003,Moody's,Baa2,Stable
Saudi Arabia,1/29/1996,Moody's,Baa3,Stable
