Country,Date,Agency,Rating,Outlook
Slovakia,4/25/2025,S&P,A+,Negative
Slovakia,12/13/2024,Moody's,A3,Stable
Slovakia,2/9/2024,DBRS,A,Negative
Slovakia,12/8/2023,Fitch,A-,Stable
Slovakia,5/19/2023,S&P,A+,Stable
Slovakia,2/24/2023,DBRS,A,Stable
Slovakia,8/26/2022,DBRS,A (high),Negative
Slovakia,8/19/2022,Fitch,A,Negative
Slovakia,8/5/2022,Moody's,A2,Negative
Slovakia,5/20/2022,S&P,A+,Negative
Slovakia,10/29/2021,Fitch,A,Stable
Slovakia,1/22/2021,S&P,A+,Stable
Slovakia,11/6/2020,Fitch,A,Negative
Slovakia,7/24/2020,S&P,A+,Negative
Slovakia,5/8/2020,Fitch,A,Stable
Slovakia,9/27/2019,Moody's,A2,Stable
Slovakia,4/7/2017,Moody's,A2,Positive
Slovakia,4/22/2016,DBRS,A (high),Stable
Slovakia,7/31/2015,S&P,A+,Stable
Slovakia,8/1/2014,S&P,A,Positive
Slovakia,10/4/2013,Moody's,A2,Stable
Slovakia,2/13/2012,Moody's,A2,Negative
Slovakia,1/13/2012,S&P,A,Stable
Slovakia,12/5/2011,S&P,A+,Negative Watch
Slovakia,8/24/2011,S&P,A+,Positive
Slovakia,3/27/2009,Moody's,A1,Stable
Slovakia,11/27/2008,S&P,A+,Stable
Slovakia,7/31/2008,Moody's,A1,Positive
Slovakia,7/8/2008,Fitch,A+,Stable
Slovakia,5/7/2008,Fitch,A,Negative Watch
Slovakia,3/3/2008,S&P,A,Positive
Slovakia,7/23/2007,Fitch,A,Positive
Slovakia,10/17/2006,Moody's,A1,Stable
Slovakia,3/9/2006,Moody's,A2,Positive Watch
Slovakia,12/19/2005,S&P,A,Stable
Slovakia,10/11/2005,Fitch,A,Stable
Slovakia,1/12/2005,Moody's,A2,Positive
Slovakia,12/13/2004,S&P,A-,Positive
Slovakia,10/6/2004,Moody's,A3,Positive Watch
Slovakia,9/21/2004,Fitch,A-,Stable
Slovakia,6/18/2004,Moody's,A3,Positive
Slovakia,3/2/2004,S&P,BBB+,Positive
Slovakia,1/22/2004,Fitch,BBB+,Positive
Slovakia,11/4/2003,Fitch,BBB,Positive
Slovakia,3/3/2003,Fitch,BBB,Stable
Slovakia,12/19/2002,S&P,BBB,Positive
Slovakia,11/12/2002,Moody's,A3,Stable
Slovakia,11/1/2002,Fitch,BBB-,Positive
Slovakia,11/13/2001,Moody's,Baa3,Stable
Slovakia,10/30/2001,S&P,BBB-,Positive
Slovakia,2/20/2001,Fitch,BB+,Positive
Slovakia,11/30/2000,Moody's,Ba1,Positive
Slovakia,11/9/2000,S&P,BB+,Positive
Slovakia,9/21/2000,Fitch,BB+,Stable
Slovakia,11/12/1999,S&P,BB+,Stable
Slovakia,10/27/1999,Moody's,Ba1,Stable
Slovakia,12/22/1998,Fitch,BB+,N/A
Slovakia,10/5/1998,Fitch,BBB-,Negative Watch
Slovakia,10/1/1998,Moody's,Ba1,Negative Watch
Slovakia,9/17/1998,S&P,BB+,Negative
Slovakia,4/6/1998,S&P,BBB-,Negative
Slovakia,3/30/1998,Moody's,Ba1,Stable
Slovakia,1/20/1998,Moody's,Baa3,Negative Watch
Slovakia,8/8/1996,Fitch,BBB-,N/A
Slovakia,4/11/1996,S&P,BBB-,Stable
Slovakia,5/15/1995,Moody's,Baa3,Stable
Slovakia,4/5/1995,S&P,BB+,Stable
Slovakia,2/15/1994,S&P,BB-,Stable
