Country,Date,Agency,Rating,Outlook
Slovenia,6/6/2025,S&P,AA,Stable
Slovenia,4/4/2025,Fitch,A,Positive
Slovenia,12/6/2024,DBRS,A (high),Positive
Slovenia,12/6/2024,S&P,AA-,Positive
Slovenia,10/11/2024,Moody's,A3,Positive
Slovenia,10/2/2020,Moody's,A3,Stable
Slovenia,2/21/2020,DBRS,A (high),Stable
Slovenia,8/30/2019,DBRS,A,Positive
Slovenia,7/19/2019,Fitch,A,Stable
Slovenia,6/14/2019,S&P,AA-,Stable
Slovenia,4/26/2019,Moody's,Baa1,Positive
Slovenia,6/15/2018,S&P,A+,Positive
Slovenia,11/17/2017,DBRS,A,Stable
Slovenia,9/8/2017,Moody's,Baa1,Stable
Slovenia,6/16/2017,S&P,A+,Stable
Slovenia,12/16/2016,S&P,A,Positive
Slovenia,9/23/2016,Fitch,A-,Stable
Slovenia,9/16/2016,Moody's,Baa3,Positive
Slovenia,6/17/2016,S&P,A,Stable
Slovenia,9/25/2015,Fitch,BBB+,Positive
Slovenia,6/19/2015,S&P,A-,Positive
Slovenia,1/23/2015,Moody's,Baa3,Stable
Slovenia,12/19/2014,S&P,A-,Stable
Slovenia,6/27/2014,S&P,A-,Negative
Slovenia,5/2/2014,Fitch,BBB+,Stable
Slovenia,1/24/2014,Moody's,Ba1,Stable
Slovenia,5/17/2013,Fitch,BBB+,Negative
Slovenia,4/30/2013,Moody's,Ba1,Negative
Slovenia,2/12/2013,S&P,A-,Stable
Slovenia,11/6/2012,S&P,A,Negative Watch
Slovenia,8/8/2012,Fitch,A-,Negative
Slovenia,8/3/2012,S&P,A,Negative
Slovenia,8/2/2012,Moody's,Baa2,Negative
Slovenia,2/13/2012,Moody's,A2,Negative
Slovenia,1/27/2012,Fitch,A,Negative
Slovenia,1/13/2012,S&P,A+,Negative
Slovenia,12/22/2011,Moody's,A1,Negative
Slovenia,12/16/2011,Fitch,AA-,Negative Watch
Slovenia,12/5/2011,S&P,AA-,Negative Watch
Slovenia,10/19/2011,S&P,AA-,Stable
Slovenia,9/28/2011,Fitch,AA-,Negative
Slovenia,9/23/2011,Moody's,Aa3,Negative Watch
Slovenia,12/22/2010,S&P,AA,Negative
Slovenia,3/31/2009,Moody's,Aa2,Stable
Slovenia,7/26/2006,Moody's,Aa2,Positive
Slovenia,7/12/2006,Fitch,AA,Stable
Slovenia,6/7/2006,Moody's,Aa3,Positive Watch
Slovenia,5/16/2006,S&P,AA,Stable
Slovenia,3/9/2006,Moody's,Aa3,Positive
Slovenia,7/7/2004,Fitch,AA-,Positive
Slovenia,5/13/2004,S&P,AA-,Stable
Slovenia,11/4/2003,Fitch,A+,Positive
Slovenia,5/6/2003,Fitch,A+,Stable
Slovenia,3/26/2003,S&P,A+,Positive
Slovenia,11/12/2002,Moody's,Aa3,Stable
Slovenia,10/23/2002,S&P,A,Positive
Slovenia,8/14/2002,Moody's,A2,Positive
Slovenia,5/29/2002,Fitch,A,Positive
Slovenia,11/14/2000,Moody's,A2,Stable
Slovenia,9/21/2000,Fitch,A,Stable
Slovenia,9/13/2000,Moody's,A3,Positive Watch
Slovenia,12/15/1999,Fitch,A,N/A
Slovenia,9/15/1999,Moody's,A3,Positive
Slovenia,5/9/1996,Fitch,A-,N/A
Slovenia,5/8/1996,Moody's,A3,Stable
Slovenia,5/8/1996,S&P,A,Stable
