Country,Date,Agency,Rating,Outlook
South Africa,11/15/2024,S&P,BB-,Positive
South Africa,3/8/2023,S&P,BB-,Stable
South Africa,5/20/2022,S&P,BB-,Positive
South Africa,4/1/2022,Moody's,Ba2,Stable
South Africa,12/15/2021,Fitch,BB-,Stable
South Africa,11/20/2020,Fitch,BB-,Negative
South Africa,11/20/2020,Moody's,Ba2,Negative
South Africa,4/30/2020,S&P,BB-,Stable
South Africa,4/3/2020,Fitch,BB,Negative
South Africa,3/27/2020,Moody's,Ba1,Negative
South Africa,11/22/2019,S&P,BB,Negative
South Africa,11/1/2019,Moody's,Baa3,Negative
South Africa,7/26/2019,Fitch,BB+,Negative
South Africa,3/23/2018,Moody's,Baa3,Stable
South Africa,11/24/2017,Moody's,Baa3,Under Review
South Africa,11/24/2017,S&P,BB,Stable
South Africa,6/9/2017,Moody's,Baa3,Negative
South Africa,4/7/2017,Fitch,BB+,Stable
South Africa,4/3/2017,S&P,BB+,Negative
South Africa,4/3/2017,Moody's,Baa2,Negative Watch
South Africa,11/25/2016,Fitch,BBB-,Negative
South Africa,5/6/2016,Moody's,Baa2,Negative
South Africa,3/8/2016,Moody's,Baa2,Negative Watch
South Africa,12/4/2015,S&P,BBB-,Negative
South Africa,12/4/2015,Fitch,BBB-,Stable
South Africa,11/6/2014,Moody's,Baa2,Negative
South Africa,11/6/2014,Moody's,Baa2,Stable
South Africa,6/13/2014,Fitch,BBB,Negative
South Africa,6/13/2014,S&P,BBB-,Stable
South Africa,1/10/2013,Fitch,BBB,Stable
South Africa,10/12/2012,S&P,BBB,Negative
South Africa,9/27/2012,Moody's,Baa1,Negative
South Africa,3/28/2012,S&P,BBB+,Negative
South Africa,1/13/2012,Fitch,BBB+,Negative
South Africa,11/9/2011,Moody's,A3,Negative
South Africa,1/25/2011,S&P,BBB+,Stable
South Africa,1/17/2011,Fitch,BBB+,Stable
South Africa,7/16/2009,Moody's,A3,Stable
South Africa,11/11/2008,S&P,BBB+,Negative
South Africa,11/9/2008,Fitch,BBB+,Negative
South Africa,6/17/2008,Fitch,BBB+,Stable
South Africa,7/25/2007,Fitch,BBB+,Positive
South Africa,6/5/2007,Moody's,Baa1,Positive
South Africa,8/25/2005,Fitch,BBB+,Stable
South Africa,8/1/2005,S&P,BBB+,Stable
South Africa,1/11/2005,Moody's,Baa1,Stable
South Africa,10/21/2004,Fitch,BBB,Positive
South Africa,10/14/2004,Moody's,Baa2,Positive Watch
South Africa,5/7/2003,S&P,BBB,Stable
South Africa,5/2/2003,Fitch,BBB,Stable
South Africa,3/11/2003,Fitch,BBB-,Positive Watch
South Africa,2/26/2003,Moody's,Baa2,Positive
South Africa,11/12/2002,S&P,BBB-,Positive
South Africa,8/20/2002,Fitch,BBB-,Positive
South Africa,11/29/2001,Moody's,Baa2,Stable
South Africa,10/12/2001,Moody's,Baa3,Positive Watch
South Africa,9/21/2000,Fitch,BBB-,Stable
South Africa,6/27/2000,Fitch,BBB-,N/A
South Africa,5/19/2000,Fitch,BB+,N/A
South Africa,2/25/2000,S&P,BBB-,Stable
South Africa,2/7/2000,Moody's,Baa3,Positive
South Africa,10/8/1998,Moody's,Baa3,Stable
South Africa,7/17/1998,Moody's,Baa3,Negative Watch
South Africa,5/28/1998,Fitch,BB,N/A
South Africa,2/17/1998,Fitch,BB,Positive Watch
South Africa,11/20/1995,S&P,BB+,Stable
South Africa,10/3/1994,S&P,BB,Stable
South Africa,10/3/1994,Moody's,Baa3,Stable
South Africa,9/22/1994,Fitch,BB,N/A
