Country,Date,Agency,Rating,Outlook
South Korea,8/8/2016,S&P,AA,Stable
South Korea,12/18/2015,Moody's,Aa2,Stable
South Korea,9/15/2015,S&P,AA-,Stable
South Korea,4/10/2015,Moody's,Aa3,Positive
South Korea,9/19/2014,S&P,A+,Positive
South Korea,9/13/2012,S&P,A+,Stable
South Korea,9/6/2012,Fitch,AA-,Stable
South Korea,8/27/2012,Moody's,Aa3,Stable
South Korea,4/2/2012,Moody's,A1,Positive
South Korea,11/7/2011,Fitch,A+,Positive
South Korea,4/14/2010,Moody's,A1,Stable
South Korea,9/1/2009,Fitch,A+,Stable
South Korea,11/9/2008,Fitch,A+,Negative
South Korea,7/25/2007,Moody's,A2,Stable
South Korea,7/3/2007,Moody's,A3,Positive Watch
South Korea,4/25/2006,Moody's,A3,Positive
South Korea,10/23/2005,Fitch,A+,Stable
South Korea,9/19/2005,Fitch,A,Positive Watch
South Korea,7/27/2005,S&P,A,Stable
South Korea,6/11/2004,Moody's,A3,Stable
South Korea,2/10/2003,Moody's,A3,Negative
South Korea,11/15/2002,Moody's,A3,Positive
South Korea,7/24/2002,S&P,A-,Stable
South Korea,6/27/2002,Fitch,A,Stable
South Korea,5/13/2002,Fitch,BBB+,Positive Watch
South Korea,3/28/2002,Moody's,A3,Stable
South Korea,2/6/2002,Moody's,Baa2,Positive Watch
South Korea,11/29/2001,Moody's,Baa2,Positive
South Korea,11/13/2001,S&P,BBB+,Stable
South Korea,9/21/2000,Fitch,BBB+,Stable
South Korea,12/16/1999,Moody's,Baa2,Stable
South Korea,11/11/1999,S&P,BBB,Positive
South Korea,8/23/1999,Moody's,Baa3,Positive Watch
South Korea,6/24/1999,Fitch,BBB,N/A
South Korea,4/26/1999,Fitch,BBB-,Positive Watch
South Korea,2/12/1999,Moody's,Baa3,Positive
South Korea,1/25/1999,S&P,BBB-,Positive
South Korea,1/19/1999,Fitch,BBB-,N/A
South Korea,1/4/1999,S&P,BB+,Positive
South Korea,12/22/1998,Fitch,BB+,Positive Watch
South Korea,12/18/1998,Moody's,Ba1,Positive Watch
South Korea,6/19/1998,Fitch,BB+,N/A
South Korea,2/18/1998,S&P,BB+,Stable
South Korea,2/3/1998,Fitch,BB+,Positive Watch
South Korea,1/21/1998,Fitch,B-,Positive Watch
South Korea,1/16/1998,S&P,B+,N/A
South Korea,1/9/1998,Moody's,Ba1,Negative Watch
South Korea,12/23/1997,Fitch,B-,Negative Watch
South Korea,12/22/1997,S&P,B+,Negative Watch
South Korea,12/21/1997,Moody's,Ba1,Stable
South Korea,12/11/1997,Fitch,BBB-,Negative Watch
South Korea,12/11/1997,S&P,BBB-,Negative Watch
South Korea,12/10/1997,Moody's,Baa2,Negative Watch
South Korea,11/27/1997,Moody's,A3,Stable
South Korea,11/26/1997,Fitch,A,N/A
South Korea,11/25/1997,S&P,A-,Negative Watch
South Korea,11/18/1997,Fitch,A+,N/A
South Korea,10/24/1997,S&P,A+,Negative
South Korea,8/6/1997,S&P,AA-,Negative
South Korea,6/27/1996,Fitch,AA-,N/A
South Korea,5/3/1995,S&P,AA-,Stable
South Korea,11/9/1994,S&P,A+,Positive
South Korea,6/9/1994,S&P,A+,Negative
South Korea,4/4/1990,Moody's,A1,Stable
South Korea,6/26/1989,S&P,A+,Positive
South Korea,10/1/1988,S&P,A+,N/A
South Korea,11/18/1986,Moody's,A2,Stable
