Country,Date,Agency,Rating,Outlook
Spain,11/29/2024,DBRS,A (high),Stable
Spain,11/8/2024,Fitch,A-,Positive
Spain,5/31/2024,DBRS,A,Positive
Spain,3/15/2024,Moody's,Baa1,Positive
Spain,3/18/2022,S&P,A,Stable
Spain,9/18/2020,S&P,A,Negative
Spain,5/29/2020,DBRS,A,Stable
Spain,9/20/2019,S&P,A,Stable
Spain,9/20/2019,DBRS,A,Positive
Spain,4/13/2018,Moody's,Baa1,Stable
Spain,4/6/2018,DBRS,A,Stable
Spain,3/23/2018,S&P,A-,Positive
Spain,1/19/2018,Fitch,A-,Stable
Spain,7/21/2017,Fitch,BBB+,Positive
Spain,3/31/2017,S&P,BBB+,Positive
Spain,4/8/2016,DBRS,A (low),Stable
Spain,2/19/2016,Moody's,Baa2,Stable
Spain,10/9/2015,DBRS,A (low),Positive
Spain,10/2/2015,S&P,BBB+,Stable
Spain,10/10/2014,DBRS,A (low),Stable
Spain,5/23/2014,S&P,BBB,Stable
Spain,4/25/2014,Fitch,BBB+,Stable
Spain,2/21/2014,Moody's,Baa2,Positive
Spain,12/4/2013,Moody's,Baa3,Stable
Spain,11/29/2013,S&P,BBB-,Stable
Spain,11/1/2013,Fitch,BBB,Stable
Spain,10/16/2012,Moody's,Baa3,Negative
Spain,10/10/2012,S&P,BBB-,Negative
Spain,8/8/2012,DBRS,A (low),Negative
Spain,6/13/2012,Moody's,Baa3,Negative Watch
Spain,6/7/2012,Fitch,BBB,Negative
Spain,5/22/2012,DBRS,A (high),Under Review
Spain,5/3/2012,DBRS,A (high),Negative
Spain,4/26/2012,S&P,BBB+,Negative
Spain,2/13/2012,Moody's,A3,Negative
Spain,1/27/2012,Fitch,A,Negative
Spain,1/13/2012,S&P,A,Negative
Spain,12/16/2011,Fitch,AA-,Negative Watch
Spain,12/8/2011,DBRS,AA (low),Negative
Spain,12/5/2011,S&P,AA-,Negative Watch
Spain,10/18/2011,Moody's,A1,Negative
Spain,10/13/2011,S&P,AA-,Negative
Spain,10/7/2011,Fitch,AA-,Negative
Spain,8/17/2011,DBRS,AA,Negative
Spain,7/29/2011,Moody's,Aa2,Negative Watch
Spain,3/10/2011,Moody's,Aa2,Negative
Spain,3/4/2011,Fitch,AA+,Negative
Spain,12/15/2010,Moody's,Aa1,Negative Watch
Spain,10/21/2010,DBRS,AA,Stable
Spain,9/30/2010,Moody's,Aa1,Stable
Spain,6/30/2010,Moody's,Aaa,Negative Watch
Spain,5/28/2010,Fitch,AA+,Stable
Spain,4/28/2010,S&P,AA,Negative
Spain,12/9/2009,S&P,AA+,Negative
Spain,1/19/2009,S&P,AA+,Stable
Spain,1/12/2009,S&P,AAA,Negative Watch
Spain,12/13/2004,S&P,AAA,Stable
Spain,12/10/2003,Fitch,AAA,Stable
Spain,7/30/2003,S&P,AA+,Positive
Spain,12/13/2001,Moody's,Aaa,Stable
Spain,9/19/2001,Moody's,Aa2,Positive Watch
Spain,9/21/2000,Fitch,AA+,Stable
Spain,9/1/1999,Fitch,AA+,N/A
Spain,3/31/1999,S&P,AA+,Stable
Spain,5/6/1998,S&P,AA,Positive
Spain,2/6/1996,S&P,AA,Stable
Spain,8/10/1994,Fitch,AA,N/A
Spain,6/26/1989,S&P,AA,Positive
Spain,8/1/1988,S&P,AA,N/A
Spain,2/3/1988,Moody's,Aa2,Stable
