Country,Date,Agency,Rating,Outlook
Taiwan,9/22/2022,Moody's,Aa3,Stable
Taiwan,4/29/2022,S&P,AA+,Stable
Taiwan,9/10/2021,Fitch,AA,Stable
Taiwan,4/22/2021,S&P,AA,Positive
Taiwan,2/24/2021,Moody's,Aa3,Positive
Taiwan,10/12/2016,Fitch,AA-,Stable
Taiwan,10/12/2015,Fitch,A+,Positive
Taiwan,6/10/2010,S&P,AA-,Stable
Taiwan,4/14/2009,S&P,AA-,Negative
Taiwan,4/11/2008,S&P,AA-,Stable
Taiwan,11/30/2004,S&P,AA-,Negative
Taiwan,12/18/2002,S&P,AA-,Stable
Taiwan,11/19/2001,Fitch,A+,Stable
Taiwan,11/19/2001,Fitch,A+,Stable
Taiwan,7/26/2001,S&P,AA,Negative
Taiwan,12/6/2000,S&P,AA+,Negative
Taiwan,3/24/1994,Moody's,Aa3,Stable
Taiwan,8/2/1991,S&P,AA+,Stable
Taiwan,6/26/1989,S&P,AA,Positive
Taiwan,4/20/1989,S&P,AA,N/A
