Country,Date,Agency,Rating,Outlook
Thailand,4/29/2025,Moody's,Baa1,Negative
Thailand,4/21/2020,Moody's,Baa1,Stable
Thailand,4/13/2020,S&P,BBB+,Stable
Thailand,3/17/2020,Fitch,BBB+,Stable
Thailand,12/11/2019,S&P,BBB+,Positive
Thailand,7/25/2019,Moody's,Baa1,Positive
Thailand,7/18/2019,Fitch,BBB+,Positive
Thailand,3/8/2013,Fitch,BBB+,Stable
Thailand,12/9/2010,S&P,BBB+,Stable
Thailand,10/28/2010,Moody's,Baa1,Stable
Thailand,4/16/2009,Fitch,BBB,Stable
Thailand,12/4/2008,Moody's,Baa1,Negative
Thailand,12/1/2008,Fitch,BBB+,Negative
Thailand,12/1/2008,S&P,BBB+,Negative
Thailand,10/31/2006,S&P,BBB+,Stable
Thailand,9/19/2006,S&P,BBB+,Negative Watch
Thailand,9/19/2006,Fitch,BBB+,Negative Watch
Thailand,5/11/2005,Fitch,BBB+,Stable
Thailand,8/26/2004,S&P,BBB+,Stable
Thailand,3/3/2004,Fitch,BBB,Positive
Thailand,11/26/2003,Moody's,Baa1,Stable
Thailand,10/7/2003,S&P,BBB,Positive
Thailand,10/1/2003,Moody's,Baa3,Positive Watch
Thailand,9/3/2003,Fitch,BBB,Stable
Thailand,10/10/2002,Fitch,BBB-,Positive
Thailand,8/20/2002,S&P,BBB-,Positive
Thailand,9/21/2000,Fitch,BBB-,Stable
Thailand,6/22/2000,Moody's,Baa3,Stable
Thailand,4/3/2000,Moody's,Ba1,Positive Watch
Thailand,6/24/1999,Fitch,BBB-,N/A
Thailand,5/5/1999,S&P,BBB-,Stable
Thailand,5/3/1999,Moody's,Ba1,Positive
Thailand,4/26/1999,Fitch,BB+,Positive Watch
Thailand,5/14/1998,Fitch,BB+,N/A
Thailand,1/8/1998,S&P,BBB-,Negative
Thailand,12/21/1997,Moody's,Ba1,Stable
Thailand,11/27/1997,Moody's,Baa3,Negative
Thailand,10/24/1997,S&P,BBB,Negative
Thailand,10/23/1997,Moody's,Baa1,Negative Watch
Thailand,10/1/1997,Moody's,Baa1,Negative
Thailand,9/9/1997,Moody's,A3,Negative Watch
Thailand,9/3/1997,S&P,A-,Negative
Thailand,8/1/1997,S&P,A,Negative Watch
Thailand,4/8/1997,Moody's,A3,Stable
Thailand,2/13/1997,Moody's,A2,Negative Watch
Thailand,12/29/1994,S&P,A,Stable
Thailand,12/8/1992,S&P,A-,Stable
Thailand,5/19/1992,S&P,A-,Negative Watch
Thailand,2/26/1991,S&P,A-,Stable
Thailand,8/1/1989,Moody's,A2,Stable
Thailand,6/26/1989,S&P,A-,Positive
Thailand,6/14/1989,S&P,A-,N/A
