Country,Date,Agency,Rating,Outlook
Turkey,7/25/2025,Moody's,Ba3,Stable
Turkey,11/1/2024,S&P,BB-,Stable
Turkey,9/6/2024,Fitch,BB-,Stable
Turkey,7/19/2024,Moody's,B1,Positive
Turkey,5/3/2024,S&P,B+,Positive
Turkey,3/8/2024,Fitch,B+,Positive
Turkey,1/12/2024,Moody's,B3,Positive
Turkey,11/30/2023,S&P,B,Positive
Turkey,9/29/2023,S&P,B,Stable
Turkey,9/8/2023,Fitch,B,Stable
Turkey,3/31/2023,S&P,B,Negative
Turkey,9/30/2022,S&P,B,Stable
Turkey,8/12/2022,Moody's,B3,Stable
Turkey,7/8/2022,Fitch,B,Negative
Turkey,2/12/2022,Fitch,B+,Negative
Turkey,12/10/2021,S&P,B+,Negative
Turkey,12/2/2021,Fitch,BB-,Negative
Turkey,2/19/2021,Fitch,BB-,Stable
Turkey,9/11/2020,Moody's,B2,Negative
Turkey,8/21/2020,Fitch,BB-,Negative
Turkey,11/1/2019,Fitch,BB-,Stable
Turkey,7/12/2019,Fitch,BB-,Negative
Turkey,6/14/2019,Moody's,B1,Negative
Turkey,8/17/2018,S&P,B+,Stable
Turkey,8/17/2018,Moody's,Ba3,Negative
Turkey,7/13/2018,Fitch,BB,Negative
Turkey,6/1/2018,Moody's,Ba2,Under Review
Turkey,5/1/2018,S&P,BB-,Stable
Turkey,3/7/2018,Moody's,Ba2,Stable
Turkey,3/17/2017,Moody's,Ba1,Negative
Turkey,1/27/2017,Fitch,BB+,Stable
Turkey,1/27/2017,S&P,BB,Negative
Turkey,11/4/2016,S&P,BB,Stable
Turkey,9/23/2016,Moody's,Ba1,Stable
Turkey,8/19/2016,Fitch,BBB-,Negative
Turkey,7/21/2016,DBRS,BB (high),Negative
Turkey,7/20/2016,S&P,BB,Negative
Turkey,7/18/2016,Moody's,Baa3,Negative Watch
Turkey,5/6/2016,S&P,BB+,Stable
Turkey,4/11/2014,Moody's,Baa3,Negative
Turkey,2/7/2014,S&P,BB+,Negative
Turkey,5/23/2013,DBRS,BBB (low),Stable
Turkey,5/16/2013,Moody's,Baa3,Stable
Turkey,3/27/2013,S&P,BB+,Stable
Turkey,11/5/2012,Fitch,BBB-,Stable
Turkey,6/20/2012,Moody's,Ba1,Positive
Turkey,5/1/2012,S&P,BB,Stable
Turkey,11/23/2011,Fitch,BB+,Stable
Turkey,11/24/2010,Fitch,BB+,Positive
Turkey,10/5/2010,Moody's,Ba2,Positive
Turkey,2/19/2010,S&P,BB,Positive
Turkey,1/8/2010,Moody's,Ba2,Stable
Turkey,12/3/2009,Fitch,BB+,Stable
Turkey,10/27/2009,Fitch,BB-,Positive Watch
Turkey,9/18/2009,Moody's,Ba3,Positive
Turkey,9/17/2009,S&P,BB-,Stable
Turkey,11/13/2008,S&P,BB-,Negative
Turkey,7/31/2008,S&P,BB-,Stable
Turkey,4/3/2008,S&P,BB-,Negative
Turkey,5/9/2007,Fitch,BB-,Stable
Turkey,6/27/2006,S&P,BB-,Stable
Turkey,1/23/2006,S&P,BB-,Positive
Turkey,12/14/2005,Moody's,Ba3,Stable
Turkey,12/6/2005,Fitch,BB-,Positive
Turkey,2/11/2005,Moody's,B1,Positive
Turkey,1/13/2005,Fitch,BB-,Stable
Turkey,8/25/2004,Fitch,B+,Positive
Turkey,8/17/2004,S&P,BB-,Stable
Turkey,3/8/2004,S&P,B+,Positive
Turkey,2/9/2004,Fitch,B+,Stable
Turkey,10/21/2003,Moody's,B1,Stable
Turkey,10/16/2003,S&P,B+,Stable
Turkey,9/25/2003,Fitch,B,Positive
Turkey,8/6/2003,Fitch,B-,Positive
Turkey,7/28/2003,S&P,B,Stable
Turkey,3/25/2003,Fitch,B-,Negative
Turkey,11/7/2002,S&P,B-,Stable
Turkey,7/10/2002,Moody's,B1,Negative
Turkey,7/9/2002,S&P,B-,Negative
Turkey,6/26/2002,S&P,B-,Stable
Turkey,2/5/2002,Fitch,B,Stable
Turkey,1/29/2002,S&P,B-,Positive
Turkey,1/15/2002,Moody's,B1,Stable
Turkey,11/30/2001,S&P,B-,Stable
Turkey,8/2/2001,Fitch,B,Negative
Turkey,7/11/2001,S&P,B-,Negative
Turkey,4/27/2001,S&P,B-,Stable
Turkey,4/17/2001,S&P,B-,Negative Watch
Turkey,4/6/2001,Moody's,B1,Negative
Turkey,4/2/2001,Fitch,B+,Negative Watch
Turkey,2/23/2001,S&P,B,Negative Watch
Turkey,2/22/2001,Fitch,BB-,Negative Watch
Turkey,2/21/2001,Moody's,B1,Stable
Turkey,2/21/2001,S&P,B+,Negative Watch
Turkey,12/5/2000,S&P,B+,Stable
Turkey,9/21/2000,Fitch,BB-,Stable
