Country,Date,Agency,Rating,Outlook
Ukraine,8/13/2024,Fitch,RD,N/A
Ukraine,8/2/2024,S&P,SD,N/A
Ukraine,7/24/2024,Fitch,C,N/A
Ukraine,3/8/2024,S&P,CC,Negative
Ukraine,4/6/2023,S&P,CCC,Negative
Ukraine,2/10/2023,Moody's,Ca,Stable
Ukraine,8/19/2022,S&P,CCC+,Stable
Ukraine,8/17/2022,Fitch,CC,N/A
Ukraine,8/12/2022,Fitch,RD,N/A
Ukraine,8/12/2022,S&P,SD,N/A
Ukraine,7/29/2022,S&P,CC,Negative
Ukraine,7/22/2022,Fitch,C,N/A
Ukraine,5/27/2022,S&P,CCC+,Negative
Ukraine,5/20/2022,Moody's,Caa3,Negative
Ukraine,3/4/2022,Moody's,Caa2,Under Review
Ukraine,2/26/2022,Fitch,CCC,N/A
Ukraine,2/26/2022,S&P,B-,Negative Watch
Ukraine,2/25/2022,Moody's,B3,Under Review
Ukraine,2/4/2022,Fitch,B,Stable
Ukraine,8/6/2021,Fitch,B,Positive
Ukraine,6/12/2020,Moody's,B3,Stable
Ukraine,4/22/2020,Fitch,B,Stable
Ukraine,11/22/2019,Moody's,Caa1,Positive
Ukraine,9/27/2019,S&P,B,Stable
Ukraine,9/6/2019,Fitch,B,Positive
Ukraine,12/21/2018,Moody's,Caa1,Stable
Ukraine,8/25/2017,Moody's,Caa2,Positive
Ukraine,11/11/2016,Fitch,B-,Stable
Ukraine,11/19/2015,Moody's,Caa3,Stable
Ukraine,11/18/2015,Fitch,CCC,N/A
Ukraine,10/19/2015,S&P,B-,Stable
Ukraine,10/6/2015,Fitch,RD,N/A
Ukraine,9/25/2015,S&P,SD,N/A
Ukraine,8/27/2015,Fitch,C,N/A
Ukraine,4/10/2015,S&P,CC,Negative
Ukraine,3/24/2015,Moody's,Ca,Negative
Ukraine,2/13/2015,Fitch,CC,N/A
Ukraine,12/19/2014,S&P,CCC-,Negative
Ukraine,7/11/2014,S&P,CCC,Stable
Ukraine,4/4/2014,Moody's,Caa3,Negative
Ukraine,2/21/2014,S&P,CCC,Negative
Ukraine,2/7/2014,Fitch,CCC,N/A
Ukraine,1/31/2014,Moody's,Caa2,Negative
Ukraine,1/28/2014,S&P,CCC+,Negative
Ukraine,12/26/2013,S&P,B-,Stable
Ukraine,11/8/2013,Fitch,B-,Negative
Ukraine,11/1/2013,S&P,B-,Negative
Ukraine,9/20/2013,Moody's,Caa1,Negative Watch
Ukraine,6/28/2013,Fitch,B,Negative
Ukraine,12/7/2012,S&P,B,Negative
Ukraine,12/5/2012,Moody's,B3,Negative
Ukraine,3/15/2012,S&P,B+,Negative
Ukraine,12/15/2011,Moody's,B2,Negative
Ukraine,10/19/2011,Fitch,B,Stable
Ukraine,7/21/2011,Fitch,B,Positive
Ukraine,10/11/2010,Moody's,B2,Stable
Ukraine,7/29/2010,S&P,B+,Stable
Ukraine,7/22/2010,S&P,B,Positive Watch
Ukraine,7/6/2010,Fitch,B,Stable
Ukraine,5/17/2010,S&P,B,Stable
Ukraine,3/17/2010,Fitch,B-,Stable
Ukraine,3/11/2010,S&P,B-,Positive
Ukraine,11/12/2009,Fitch,B-,Negative
Ukraine,10/30/2009,S&P,CCC+,Stable
Ukraine,7/31/2009,S&P,CCC+,Positive
Ukraine,5/12/2009,Moody's,B2,Negative
Ukraine,2/25/2009,S&P,CCC+,Negative
Ukraine,2/24/2009,Moody's,B1,Negative Watch
Ukraine,2/15/2009,S&P,B,Negative Watch
Ukraine,2/13/2009,Fitch,B,Negative
Ukraine,10/24/2008,S&P,B,Negative
Ukraine,10/20/2008,Moody's,B1,Stable
Ukraine,10/17/2008,Fitch,B+,Negative
Ukraine,10/15/2008,S&P,B+,Negative Watch
Ukraine,9/25/2008,Fitch,BB-,Negative
Ukraine,8/8/2008,Moody's,B1,Positive
Ukraine,6/12/2008,S&P,B+,Stable
Ukraine,5/14/2008,Fitch,BB-,Stable
Ukraine,3/28/2008,Moody's,B1,Positive Watch
Ukraine,4/5/2007,S&P,BB-,Negative
Ukraine,11/10/2006,Moody's,B1,Positive
Ukraine,10/25/2006,Fitch,BB-,Positive
Ukraine,10/25/2006,Fitch,BB-,Positive
Ukraine,1/12/2006,Fitch,BB-,Stable
Ukraine,6/8/2005,Fitch,BB-,Positive
Ukraine,5/11/2005,S&P,BB-,Stable
Ukraine,2/17/2005,Moody's,B1,Stable
Ukraine,1/21/2005,Fitch,BB-,Stable
Ukraine,9/8/2004,Moody's,B1,Positive
Ukraine,7/20/2004,S&P,B+,Stable
Ukraine,11/10/2003,Moody's,B1,Stable
Ukraine,10/28/2003,S&P,B,Positive
Ukraine,7/28/2003,Moody's,B2,Positive Watch
Ukraine,6/25/2003,Fitch,B+,Stable
Ukraine,5/20/2003,S&P,B,Stable
Ukraine,11/12/2002,S&P,B,Negative
Ukraine,3/26/2002,Fitch,B,Stable
Ukraine,1/24/2002,Moody's,B2,Stable
Ukraine,12/21/2001,S&P,B,Stable
Ukraine,11/20/2001,Moody's,Caa1,Positive
Ukraine,6/13/2001,Fitch,B-,Stable
Ukraine,4/19/2000,Moody's,Caa1,Negative
Ukraine,1/5/2000,Moody's,Caa1,Negative Watch
Ukraine,9/9/1998,Moody's,B3,Negative
Ukraine,7/13/1998,Moody's,B2,Negative
Ukraine,2/6/1998,Moody's,B2,Stable
