Country,Date,Agency,Rating,Outlook
United Arab Emirates,11/11/2020,Fitch,AA-,Stable
United Arab Emirates,5/25/2017,Moody's,Aa2,Stable
United Arab Emirates,5/14/2016,Moody's,Aa2,Negative
United Arab Emirates,3/4/2016,Moody's,Aa2,Negative Watch
United Arab Emirates,7/10/2007,Moody's,Aa2,Stable
United Arab Emirates,7/2/2007,S&P,AA,Stable
United Arab Emirates,10/4/2006,Moody's,Aa3,Stable
United Arab Emirates,9/7/2006,Moody's,A1,Positive Watch
United Arab Emirates,12/21/2004,Moody's,A1,Stable
United Arab Emirates,12/11/1997,Moody's,A2,Stable
United Arab Emirates,8/28/1997,Moody's,Baa1,Positive Watch
United Arab Emirates,1/29/1996,Moody's,Baa1,Stable
