Country,Date,Agency,Rating,Outlook
United Kingdom,3/22/2024,Fitch,AA-,Stable
United Kingdom,10/20/2023,Moody's,Aa3,Stable
United Kingdom,4/21/2023,S&P,AA,Stable
United Kingdom,1/13/2023,DBRS,AA,Stable
United Kingdom,10/21/2022,Moody's,Aa3,Negative
United Kingdom,10/19/2022,DBRS,AA (high),Under Review
United Kingdom,10/5/2022,Fitch,AA-,Negative
United Kingdom,9/30/2022,S&P,AA,Negative
United Kingdom,6/18/2021,Fitch,AA-,Stable
United Kingdom,11/13/2020,DBRS,AA (high),Stable
United Kingdom,10/16/2020,Moody's,Aa3,Stable
United Kingdom,5/15/2020,DBRS,AAA,Negative
United Kingdom,3/27/2020,Fitch,AA-,Negative
United Kingdom,12/17/2019,S&P,AA,Stable
United Kingdom,12/17/2019,Fitch,AA,Negative
United Kingdom,11/8/2019,Moody's,Aa2,Negative
United Kingdom,2/20/2019,Fitch,AA,Negative Watch
United Kingdom,9/22/2017,Moody's,Aa2,Stable
United Kingdom,6/28/2016,Fitch,AA,Negative
United Kingdom,6/27/2016,S&P,AA,Negative
United Kingdom,6/24/2016,Moody's,Aa1,Negative
United Kingdom,6/12/2015,S&P,AAA,Negative
United Kingdom,6/13/2014,S&P,AAA,Stable
United Kingdom,4/19/2013,Fitch,AA+,Stable
United Kingdom,2/22/2013,Moody's,Aa1,Stable
United Kingdom,12/13/2012,S&P,AAA,Negative
United Kingdom,3/14/2012,Fitch,AAA,Negative
United Kingdom,2/13/2012,Moody's,Aaa,Negative
United Kingdom,10/26/2010,S&P,AAA,Stable
United Kingdom,7/19/2010,DBRS,AAA,Stable
United Kingdom,5/21/2009,S&P,AAA,Negative
United Kingdom,9/21/2000,Fitch,AAA,Stable
United Kingdom,9/21/2000,Fitch,AAA,Stable
United Kingdom,8/10/1994,Fitch,AAA,N/A
United Kingdom,6/26/1989,S&P,AAA,Stable
United Kingdom,4/28/1978,S&P,AAA,N/A
United Kingdom,3/31/1978,Moody's,Aaa,Stable
