Country,Date,Agency,Rating,Outlook
Uruguay,3/15/2024,Moody's,Baa1,Stable
Uruguay,6/7/2023,Fitch,BBB,Stable
Uruguay,5/17/2023,Moody's,Baa2,Positive
Uruguay,4/26/2023,S&P,BBB+,Stable
Uruguay,11/22/2022,DBRS,BBB,Stable
Uruguay,12/15/2021,Fitch,BBB-,Stable
Uruguay,11/24/2021,DBRS,BBB (low),Positive
Uruguay,10/5/2018,Fitch,BBB-,Negative
Uruguay,7/13/2017,Moody's,Baa2,Stable
Uruguay,5/30/2017,S&P,BBB,Stable
Uruguay,6/22/2016,Moody's,Baa2,Negative
Uruguay,6/6/2016,S&P,BBB,Negative
Uruguay,6/5/2015,S&P,BBB,Stable
Uruguay,5/29/2014,Moody's,Baa2,Stable
Uruguay,5/3/2013,DBRS,BBB (low),Stable
Uruguay,3/7/2013,Fitch,BBB-,Stable
Uruguay,7/31/2012,Moody's,Baa3,Positive
Uruguay,4/24/2012,Fitch,BB+,Positive
Uruguay,4/4/2012,DBRS,BB (high),Positive
Uruguay,4/3/2012,S&P,BBB-,Stable
Uruguay,1/26/2012,Moody's,Ba1,Positive
Uruguay,7/25/2011,S&P,BB+,Stable
Uruguay,7/14/2011,Fitch,BB+,Stable
Uruguay,2/15/2011,DBRS,BB,Positive
Uruguay,12/8/2010,Moody's,Ba1,Stable
Uruguay,7/27/2010,Fitch,BB,Positive
Uruguay,7/15/2010,Moody's,Ba3,Positive Watch
Uruguay,4/8/2010,DBRS,BB,Stable
Uruguay,9/21/2009,DBRS,BB (low),Positive
Uruguay,7/13/2009,Fitch,BB-,Positive
Uruguay,1/12/2009,Moody's,Ba3,Stable
Uruguay,8/14/2008,Moody's,B1,Positive Watch
Uruguay,2/28/2008,DBRS,BB (low),Stable
Uruguay,7/27/2007,Fitch,BB-,Stable
Uruguay,12/21/2006,Moody's,B1,Stable
Uruguay,9/12/2006,Moody's,B3,Positive Watch
Uruguay,5/24/2006,Fitch,B+,Positive
Uruguay,3/7/2005,Fitch,B+,Stable
Uruguay,11/10/2004,Moody's,B3,Stable
Uruguay,3/29/2004,Fitch,B,Stable
Uruguay,6/17/2003,Fitch,B-,Stable
Uruguay,5/16/2003,Fitch,DDD,N/A
Uruguay,4/10/2003,Fitch,C,N/A
Uruguay,3/12/2003,Fitch,CCC-,Negative
Uruguay,1/7/2003,Fitch,B-,Negative
Uruguay,7/31/2002,Moody's,B3,Negative
Uruguay,7/30/2002,Fitch,B,Negative
Uruguay,7/10/2002,Moody's,B1,Negative
Uruguay,5/28/2002,Fitch,B+,Negative Watch
Uruguay,5/21/2002,Moody's,Ba2,Negative Watch
Uruguay,5/3/2002,Moody's,Ba2,Negative
Uruguay,4/4/2002,Moody's,Baa3,Negative Watch
Uruguay,3/13/2002,Fitch,BB+,Negative
Uruguay,2/19/2002,Moody's,Baa3,Negative
Uruguay,7/23/2001,Fitch,BBB-,Negative
Uruguay,9/21/2000,Fitch,BBB-,Stable
Uruguay,6/10/1997,Moody's,Baa3,Stable
Uruguay,1/23/1997,Fitch,BBB-,N/A
Uruguay,1/14/1997,Fitch,BB+,Positive Watch
Uruguay,1/18/1995,Fitch,BB+,N/A
Uruguay,10/15/1993,Moody's,Ba1,Stable
