Country,Date,Agency,Rating,Outlook
Vietnam,12/8/2023,Fitch,BB+,Stable
Vietnam,9/6/2022,Moody's,Ba2,Stable
Vietnam,5/26/2022,S&P,BB+,Stable
Vietnam,5/21/2021,S&P,BB,Positive
Vietnam,4/1/2021,Fitch,BB,Positive
Vietnam,3/18/2021,Moody's,Ba3,Positive
Vietnam,4/8/2020,Fitch,BB,Stable
Vietnam,12/18/2019,Moody's,Ba3,Negative
Vietnam,10/9/2019,Moody's,Ba3,Under Review
Vietnam,5/9/2019,Fitch,BB,Positive
Vietnam,4/5/2019,S&P,BB,Stable
Vietnam,8/10/2018,Moody's,Ba3,Stable
Vietnam,5/15/2018,Fitch,BB,Stable
Vietnam,5/18/2017,Fitch,BB-,Positive
Vietnam,4/28/2017,Moody's,B1,Positive
Vietnam,11/3/2014,Fitch,BB-,Stable
Vietnam,7/29/2014,Moody's,B1,Stable
Vietnam,1/23/2014,Fitch,B+,Positive
Vietnam,9/28/2012,Moody's,B2,Stable
Vietnam,6/6/2012,S&P,BB-,Stable
Vietnam,8/19/2011,S&P,BB-,Negative
Vietnam,12/23/2010,S&P,BB,Negative
Vietnam,12/15/2010,Moody's,B1,Negative
Vietnam,7/28/2010,Fitch,B+,Stable
Vietnam,3/11/2010,Fitch,BB-,Negative Watch
Vietnam,6/29/2009,Fitch,BB-,Stable
Vietnam,6/4/2008,Moody's,Ba3,Negative
Vietnam,5/29/2008,Fitch,BB-,Negative
Vietnam,3/15/2007,Moody's,Ba3,Positive
Vietnam,7/7/2005,Moody's,Ba3,Stable
Vietnam,11/6/2003,Fitch,BB-,Stable
Vietnam,5/11/2003,Moody's,B1,Positive
Vietnam,6/11/2002,Fitch,BB-,Positive
Vietnam,7/9/1998,Moody's,B1,Stable
Vietnam,4/17/1997,Moody's,Ba3,Stable
