iso3,Date,debt-to-gdp
ARG,1992-01-01,24.961
ARG,1992-02-01,24.961
ARG,1992-03-01,24.961
ARG,1992-04-01,24.961
ARG,1992-05-01,24.961
ARG,1992-06-01,24.961
ARG,1992-07-01,24.961
ARG,1992-08-01,24.961
ARG,1992-09-01,24.961
ARG,1992-10-01,24.961
ARG,1992-11-01,24.961
ARG,1992-12-01,24.961
ARG,1993-01-01,26.893
ARG,1993-02-01,26.893
ARG,1993-03-01,26.893
ARG,1993-04-01,26.893
ARG,1993-05-01,26.893
ARG,1993-06-01,26.893
ARG,1993-07-01,26.893
ARG,1993-08-01,26.893
ARG,1993-09-01,26.893
ARG,1993-10-01,26.893
ARG,1993-11-01,26.893
ARG,1993-12-01,26.893
ARG,1994-01-01,28.426
ARG,1994-02-01,28.426
ARG,1994-03-01,28.426
ARG,1994-04-01,28.426
ARG,1994-05-01,28.426
ARG,1994-06-01,28.426
ARG,1994-07-01,28.426
ARG,1994-08-01,28.426
ARG,1994-09-01,28.426
ARG,1994-10-01,28.426
ARG,1994-11-01,28.426
ARG,1994-12-01,28.426
ARG,1995-01-01,30.749
ARG,1995-02-01,30.749
ARG,1995-03-01,30.749
ARG,1995-04-01,30.749
ARG,1995-05-01,30.749
ARG,1995-06-01,30.749
ARG,1995-07-01,30.749
ARG,1995-08-01,30.749
ARG,1995-09-01,30.749
ARG,1995-10-01,30.749
ARG,1995-11-01,30.749
ARG,1995-12-01,30.749
ARG,1996-01-01,32.551
ARG,1996-02-01,32.551
ARG,1996-03-01,32.551
ARG,1996-04-01,32.551
ARG,1996-05-01,32.551
ARG,1996-06-01,32.551
ARG,1996-07-01,32.551
ARG,1996-08-01,32.551
ARG,1996-09-01,32.551
ARG,1996-10-01,32.551
ARG,1996-11-01,32.551
ARG,1996-12-01,32.551
ARG,1997-01-01,31.676
ARG,1997-02-01,31.676
ARG,1997-03-01,31.676
ARG,1997-04-01,31.676
ARG,1997-05-01,31.676
ARG,1997-06-01,31.676
ARG,1997-07-01,31.676
ARG,1997-08-01,31.676
ARG,1997-09-01,31.676
ARG,1997-10-01,31.676
ARG,1997-11-01,31.676
ARG,1997-12-01,31.676
ARG,1998-01-01,34.147
ARG,1998-02-01,34.147
ARG,1998-03-01,34.147
ARG,1998-04-01,34.147
ARG,1998-05-01,34.147
ARG,1998-06-01,34.147
ARG,1998-07-01,34.147
ARG,1998-08-01,34.147
ARG,1998-09-01,34.147
ARG,1998-10-01,34.147
ARG,1998-11-01,34.147
ARG,1998-12-01,34.147
ARG,1999-01-01,38.917
ARG,1999-02-01,38.917
ARG,1999-03-01,38.917
ARG,1999-04-01,38.917
ARG,1999-05-01,38.917
ARG,1999-06-01,38.917
ARG,1999-07-01,38.917
ARG,1999-08-01,38.917
ARG,1999-09-01,38.917
ARG,1999-10-01,38.917
ARG,1999-11-01,38.917
ARG,1999-12-01,38.917
ARG,2000-01-01,40.833
ARG,2000-02-01,40.833
ARG,2000-03-01,40.833
ARG,2000-04-01,40.833
ARG,2000-05-01,40.833
ARG,2000-06-01,40.833
ARG,2000-07-01,40.833
ARG,2000-08-01,40.833
ARG,2000-09-01,40.833
ARG,2000-10-01,40.833
ARG,2000-11-01,40.833
ARG,2000-12-01,40.833
ARG,2001-01-01,48.007
ARG,2001-02-01,48.007
ARG,2001-03-01,48.007
ARG,2001-04-01,48.007
ARG,2001-05-01,48.007
ARG,2001-06-01,48.007
ARG,2001-07-01,48.007
ARG,2001-08-01,48.007
ARG,2001-09-01,48.007
ARG,2001-10-01,48.007
ARG,2001-11-01,48.007
ARG,2001-12-01,48.007
ARG,2002-01-01,147.203
ARG,2002-02-01,147.203
ARG,2002-03-01,147.203
