year,iso3c,mineral_rent
1995,ABW,0.0
1996,ABW,0.0
1997,ABW,0.0
1998,ABW,0.0
1999,ABW,0.0
2000,ABW,0.0
2001,ABW,0.0
2002,ABW,0.0
2003,ABW,0.0
2004,ABW,0.0
2005,ABW,0.0
2006,ABW,0.0
2007,ABW,0.0
2008,ABW,0.0
2009,ABW,0.0
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2021,ABW,0.0
1995,AFE,0.556009887701857
1996,AFE,0.925929082700612
1997,AFE,0.58595151014001
1998,AFE,0.418521228821424
1999,AFE,0.307786706544625
2000,AFE,0.485007130866936
2001,AFE,0.512488259644113
2002,AFE,0.616148173654935
2003,AFE,0.233854884720776
2004,AFE,0.411018354788754
2005,AFE,0.709934514856382
2006,AFE,1.33748329825004
2007,AFE,1.53741474549577
2008,AFE,1.58606718340584
2009,AFE,1.00482383528905
2010,AFE,1.74876648153491
2011,AFE,2.05302522742444
2012,AFE,1.62476714802553
2013,AFE,1.56532433794183
2014,AFE,1.1219131141543
2015,AFE,0.55927644721689
2016,AFE,0.763489700222222
2017,AFE,0.966148694481758
2018,AFE,0.882755100869043
2019,AFE,0.999557991425203
2020,AFE,1.26301218696265
2021,AFE,4.2155456176945
2002,AFG,0.0
2003,AFG,0.0
2004,AFG,0.0
2005,AFG,0.0
2006,AFG,0.0
2007,AFG,0.0
2008,AFG,0.0
2009,AFG,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.00231624131877265
2014,AFG,0.00299451617981368
2015,AFG,0.00198882413948307
2016,AFG,0.00281249304025955
2017,AFG,0.0
2018,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2021,AFG,0.0
1995,AFW,0.260889466490733
1996,AFW,0.330764896492228
1997,AFW,0.297489808810391
1998,AFW,0.278695582324216
1999,AFW,0.210451233944797
2000,AFW,0.259042639849951
2001,AFW,0.279058202722055
2002,AFW,0.279095570811604
2003,AFW,0.123883287776946
2004,AFW,0.157220619990536
2005,AFW,0.279195013471293
2006,AFW,0.415910535549068
2007,AFW,0.547900062789043
2008,AFW,0.569181983575515
2009,AFW,0.610485495822836
2010,AFW,0.769345154750279
2011,AFW,1.05326410354014
2012,AFW,0.93460511756826
2013,AFW,0.671275731637831
2014,AFW,0.513791240148566
2015,AFW,0.389799214197729
2016,AFW,0.530278879290654
2017,AFW,0.658779701903024
2018,AFW,0.582927666495916
2019,AFW,0.470550556295888
2020,AFW,0.583925818970798
2021,AFW,1.72082649539829
1995,AGO,0.0
1996,AGO,0.0
1997,AGO,0.0
1998,AGO,0.0
1999,AGO,0.0
2000,AGO,0.0
2001,AGO,0.0
2002,AGO,0.0
2003,AGO,0.0
2004,AGO,0.0
2005,AGO,0.0
2006,AGO,0.0
2007,AGO,0.0
2008,AGO,0.0
2009,AGO,0.0
2010,AGO,0.0
2011,AGO,0.0
2012,AGO,0.0
2013,AGO,0.0
2014,AGO,0.0
2015,AGO,0.0
2016,AGO,0.0
2017,AGO,0.0
2018,AGO,0.0
2019,AGO,0.0
2020,AGO,0.0
2021,AGO,0.0
1995,ALB,0.0371836556084784
1996,ALB,0.0374604683665921
1997,ALB,0.00860043303615463
1998,ALB,0.0183314952147957
1999,ALB,0.0056724020334504
2000,ALB,0.0
2001,ALB,0.0
2002,ALB,0.0
2003,ALB,0.0
2004,ALB,0.00996934027917021
2005,ALB,0.0251232422071704
2006,ALB,0.121229707314126
2007,ALB,0.834611352735755
2008,ALB,0.0787066226839956
2009,ALB,0.0418367002792885
2010,ALB,0.142023694482101
2011,ALB,0.218928064038002
2012,ALB,0.16577444361184
2013,ALB,0.111634515955776
2014,ALB,0.1053812583674
2015,ALB,0.0657948465115933
2016,ALB,0.00269413280085731
2017,ALB,0.0
2018,ALB,0.04086882669798
2019,ALB,0.0363885551416296
2020,ALB,0.038933811291737
2021,ALB,0.180213705970408
1995,AND,0.0
1996,AND,0.0
1997,AND,0.0
1998,AND,0.0
1999,AND,0.0
2000,AND,0.0
2001,AND,0.0
2002,AND,0.0
2003,AND,0.0
2004,AND,0.0
2005,AND,0.0
2006,AND,0.0
2007,AND,0.0
2008,AND,0.0
2009,AND,0.0
2010,AND,0.0
2011,AND,0.0
2012,AND,0.0
2013,AND,0.0
2014,AND,0.0
2015,AND,0.0
2016,AND,0.0
2017,AND,0.0
2018,AND,0.0
2019,AND,0.0
2020,AND,0.0
2021,AND,0.0
1995,ARB,0.0251795991786898
1996,ARB,0.0200461205673267
1997,ARB,0.0160316893233238
1998,ARB,0.0193518612818725
1999,ARB,0.0118417110892169
2000,ARB,0.0110057065197211
2001,ARB,0.0125055018301396
2002,ARB,0.0134437988475218
2003,ARB,0.00576203555909607
2004,ARB,0.0425816085334969
2005,ARB,0.0729924685456938
2006,ARB,0.0921784583564376
2007,ARB,0.153121329335464
