year,iso3c,population
1995,ABW,96000.0
1996,ABW,99000.0
1997,ABW,100000.0
1998,ABW,100000.0
1999,ABW,101000.0
2000,ABW,102000.0
2001,ABW,102000.0
2002,ABW,103000.0
2003,ABW,105000.0
2004,ABW,106000.0
2005,ABW,107000.0
2006,ABW,109000.0
2007,ABW,109000.0
2008,ABW,109000.0
2009,ABW,109000.0
2010,ABW,109000.0
2011,ABW,108000.0
2012,ABW,107000.0
2013,ABW,107000.0
2014,ABW,108000.0
2015,ABW,108000.0
2016,ABW,108000.0
2017,ABW,108000.0
2018,ABW,108000.0
2019,ABW,108000.0
2020,ABW,109000.0
2021,ABW,109000.0
2022,ABW,109000.0
2023,ABW,109000.0
2024,ABW,109000.0
2025,ABW,109000.0
2002,AFG,21000000.0
2003,AFG,22645000.0
2004,AFG,23554000.0
2005,AFG,24411000.0
2006,AFG,25443000.0
2007,AFG,25903000.0
2008,AFG,26427000.0
2009,AFG,27385000.0
2010,AFG,28190000.0
2011,AFG,29249000.0
2012,AFG,30466000.0
2013,AFG,31541000.0
2014,AFG,32716000.0
2015,AFG,33753000.0
2016,AFG,34636000.0
2017,AFG,35643000.0
2018,AFG,36687000.0
2019,AFG,37769000.0
2020,AFG,38972000.0
2021,AFG,40099000.0
2022,AFG,41142000.0
2023,AFG,42171000.0
1995,AGO,13912000.0
1996,AGO,14383000.0
1997,AGO,14871000.0
1998,AGO,15367000.0
1999,AGO,15871000.0
2000,AGO,16394000.0
2001,AGO,16942000.0
2002,AGO,17516000.0
2003,AGO,18124000.0
2004,AGO,18771000.0
2005,AGO,19451000.0
2006,AGO,20162000.0
2007,AGO,20910000.0
2008,AGO,21692000.0
2009,AGO,22508000.0
2010,AGO,23364000.0
2011,AGO,24259000.0
2012,AGO,25188000.0
2013,AGO,26147000.0
2014,AGO,27128000.0
2015,AGO,28128000.0
2016,AGO,29155000.0
2017,AGO,30209000.0
2018,AGO,31274000.0
2019,AGO,32354000.0
2020,AGO,33428000.0
2021,AGO,34504000.0
2022,AGO,35589000.0
2023,AGO,36684000.0
2024,AGO,37968000.0
2025,AGO,39297000.0
1995,ALB,3188000.0
1996,ALB,3168000.0
1997,ALB,3148000.0
1998,ALB,3129000.0
1999,ALB,3109000.0
2000,ALB,3089000.0
2001,ALB,3060000.0
2002,ALB,3051000.0
2003,ALB,3040000.0
2004,ALB,3027000.0
2005,ALB,3011000.0
2006,ALB,2993000.0
2007,ALB,2970000.0
2008,ALB,2947000.0
2009,ALB,2928000.0
2010,ALB,2913000.0
2011,ALB,2905000.0
2012,ALB,2900000.0
2013,ALB,2895000.0
2014,ALB,2889000.0
2015,ALB,2881000.0
2016,ALB,2876000.0
2017,ALB,2873000.0
2018,ALB,2866000.0
2019,ALB,2854000.0
2020,ALB,2838000.0
2021,ALB,2812000.0
2022,ALB,2778000.0
2023,ALB,2750000.0
2024,ALB,2722000.0
2025,ALB,2695000.0
2010,AND,70000.0
2011,AND,70000.0
2012,AND,70000.0
2013,AND,70000.0
2014,AND,71000.0
2015,AND,72000.0
2016,AND,73000.0
2017,AND,75000.0
2018,AND,76000.0
2019,AND,78000.0
2020,AND,78000.0
2021,AND,80000.0
2022,AND,82000.0
2023,AND,85000.0
2024,AND,87000.0
2025,AND,89000.0
1995,ARE,2411000.0
1996,ARE,2443000.0
1997,ARE,2580000.0
1998,ARE,2834000.0
1999,ARE,3033000.0
2000,ARE,3169000.0
2001,ARE,3346000.0
2002,ARE,3546000.0
2003,ARE,3866000.0
2004,ARE,4230000.0
2005,ARE,4585000.0
2006,ARE,4910000.0
2007,ARE,5595000.0
2008,ARE,6498000.0
2009,ARE,6774000.0
2010,ARE,6965000.0
2011,ARE,7244000.0
2012,ARE,7539000.0
2013,ARE,7847000.0
2014,ARE,8272000.0
2015,ARE,8738000.0
2016,ARE,9132000.0
2017,ARE,9315000.0
2018,ARE,9379000.0
2019,ARE,9513000.0
2020,ARE,9289000.0
2021,ARE,9861000.0
2022,ARE,10289000.0
2023,ARE,10679000.0
2024,ARE,10999000.0
2025,ARE,11083000.0
1995,ARG,34779000.0
1996,ARG,35196000.0
1997,ARG,35604000.0
1998,ARG,36005000.0
1999,ARG,36399000.0
2000,ARG,36784000.0
2001,ARG,37156000.0
2002,ARG,37516000.0
2003,ARG,37870000.0
2004,ARG,38226000.0
2005,ARG,38592000.0
2006,ARG,38971000.0
2007,ARG,39356000.0
2008,ARG,39746000.0
2009,ARG,40134000.0
2010,ARG,40788000.0
2011,ARG,41261000.0
2012,ARG,41733000.0
2013,ARG,42203000.0
2014,ARG,42670000.0
2015,ARG,43132000.0
2016,ARG,43590000.0
2017,ARG,44045000.0
2018,ARG,44495000.0
2019,ARG,44939000.0
2020,ARG,45377000.0
2021,ARG,45809000.0
2022,ARG,46235000.0
2023,ARG,46655000.0
2024,ARG,47121000.0
2025,ARG,47592000.0
1995,ARM,3220000.0
1996,ARM,3170000.0
1997,ARM,3140000.0
1998,ARM,3110000.0
1999,ARM,3090000.0
2000,ARM,3080000.0
2001,ARM,3060000.0
2002,ARM,3050000.0
2003,ARM,3040000.0
2004,ARM,3030000.0
2005,ARM,3010000.0
2006,ARM,3000000.0
2007,ARM,2990000.0
2008,ARM,2980000.0
2009,ARM,2970000.0
2010,ARM,2966000.0
2011,ARM,2968000.0
2012,ARM,2970000.0
2013,ARM,2980000.0
2014,ARM,2985000.0
2015,ARM,2990000.0
2016,ARM,2993000.0
2017,ARM,2979000.0
2018,ARM,2969000.0
2019,ARM,2963000.0
2020,ARM,2962000.0
2021,ARM,2962000.0
2022,ARM,2930000.0
2023,ARM,2964000.0
2024,ARM,2964000.0
2025,ARM,2965000.0
1995,ATG,67000.0
1996,ATG,68000.0
1997,ATG,70000.0
1998,ATG,72000.0
1999,ATG,74000.0
2000,ATG,76000.0
2001,ATG,77000.0
2002,ATG,78000.0
2003,ATG,78000.0
2004,ATG,79000.0
