Variable,Missing_Count,Missing_Percentage,Complete_Percentage
deficit_to_gdp,7442,11.7,88.3
gdp_per_capita,7454,11.8,88.2
gross gdp,7466,11.8,88.2
current_account_balance,7682,12.1,87.9
debt_to_gdp,11726,18.5,81.5
gdp_annual_growth_rate,12422,19.6,80.4
vulnerability,17450,27.6,72.4
yield_with_spread,18408,29.1,70.9
sovereign_spread,18408,29.1,70.9
cpi_yoy,20723,32.7,67.3
wgi_cc,22490,35.5,64.5
wgi_ge,22490,35.5,64.5
wgi_pv,22490,35.5,64.5
wgi_rl,22490,35.5,64.5
wgi_rq,22490,35.5,64.5
wgi_va,22490,35.5,64.5
