year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,population,mineral_rent
1980,AUS,11.596625,0.1351851481421914,,2.875,,,,,,,,,,,,,,,
1980,AUT,9.19520772300206,-2.2662321288557488,,,,,,,,,,,,,,,,,
1980,BEL,12.200833333333334,0.7393934814755245,,,,,,,,,,,,,,,,,
1980,CAN,12.337166666666668,0.8757268148088583,,2.1999999999999997,,,,,,,,,,,,,,,
1980,CHE,4.7687260107889395,-6.692713841068869,,,,,,,,,,,,,,,,,
1980,CIV,,,,-10.96,,,,,,,,,,,,,,,
1980,DEU,8.488264273166447,-2.9731755786913614,,1.375,,,,,,,,,,,,,,,
1980,DNK,18.966666666666665,7.505226814808857,,,,,,,,,,,,,,,,,
1980,ESP,15.960833333333332,4.499393481475525,,,,,,,,,,,,,,,,,
1980,EUR,12.372141666666666,0.910701814808858,,,,,,,,,,,,,,,,,
1980,FIN,10.421666666666669,-1.0397731851911418,,,,,,,,,,,,,,,,,
1980,FRA,13.784166666666666,2.322726814808858,,1.675,,,,,,,,,,,,,,,
1980,GBR,13.037303140096618,1.57586328823881,,-2.025,,,,,,,,,,,,,,,
1980,GRC,21.87,9.025909090909092,,,,,,,,,,,,,,,,,
1980,HKG,,,,10.025,,,,,,,,,,,,,,,
1980,IND,6.665833333333333,-4.795606518524475,,7.2,,,,,,,,,,,,,,,
1980,IRL,15.3525,3.8910601481421914,,,,,,,,,,,,,,,,,
1980,ITA,16.105,4.643560148142192,,3.475,,,,,,,,,,,,,,,
1980,JPN,8.743553911227663,-2.717885940630147,,,,,,,,,,,,,,,,,
1980,KOR,,,,-1.5,,,,,,,,,,,,,,,
1980,KWT,,,,-20.62,,,,,,,,,,,,,,,
1980,LUX,7.501666666666666,-3.959773185191142,,,,,,,,,,,,,,,,,
1980,MYS,7.966666666666666,-3.4947731851911414,,,,,,,,,,,,,,,,,
1980,NLD,10.132667795972145,-1.3287720558856646,,,,,,,,,,,,,,,,,
1980,NOR,10.800833333333332,-0.6606065185244754,,4.75,,,,,,,,,,,,,,,
