iso3,Date,account balance
ARG,1990-01-01,2.952
ARG,1991-01-01,-0.202
ARG,1992-01-01,-2.529
ARG,1993-01-01,-3.042
ARG,1994-01-01,-3.815
ARG,1995-01-01,-1.769
ARG,1996-01-01,-2.352
ARG,1997-01-01,-3.753
ARG,1998-01-01,-4.38
ARG,1999-01-01,-3.815
ARG,2000-01-01,-2.878
ARG,2001-01-01,-1.316
ARG,2002-01-01,7.666
ARG,2003-01-01,5.597
ARG,2004-01-01,1.798
ARG,2005-01-01,2.473
ARG,2006-01-01,2.791
ARG,2007-01-01,2.101
ARG,2008-01-01,1.491
ARG,2009-01-01,2.167
ARG,2010-01-01,-0.382
ARG,2011-01-01,-1.012
ARG,2012-01-01,-0.369
ARG,2013-01-01,-2.147
ARG,2014-01-01,-1.629
ARG,2015-01-01,-2.743
ARG,2016-01-01,-2.713
ARG,2017-01-01,-4.838
ARG,2018-01-01,-5.164
ARG,2019-01-01,-0.781
ARG,2020-01-01,0.698
ARG,2021-01-01,1.363
ARG,2022-01-01,-0.641
ARG,2023-01-01,-3.246
ARG,2024-01-01,0.994
ARG,2025-01-01,-0.391
ARM,1992-01-01,-46.28
ARM,1993-01-01,-5.993
ARM,1994-01-01,3.804
ARM,1995-01-01,-16.972
ARM,1996-01-01,-18.202
ARM,1997-01-01,-19.315
ARM,1998-01-01,-21.992
ARM,1999-01-01,-16.937
ARM,2000-01-01,-15.781
ARM,2001-01-01,-10.44
ARM,2002-01-01,-6.219
ARM,2003-01-01,-6.181
ARM,2004-01-01,-2.204
ARM,2005-01-01,-2.529
ARM,2006-01-01,-2.395
ARM,2007-01-01,-7.357
ARM,2008-01-01,-14.225
ARM,2009-01-01,-16.484
ARM,2010-01-01,-13.622
ARM,2011-01-01,-10.44
ARM,2012-01-01,-9.962
ARM,2013-01-01,-7.297
ARM,2014-01-01,-7.75
ARM,2015-01-01,-2.662
ARM,2016-01-01,-0.957
ARM,2017-01-01,-1.261
ARM,2018-01-01,-7.228
ARM,2019-01-01,-7.057
ARM,2020-01-01,-3.998
ARM,2021-01-01,-3.482
ARM,2022-01-01,0.333
ARM,2023-01-01,-2.309
ARM,2024-01-01,-3.905
ARM,2025-01-01,-4.522
AUS,1990-01-01,-4.859
AUS,1991-01-01,-3.287
AUS,1992-01-01,-3.283
AUS,1993-01-01,-3.036
AUS,1994-01-01,-4.491
AUS,1995-01-01,-4.957
AUS,1996-01-01,-3.499
AUS,1997-01-01,-2.926
AUS,1998-01-01,-4.908
AUS,1999-01-01,-5.479
AUS,2000-01-01,-4.046
AUS,2001-01-01,-2.249
AUS,2002-01-01,-3.799
AUS,2003-01-01,-5.324
AUS,2004-01-01,-6.307
AUS,2005-01-01,-5.952
AUS,2006-01-01,-5.875
AUS,2007-01-01,-6.746
AUS,2008-01-01,-4.854
AUS,2009-01-01,-4.514
AUS,2010-01-01,-3.693
AUS,2011-01-01,-2.979
AUS,2012-01-01,-4.358
AUS,2013-01-01,-3.388
AUS,2014-01-01,-3.086
AUS,2015-01-01,-4.714
AUS,2016-01-01,-3.455
AUS,2017-01-01,-2.835
AUS,2018-01-01,-2.569
AUS,2019-01-01,-0.021
AUS,2020-01-01,1.734
AUS,2021-01-01,2.396
AUS,2022-01-01,0.372
AUS,2023-01-01,-0.295
AUS,2024-01-01,-1.927
AUS,2025-01-01,-3.069
AUT,1990-01-01,0.703
AUT,1991-01-01,0.035
AUT,1992-01-01,-0.387
AUT,1993-01-01,-0.535
AUT,1994-01-01,-1.475
AUT,1995-01-01,-2.876
AUT,1996-01-01,-2.854
AUT,1997-01-01,-2.559
AUT,1998-01-01,-1.863
AUT,1999-01-01,-2.27
AUT,2000-01-01,-0.71
AUT,2001-01-01,-0.8
