date,iso3c,year,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,GAIN
2009-01-01,ARE,2009,,,1.6130501220708533,,,,,,,,,,,,,,-18.1917800023305
2010-01-01,ARE,2010,,,0.8769794897130835,,,,,,,,,,,,,,-16.7935665117166
2011-01-01,ARE,2011,,,0.8826797272662424,,,,,,,,,,,,,,-17.4604344191109
2012-01-01,ARE,2012,,,0.6624202232547473,,,,,,,,,,,,,,-16.808960338884
2013-01-01,ARE,2013,,,1.10053085146874,5.05,,,,,,,,,,,,,-14.6541342402602
2014-01-01,ARE,2014,,,2.3438020767935956,4.125,,,,,,,,,,,,,-13.6532270866412
2015-01-01,ARE,2015,,,4.070595283930346,6.95,,,,,,,,,,,,,-8.93378139116857
2016-01-01,ARE,2016,,,1.6202323496791602,5.575,,,,,,,,,,,,,-7.71440384184198
2017-01-01,ARE,2017,,,1.9695470742917027,0.75,,,,,,,,,,,,,-7.63786859653498
2018-01-01,ARE,2018,,,3.075074739822936,1.325,,,,,,,,,,,,,-10.18614636583
2019-01-01,ARE,2019,,,-1.9292185525461856,1.075,,,,,,,,,,,,,-10.8710141265141
2020-01-01,ARE,2020,,,-2.0796579372280024,-5.0,,,,,,,,,,,,,-5.78558470568508
2021-01-01,ARE,2021,,,0.18847159437974606,4.125,,,,,,,,,,,,,-6.02205249723134
2022-01-01,ARE,2022,,,5.289824768418669,7.675000000000001,,,,,,,,,,,,,-8.43106647638719
2023-01-01,ARE,2023,,,1.642819244531224,3.5749999999999997,,,,,,,,,,,,,-9.55812614421778
2024-01-01,ARE,2024,,,1.6664385178923748,3.5999999999999996,,,,,,,,,,,,,
2025-01-01,ARE,2025,,,1.380856547320023,,,,,,,,,,,,,,
1990-01-01,ARG,1990,,,,,4857.796,158.024,,4857.796,2.952,,,,,,,,
1991-01-01,ARG,1991,,,,,6429.454000000001,211.979,,6429.454000000001,-0.20200000000000004,,,,,,,,
1992-01-01,ARG,1992,,,,,7653.711,255.787,24.961,7653.711,-2.529,,,,,,,,
1993-01-01,ARG,1993,,,,,7796.240000000001,264.429,26.893,3898.7484999999997,-3.042,,,,,,,,
1994-01-01,ARG,1994,,,,5.925,8378.735,287.835,28.426,4189.441000000001,-3.815,,,,,,,,
