iso3,Date,debt-to-gdp
ARE,1999-01-01,4.727
ARE,2000-01-01,3.12
ARE,2001-01-01,2.69
ARE,2002-01-01,3.427
ARE,2003-01-01,3.332
ARE,2004-01-01,4.08
ARE,2005-01-01,4.482
ARE,2006-01-01,5.052
ARE,2007-01-01,8.892
ARE,2008-01-01,8.949
ARE,2009-01-01,21.136
ARE,2010-01-01,18.799
ARE,2011-01-01,20.862
ARE,2012-01-01,20.657
ARE,2013-01-01,15.611
ARE,2014-01-01,13.819
ARE,2015-01-01,16.104
ARE,2016-01-01,19.267
ARE,2017-01-01,21.864
ARE,2018-01-01,21.329
ARE,2019-01-01,26.801
ARE,2020-01-01,41.294
ARE,2021-01-01,36.291
ARE,2022-01-01,32.057
ARE,2023-01-01,32.436
ARE,2024-01-01,32.114
ARE,2025-01-01,32.817
ARG,1992-01-01,24.961
ARG,1993-01-01,26.893
ARG,1994-01-01,28.426
ARG,1995-01-01,30.749
ARG,1996-01-01,32.551
ARG,1997-01-01,31.676
ARG,1998-01-01,34.147
ARG,1999-01-01,38.917
ARG,2000-01-01,40.833
ARG,2001-01-01,48.007
ARG,2002-01-01,147.203
ARG,2003-01-01,125.162
ARG,2004-01-01,117.878
ARG,2005-01-01,80.282
ARG,2006-01-01,70.793
ARG,2007-01-01,62.133
ARG,2008-01-01,53.814
ARG,2009-01-01,55.397
ARG,2010-01-01,43.454
ARG,2011-01-01,38.935
ARG,2012-01-01,40.436
ARG,2013-01-01,43.496
ARG,2014-01-01,44.697
ARG,2015-01-01,52.563
ARG,2016-01-01,53.06
ARG,2017-01-01,57.028
ARG,2018-01-01,85.246
ARG,2019-01-01,89.84
ARG,2020-01-01,103.816
ARG,2021-01-01,81.043
ARG,2022-01-01,84.463
ARG,2023-01-01,155.411
ARG,2024-01-01,85.334
ARG,2025-01-01,73.091
AUS,1990-01-01,16.407
AUS,1991-01-01,21.607
AUS,1992-01-01,27.632
AUS,1993-01-01,30.665
AUS,1994-01-01,31.709
AUS,1995-01-01,31.143
AUS,1996-01-01,29.345
AUS,1997-01-01,25.907
AUS,1998-01-01,23.698
AUS,1999-01-01,22.544
AUS,2000-01-01,19.495
AUS,2001-01-01,17.106
AUS,2002-01-01,15.01
AUS,2003-01-01,13.186
AUS,2004-01-01,11.907
AUS,2005-01-01,10.858
AUS,2006-01-01,9.938
AUS,2007-01-01,9.665
AUS,2008-01-01,11.742
AUS,2009-01-01,16.622
AUS,2010-01-01,20.35
AUS,2011-01-01,24.04
AUS,2012-01-01,27.521
AUS,2013-01-01,30.466
AUS,2014-01-01,34.036
AUS,2015-01-01,37.726
AUS,2016-01-01,40.621
AUS,2017-01-01,41.195
AUS,2018-01-01,41.758
AUS,2019-01-01,46.72
AUS,2020-01-01,57.092
AUS,2021-01-01,55.537
