iso3,Date,deficit-to-gdp
ARE,1990-01-01,27484.598
ARE,1990-02-01,27484.598
ARE,1990-03-01,27484.598
ARE,1990-04-01,27484.598
ARE,1990-05-01,27484.598
ARE,1990-06-01,27484.598
ARE,1990-07-01,27484.598
ARE,1990-08-01,27484.598
ARE,1990-09-01,27484.598
ARE,1990-10-01,27484.598
ARE,1990-11-01,27484.598
ARE,1990-12-01,27484.598
ARE,1991-01-01,5.448
ARE,1991-01-01,25577.028
ARE,1991-02-01,5.448
ARE,1991-02-01,25577.028
ARE,1991-03-01,5.448
ARE,1991-03-01,25577.028
ARE,1991-04-01,5.448
ARE,1991-04-01,25577.028
ARE,1991-05-01,5.448
ARE,1991-05-01,25577.028
ARE,1991-06-01,5.448
ARE,1991-06-01,25577.028
ARE,1991-07-01,5.448
ARE,1991-07-01,25577.028
ARE,1991-08-01,5.448
ARE,1991-08-01,25577.028
ARE,1991-09-01,5.448
ARE,1991-09-01,25577.028
ARE,1991-10-01,5.448
ARE,1991-10-01,25577.028
ARE,1991-11-01,5.448
ARE,1991-11-01,25577.028
ARE,1991-12-01,5.448
ARE,1991-12-01,25577.028
ARE,1992-01-01,3.6
ARE,1992-01-01,25833.806
ARE,1992-02-01,3.6
ARE,1992-02-01,25833.806
ARE,1992-03-01,3.6
ARE,1992-03-01,25833.806
ARE,1992-04-01,3.6
ARE,1992-04-01,25833.806
ARE,1992-05-01,3.6
ARE,1992-05-01,25833.806
ARE,1992-06-01,3.6
ARE,1992-06-01,25833.806
ARE,1992-07-01,3.6
ARE,1992-07-01,25833.806
ARE,1992-08-01,3.6
ARE,1992-08-01,25833.806
ARE,1992-09-01,3.6
ARE,1992-09-01,25833.806
ARE,1992-10-01,3.6
ARE,1992-10-01,25833.806
ARE,1992-11-01,3.6
ARE,1992-11-01,25833.806
ARE,1992-12-01,3.6
ARE,1992-12-01,25833.806
ARE,1993-01-01,-2.87
ARE,1993-01-01,25033.005
ARE,1993-02-01,-2.87
ARE,1993-02-01,25033.005
ARE,1993-03-01,-2.87
ARE,1993-03-01,25033.005
ARE,1993-04-01,-2.87
ARE,1993-04-01,25033.005
ARE,1993-05-01,-2.87
ARE,1993-05-01,25033.005
ARE,1993-06-01,-2.87
ARE,1993-06-01,25033.005
ARE,1993-07-01,-2.87
ARE,1993-07-01,25033.005
ARE,1993-08-01,-2.87
ARE,1993-08-01,25033.005
ARE,1993-09-01,-2.87
ARE,1993-09-01,25033.005
ARE,1993-10-01,-2.87
ARE,1993-10-01,25033.005
ARE,1993-11-01,-2.87
ARE,1993-11-01,25033.005
ARE,1993-12-01,-2.87
ARE,1993-12-01,25033.005
ARE,1994-01-01,-1.783
ARE,1994-01-01,25737.492
ARE,1994-02-01,-1.783
ARE,1994-02-01,25737.492
ARE,1994-03-01,-1.783
ARE,1994-03-01,25737.492
ARE,1994-04-01,-1.783
ARE,1994-04-01,25737.492
ARE,1994-05-01,-1.783
ARE,1994-05-01,25737.492
ARE,1994-06-01,-1.783
ARE,1994-06-01,25737.492
ARE,1994-07-01,-1.783
ARE,1994-07-01,25737.492
ARE,1994-08-01,-1.783
ARE,1994-08-01,25737.492
ARE,1994-09-01,-1.783
ARE,1994-09-01,25737.492
ARE,1994-10-01,-1.783
ARE,1994-10-01,25737.492
ARE,1994-11-01,-1.783
ARE,1994-11-01,25737.492
ARE,1994-12-01,-1.783
ARE,1994-12-01,25737.492
ARE,1995-01-01,3.586
ARE,1995-01-01,26309.298
ARE,1995-02-01,3.586
ARE,1995-02-01,26309.298
ARE,1995-03-01,3.586
ARE,1995-03-01,26309.298
ARE,1995-04-01,3.586
ARE,1995-04-01,26309.298
ARE,1995-05-01,3.586
ARE,1995-05-01,26309.298
ARE,1995-06-01,3.586
ARE,1995-06-01,26309.298
ARE,1995-07-01,3.586
ARE,1995-07-01,26309.298
ARE,1995-08-01,3.586
ARE,1995-08-01,26309.298
ARE,1995-09-01,3.586
ARE,1995-09-01,26309.298
ARE,1995-10-01,3.586
ARE,1995-10-01,26309.298
ARE,1995-11-01,3.586
ARE,1995-11-01,26309.298
ARE,1995-12-01,3.586
ARE,1995-12-01,26309.298
ARE,1996-01-01,0.924
ARE,1996-01-01,29821.12
ARE,1996-02-01,0.924
ARE,1996-02-01,29821.12
ARE,1996-03-01,0.924
ARE,1996-03-01,29821.12
ARE,1996-04-01,0.924
ARE,1996-04-01,29821.12
ARE,1996-05-01,0.924
ARE,1996-05-01,29821.12
ARE,1996-06-01,0.924
ARE,1996-06-01,29821.12
ARE,1996-07-01,0.924
ARE,1996-07-01,29821.12
ARE,1996-08-01,0.924
ARE,1996-08-01,29821.12
ARE,1996-09-01,0.924
ARE,1996-09-01,29821.12
ARE,1996-10-01,0.924
ARE,1996-10-01,29821.12
ARE,1996-11-01,0.924
ARE,1996-11-01,29821.12
ARE,1996-12-01,0.924
ARE,1996-12-01,29821.12
ARE,1997-01-01,6.712
ARE,1997-01-01,29909.645
ARE,1997-02-01,6.712
ARE,1997-02-01,29909.645
ARE,1997-03-01,6.712
ARE,1997-03-01,29909.645
ARE,1997-04-01,6.712
ARE,1997-04-01,29909.645
ARE,1997-05-01,6.712
ARE,1997-05-01,29909.645
ARE,1997-06-01,6.712
ARE,1997-06-01,29909.645
ARE,1997-07-01,6.712
ARE,1997-07-01,29909.645
ARE,1997-08-01,6.712
ARE,1997-08-01,29909.645
ARE,1997-09-01,6.712
ARE,1997-09-01,29909.645
ARE,1997-10-01,6.712
ARE,1997-10-01,29909.645
ARE,1997-11-01,6.712
ARE,1997-11-01,29909.645
ARE,1997-12-01,6.712
ARE,1997-12-01,29909.645
ARE,1998-01-01,0.997
ARE,1998-01-01,26571.562
ARE,1998-02-01,0.997
ARE,1998-02-01,26571.562
ARE,1998-03-01,0.997
ARE,1998-03-01,26571.562
ARE,1998-04-01,0.997
ARE,1998-04-01,26571.562
ARE,1998-05-01,0.997
ARE,1998-05-01,26571.562
ARE,1998-06-01,0.997
ARE,1998-06-01,26571.562
ARE,1998-07-01,0.997
ARE,1998-07-01,26571.562
ARE,1998-08-01,0.997
ARE,1998-08-01,26571.562
ARE,1998-09-01,0.997
ARE,1998-09-01,26571.562
ARE,1998-10-01,0.997
ARE,1998-10-01,26571.562
ARE,1998-11-01,0.997
