iso3,date,gdp_annual_growth_rate
ARE,2013-01-01,7.3
ARE,2013-02-01,7.3
ARE,2013-03-01,7.3
ARE,2013-04-01,6.9
ARE,2013-05-01,6.9
ARE,2013-06-01,6.9
ARE,2013-07-01,5.3
ARE,2013-08-01,5.3
ARE,2013-09-01,5.3
ARE,2013-10-01,0.7
ARE,2013-11-01,0.7
ARE,2013-12-01,0.7
ARE,2014-01-01,4.6
ARE,2014-02-01,4.6
ARE,2014-03-01,4.6
ARE,2014-04-01,6.4
ARE,2014-05-01,6.4
ARE,2014-06-01,6.4
ARE,2014-07-01,4.6
ARE,2014-08-01,4.6
ARE,2014-09-01,4.6
ARE,2014-10-01,0.9
ARE,2014-11-01,0.9
ARE,2014-12-01,0.9
ARE,2015-01-01,5.7
ARE,2015-02-01,5.7
ARE,2015-03-01,5.7
ARE,2015-04-01,4.2
ARE,2015-05-01,4.2
ARE,2015-06-01,4.2
ARE,2015-07-01,5.1
ARE,2015-08-01,5.1
ARE,2015-09-01,5.1
ARE,2015-10-01,12.8
ARE,2015-11-01,12.8
ARE,2015-12-01,12.8
ARE,2016-01-01,4.9
ARE,2016-02-01,4.9
ARE,2016-03-01,4.9
ARE,2016-04-01,5.2
ARE,2016-05-01,5.2
ARE,2016-06-01,5.2
ARE,2016-07-01,5.8
ARE,2016-08-01,5.8
ARE,2016-09-01,5.8
ARE,2016-10-01,6.4
ARE,2016-11-01,6.4
ARE,2016-12-01,6.4
ARE,2017-01-01,3.7
ARE,2017-02-01,3.7
ARE,2017-03-01,3.7
ARE,2017-04-01,0.6
ARE,2017-05-01,0.6
ARE,2017-06-01,0.6
ARE,2017-07-01,-0.8
ARE,2017-08-01,-0.8
ARE,2017-09-01,-0.8
ARE,2017-10-01,-0.5
ARE,2017-11-01,-0.5
ARE,2017-12-01,-0.5
ARE,2018-01-01,-0.7
ARE,2018-02-01,-0.7
ARE,2018-03-01,-0.7
ARE,2018-04-01,1.1
ARE,2018-05-01,1.1
ARE,2018-06-01,1.1
ARE,2018-07-01,1.7
ARE,2018-08-01,1.7
ARE,2018-09-01,1.7
ARE,2018-10-01,3.2
ARE,2018-11-01,3.2
ARE,2018-12-01,3.2
ARE,2019-01-01,2.1
ARE,2019-02-01,2.1
ARE,2019-03-01,2.1
ARE,2019-04-01,2.1
ARE,2019-05-01,2.1
ARE,2019-06-01,2.1
ARE,2019-07-01,1.2
ARE,2019-08-01,1.2
ARE,2019-09-01,1.2
ARE,2019-10-01,-1.1
ARE,2019-11-01,-1.1
ARE,2019-12-01,-1.1
ARE,2020-01-01,1.0
