iso3,Date,gross gdp
ARE,1990-01-01,50.682
ARE,1991-01-01,49.3
ARE,1992-01-01,51.952
ARE,1993-01-01,52.144
ARE,1994-01-01,57.395
ARE,1995-01-01,63.432
ARE,1996-01-01,72.853
ARE,1997-01-01,77.167
ARE,1998-01-01,75.304
ARE,1999-01-01,84.42
ARE,2000-01-01,102.987
ARE,2001-01-01,103.312
ARE,2002-01-01,109.816
ARE,2003-01-01,124.346
ARE,2004-01-01,147.812
ARE,2005-01-01,180.616
ARE,2006-01-01,222.117
ARE,2007-01-01,257.883
ARE,2008-01-01,315.464
ARE,2009-01-01,253.547
ARE,2010-01-01,300.189
ARE,2011-01-01,360.833
ARE,2012-01-01,384.61
ARE,2013-01-01,400.219
ARE,2014-01-01,414.105
ARE,2015-01-01,370.276
ARE,2016-01-01,369.255
ARE,2017-01-01,390.517
ARE,2018-01-01,427.049
ARE,2019-01-01,417.99
ARE,2020-01-01,349.473
ARE,2021-01-01,415.179
ARE,2022-01-01,502.732
ARE,2023-01-01,514.13
ARE,2024-01-01,537.079
ARE,2025-01-01,548.598
ARG,1990-01-01,158.024
ARG,1991-01-01,211.979
ARG,1992-01-01,255.787
ARG,1993-01-01,264.429
ARG,1994-01-01,287.835
ARG,1995-01-01,288.497
ARG,1996-01-01,304.282
ARG,1997-01-01,327.436
ARG,1998-01-01,334.244
ARG,1999-01-01,316.998
ARG,2000-01-01,317.759
ARG,2001-01-01,300.421
ARG,2002-01-01,112.458
ARG,2003-01-01,142.431
ARG,2004-01-01,164.911
ARG,2005-01-01,199.273
ARG,2006-01-01,232.892
ARG,2007-01-01,287.921
ARG,2008-01-01,363.545
ARG,2009-01-01,334.633
ARG,2010-01-01,424.729
ARG,2011-01-01,527.644
ARG,2012-01-01,579.666
ARG,2013-01-01,611.471
ARG,2014-01-01,563.614
ARG,2015-01-01,642.464
ARG,2016-01-01,556.774
ARG,2017-01-01,643.861
ARG,2018-01-01,524.431
ARG,2019-01-01,446.762
ARG,2020-01-01,385.218
ARG,2021-01-01,486.04
ARG,2022-01-01,632.318
ARG,2023-01-01,645.511
ARG,2024-01-01,632.145
ARG,2025-01-01,683.533
AUS,1990-01-01,324.128
AUS,1991-01-01,324.436
AUS,1992-01-01,318.005
AUS,1993-01-01,309.303
AUS,1994-01-01,353.372
AUS,1995-01-01,379.227
AUS,1996-01-01,424.663
AUS,1997-01-01,426.401
AUS,1998-01-01,381.498
AUS,1999-01-01,411.968
AUS,2000-01-01,400.278
AUS,2001-01-01,378.114
AUS,2002-01-01,425.516
AUS,2003-01-01,541.155
AUS,2004-01-01,658.742
AUS,2005-01-01,736.505
AUS,2006-01-01,783.447
AUS,2007-01-01,950.093
AUS,2008-01-01,1056.559
AUS,2009-01-01,1000.828
AUS,2010-01-01,1254.623
AUS,2011-01-01,1515.507
AUS,2012-01-01,1570.139
AUS,2013-01-01,1519.9
AUS,2014-01-01,1456.939
AUS,2015-01-01,1233.921
AUS,2016-01-01,1262.655
AUS,2017-01-01,1381.11
AUS,2018-01-01,1417.162
AUS,2019-01-01,1386.277
AUS,2020-01-01,1362.613
AUS,2021-01-01,1655.843
AUS,2022-01-01,1725.461
AUS,2023-01-01,1742.461
AUS,2024-01-01,1796.805
AUS,2025-01-01,1771.681
AUT,1990-01-01,165.953
AUT,1991-01-01,173.481
AUT,1992-01-01,194.436
AUT,1993-01-01,189.342
AUT,1994-01-01,202.854
AUT,1995-01-01,239.914
AUT,1996-01-01,236.044
AUT,1997-01-01,211.978
AUT,1998-01-01,217.363
AUT,1999-01-01,216.637
AUT,2000-01-01,196.268
AUT,2001-01-01,196.479
AUT,2002-01-01,212.687
AUT,2003-01-01,260.714
AUT,2004-01-01,299.075
AUT,2005-01-01,314.126
AUT,2006-01-01,333.924
AUT,2007-01-01,386.806
AUT,2008-01-01,429.187
AUT,2009-01-01,398.857
AUT,2010-01-01,390.146
AUT,2011-01-01,428.879
AUT,2012-01-01,407.008
AUT,2013-01-01,426.587
AUT,2014-01-01,438.669
AUT,2015-01-01,379.584
AUT,2016-01-01,393.579
AUT,2017-01-01,414.78
AUT,2018-01-01,452.787
AUT,2019-01-01,443.033
AUT,2020-01-01,434.05
AUT,2021-01-01,480.786
AUT,2022-01-01,472.339
AUT,2023-01-01,512.509
AUT,2024-01-01,521.269
AUT,2025-01-01,534.301
BEL,1990-01-01,200.15
BEL,1991-01-01,205.37
BEL,1992-01-01,228.733
BEL,1993-01-01,218.721
BEL,1994-01-01,238.623
BEL,1995-01-01,288.302
BEL,1996-01-01,279.292
BEL,1997-01-01,253.022
BEL,1998-01-01,258.876
BEL,1999-01-01,258.503
BEL,2000-01-01,236.897
BEL,2001-01-01,236.748
BEL,2002-01-01,258.2
BEL,2003-01-01,318.004
BEL,2004-01-01,369.047
BEL,2005-01-01,385.927
BEL,2006-01-01,408.281
BEL,2007-01-01,470.978
BEL,2008-01-01,517.271
BEL,2009-01-01,484.488
BEL,2010-01-01,481.949
BEL,2011-01-01,527.106
BEL,2012-01-01,498.731
BEL,2013-01-01,524.106
BEL,2014-01-01,538.127
BEL,2015-01-01,461.091
BEL,2016-01-01,474.141
BEL,2017-01-01,500.733
BEL,2018-01-01,542.885
BEL,2019-01-01,536.787
BEL,2020-01-01,529.269
BEL,2021-01-01,598.892
BEL,2022-01-01,593.906
BEL,2023-01-01,644.968
BEL,2024-01-01,664.965
BEL,2025-01-01,684.864
BGR,1990-01-01,29.882
BGR,1991-01-01,2.928
BGR,1992-01-01,11.882
BGR,1993-01-01,6.449
BGR,1994-01-01,11.338
BGR,1995-01-01,18.992
BGR,1996-01-01,12.295
BGR,1997-01-01,11.317
BGR,1998-01-01,15.031
BGR,1999-01-01,13.628
BGR,2000-01-01,13.246
BGR,2001-01-01,14.183
BGR,2002-01-01,16.403
BGR,2003-01-01,21.146
BGR,2004-01-01,26.158
BGR,2005-01-01,29.868
BGR,2006-01-01,34.38
BGR,2007-01-01,44.432
BGR,2008-01-01,54.476
BGR,2009-01-01,52.024
BGR,2010-01-01,50.69
BGR,2011-01-01,57.682
BGR,2012-01-01,54.297
BGR,2013-01-01,55.82
BGR,2014-01-01,57.081
BGR,2015-01-01,50.766
BGR,2016-01-01,53.929
BGR,2017-01-01,59.288
BGR,2018-01-01,66.318
BGR,2019-01-01,68.639
BGR,2020-01-01,70.658
BGR,2021-01-01,84.477
BGR,2022-01-01,90.719
BGR,2023-01-01,102.434
BGR,2024-01-01,112.232
BGR,2025-01-01,117.007
BRA,1990-01-01,455.335
BRA,1991-01-01,399.249
BRA,1992-01-01,382.465
BRA,1993-01-01,429.184
BRA,1994-01-01,546.764
BRA,1995-01-01,770.86
BRA,1996-01-01,851.146
BRA,1997-01-01,883.862
BRA,1998-01-01,864.307
BRA,1999-01-01,599.642
BRA,2000-01-01,655.454
BRA,2001-01-01,559.982
BRA,2002-01-01,509.798
BRA,2003-01-01,558.232
BRA,2004-01-01,669.29
BRA,2005-01-01,891.633
BRA,2006-01-01,1107.628
BRA,2007-01-01,1397.114
BRA,2008-01-01,1695.855
BRA,2009-01-01,1669.204
BRA,2010-01-01,2208.704
BRA,2011-01-01,2614.027
BRA,2012-01-01,2464.053
BRA,2013-01-01,2471.718
BRA,2014-01-01,2456.055
BRA,2015-01-01,1800.046
BRA,2016-01-01,1796.622
BRA,2017-01-01,2063.519
BRA,2018-01-01,1916.934
BRA,2019-01-01,1873.286
BRA,2020-01-01,1476.092
BRA,2021-01-01,1670.65
BRA,2022-01-01,1951.849
BRA,2023-01-01,2191.137
BRA,2024-01-01,2171.337
BRA,2025-01-01,2125.958
CAN,1990-01-01,596.089
CAN,1991-01-01,612.514
CAN,1992-01-01,594.376
CAN,1993-01-01,579.059
CAN,1994-01-01,579.913
CAN,1995-01-01,605.941
CAN,1996-01-01,630.598
CAN,1997-01-01,655.01
CAN,1998-01-01,634.004
CAN,1999-01-01,678.417
CAN,2000-01-01,744.631
CAN,2001-01-01,738.968
CAN,2002-01-01,760.149
CAN,2003-01-01,895.599
CAN,2004-01-01,1026.473
CAN,2005-01-01,1173.505
CAN,2006-01-01,1319.356
CAN,2007-01-01,1468.896
CAN,2008-01-01,1552.864
CAN,2009-01-01,1376.509
CAN,2010-01-01,1617.345
CAN,2011-01-01,1793.327
CAN,2012-01-01,1828.362
CAN,2013-01-01,1846.595
CAN,2014-01-01,1805.751
CAN,2015-01-01,1556.508
CAN,2016-01-01,1527.996
CAN,2017-01-01,1649.266
CAN,2018-01-01,1725.3
CAN,2019-01-01,1743.725
CAN,2020-01-01,1655.685
CAN,2021-01-01,2022.382
CAN,2022-01-01,2190.411
CAN,2023-01-01,2173.34
CAN,2024-01-01,2241.253
CAN,2025-01-01,2225.341
CHE,1990-01-01,265.911
CHE,1991-01-01,269.003
CHE,1992-01-01,279.764
CHE,1993-01-01,272.006
CHE,1994-01-01,301.246
CHE,1995-01-01,353.094
CHE,1996-01-01,340.241
CHE,1997-01-01,294.824
CHE,1998-01-01,303.238
CHE,1999-01-01,297.581
CHE,2000-01-01,279.305
CHE,2001-01-01,286.78
CHE,2002-01-01,309.579
CHE,2003-01-01,362.132
CHE,2004-01-01,403.461
CHE,2005-01-01,418.265
CHE,2006-01-01,441.898
CHE,2007-01-01,491.075
CHE,2008-01-01,566.938
CHE,2009-01-01,553.873
CHE,2010-01-01,598.339
CHE,2011-01-01,715.864
CHE,2012-01-01,686.553
CHE,2013-01-01,706.748
CHE,2014-01-01,726.634
CHE,2015-01-01,693.805
CHE,2016-01-01,687.771
CHE,2017-01-01,695.544
CHE,2018-01-01,725.91
CHE,2019-01-01,721.867
CHE,2020-01-01,741.288
CHE,2021-01-01,814.699
CHE,2022-01-01,828.522
CHE,2023-01-01,894.867
CHE,2024-01-01,936.738
CHE,2025-01-01,947.125
CHL,1990-01-01,33.231
CHL,1991-01-01,38.249
CHL,1992-01-01,46.597
CHL,1993-01-01,49.855
CHL,1994-01-01,57.517
CHL,1995-01-01,74.119
CHL,1996-01-01,78.575
CHL,1997-01-01,85.73
CHL,1998-01-01,81.996
CHL,1999-01-01,75.596
CHL,2000-01-01,78.25
CHL,2001-01-01,71.517
CHL,2002-01-01,70.295
CHL,2003-01-01,76.508
CHL,2004-01-01,99.079
CHL,2005-01-01,122.315
CHL,2006-01-01,153.84
CHL,2007-01-01,172.565
CHL,2008-01-01,179.663
CHL,2009-01-01,171.794
CHL,2010-01-01,217.105
CHL,2011-01-01,251.225
CHL,2012-01-01,267.165
CHL,2013-01-01,277.218
CHL,2014-01-01,259.394
CHL,2015-01-01,242.515
CHL,2016-01-01,249.306
CHL,2017-01-01,276.357
CHL,2018-01-01,295.428
CHL,2019-01-01,278.04
CHL,2020-01-01,254.06
CHL,2021-01-01,315.411
CHL,2022-01-01,301.27
CHL,2023-01-01,335.627
CHL,2024-01-01,330.21
CHL,2025-01-01,343.823
CHN,1990-01-01,397.359
CHN,1991-01-01,415.946
CHN,1992-01-01,495.515
CHN,1993-01-01,621.918
CHN,1994-01-01,566.297
CHN,1995-01-01,737.654
CHN,1996-01-01,868.77
CHN,1997-01-01,967.886
CHN,1998-01-01,1035.51
CHN,1999-01-01,1101.134
CHN,2000-01-01,1220.337
CHN,2001-01-01,1351.372
CHN,2002-01-01,1486.618
CHN,2003-01-01,1680.942
CHN,2004-01-01,1978.937
CHN,2005-01-01,2325.515
CHN,2006-01-01,2797.286
CHN,2007-01-01,3612.21
CHN,2008-01-01,4653.314
CHN,2009-01-01,5176.18
CHN,2010-01-01,6138.992
CHN,2011-01-01,7624.861
CHN,2012-01-01,8682.939
CHN,2013-01-01,9782.784
CHN,2014-01-01,10701.415
CHN,2015-01-01,11307.226
CHN,2016-01-01,11448.003
CHN,2017-01-01,12503.299
