iso3,Date,gdp_per_capita
ARE,1990-01-01,27484.598
ARE,1990-02-01,27484.598
ARE,1990-03-01,27484.598
ARE,1990-04-01,27484.598
ARE,1990-05-01,27484.598
ARE,1990-06-01,27484.598
ARE,1990-07-01,27484.598
ARE,1990-08-01,27484.598
ARE,1990-09-01,27484.598
ARE,1990-10-01,27484.598
ARE,1990-11-01,27484.598
ARE,1990-12-01,27484.598
ARE,1991-01-01,25577.028
ARE,1991-02-01,25577.028
ARE,1991-03-01,25577.028
ARE,1991-04-01,25577.028
ARE,1991-05-01,25577.028
ARE,1991-06-01,25577.028
ARE,1991-07-01,25577.028
ARE,1991-08-01,25577.028
ARE,1991-09-01,25577.028
ARE,1991-10-01,25577.028
ARE,1991-11-01,25577.028
ARE,1991-12-01,25577.028
ARE,1992-01-01,25833.806
ARE,1992-02-01,25833.806
ARE,1992-03-01,25833.806
ARE,1992-04-01,25833.806
ARE,1992-05-01,25833.806
ARE,1992-06-01,25833.806
ARE,1992-07-01,25833.806
ARE,1992-08-01,25833.806
ARE,1992-09-01,25833.806
ARE,1992-10-01,25833.806
ARE,1992-11-01,25833.806
ARE,1992-12-01,25833.806
ARE,1993-01-01,25033.005
ARE,1993-02-01,25033.005
ARE,1993-03-01,25033.005
ARE,1993-04-01,25033.005
ARE,1993-05-01,25033.005
ARE,1993-06-01,25033.005
ARE,1993-07-01,25033.005
ARE,1993-08-01,25033.005
ARE,1993-09-01,25033.005
ARE,1993-10-01,25033.005
ARE,1993-11-01,25033.005
ARE,1993-12-01,25033.005
ARE,1994-01-01,25737.492
ARE,1994-02-01,25737.492
ARE,1994-03-01,25737.492
ARE,1994-04-01,25737.492
ARE,1994-05-01,25737.492
ARE,1994-06-01,25737.492
ARE,1994-07-01,25737.492
ARE,1994-08-01,25737.492
ARE,1994-09-01,25737.492
ARE,1994-10-01,25737.492
ARE,1994-11-01,25737.492
ARE,1994-12-01,25737.492
ARE,1995-01-01,26309.298
ARE,1995-02-01,26309.298
ARE,1995-03-01,26309.298
ARE,1995-04-01,26309.298
ARE,1995-05-01,26309.298
ARE,1995-06-01,26309.298
ARE,1995-07-01,26309.298
ARE,1995-08-01,26309.298
ARE,1995-09-01,26309.298
ARE,1995-10-01,26309.298
ARE,1995-11-01,26309.298
ARE,1995-12-01,26309.298
ARE,1996-01-01,29821.12
ARE,1996-02-01,29821.12
ARE,1996-03-01,29821.12
ARE,1996-04-01,29821.12
ARE,1996-05-01,29821.12
ARE,1996-06-01,29821.12
ARE,1996-07-01,29821.12
ARE,1996-08-01,29821.12
ARE,1996-09-01,29821.12
ARE,1996-10-01,29821.12
ARE,1996-11-01,29821.12
ARE,1996-12-01,29821.12
ARE,1997-01-01,29909.645
ARE,1997-02-01,29909.645
ARE,1997-03-01,29909.645
ARE,1997-04-01,29909.645
ARE,1997-05-01,29909.645
ARE,1997-06-01,29909.645
ARE,1997-07-01,29909.645
ARE,1997-08-01,29909.645
ARE,1997-09-01,29909.645
ARE,1997-10-01,29909.645
ARE,1997-11-01,29909.645
ARE,1997-12-01,29909.645
ARE,1998-01-01,26571.562
ARE,1998-02-01,26571.562
ARE,1998-03-01,26571.562
ARE,1998-04-01,26571.562
ARE,1998-05-01,26571.562
ARE,1998-06-01,26571.562
ARE,1998-07-01,26571.562
ARE,1998-08-01,26571.562
ARE,1998-09-01,26571.562
ARE,1998-10-01,26571.562
ARE,1998-11-01,26571.562
ARE,1998-12-01,26571.562
ARE,1999-01-01,27833.669
ARE,1999-02-01,27833.669
ARE,1999-03-01,27833.669
ARE,1999-04-01,27833.669
ARE,1999-05-01,27833.669
ARE,1999-06-01,27833.669
ARE,1999-07-01,27833.669
ARE,1999-08-01,27833.669
ARE,1999-09-01,27833.669
ARE,1999-10-01,27833.669
ARE,1999-11-01,27833.669
ARE,1999-12-01,27833.669
ARE,2000-01-01,32495.862
ARE,2000-02-01,32495.862
ARE,2000-03-01,32495.862
ARE,2000-04-01,32495.862
ARE,2000-05-01,32495.862
ARE,2000-06-01,32495.862
ARE,2000-07-01,32495.862
ARE,2000-08-01,32495.862
ARE,2000-09-01,32495.862
ARE,2000-10-01,32495.862
ARE,2000-11-01,32495.862
ARE,2000-12-01,32495.862
ARE,2001-01-01,30877.714
ARE,2001-02-01,30877.714
ARE,2001-03-01,30877.714
ARE,2001-04-01,30877.714
ARE,2001-05-01,30877.714
ARE,2001-06-01,30877.714
ARE,2001-07-01,30877.714
ARE,2001-08-01,30877.714
ARE,2001-09-01,30877.714
ARE,2001-10-01,30877.714
ARE,2001-11-01,30877.714
ARE,2001-12-01,30877.714
ARE,2002-01-01,30969.024
ARE,2002-02-01,30969.024
ARE,2002-03-01,30969.024
ARE,2002-04-01,30969.024
ARE,2002-05-01,30969.024
ARE,2002-06-01,30969.024
ARE,2002-07-01,30969.024
ARE,2002-08-01,30969.024
ARE,2002-09-01,30969.024
ARE,2002-10-01,30969.024
ARE,2002-11-01,30969.024
ARE,2002-12-01,30969.024
ARE,2003-01-01,32166.941
ARE,2003-02-01,32166.941
ARE,2003-03-01,32166.941
ARE,2003-04-01,32166.941
ARE,2003-05-01,32166.941
ARE,2003-06-01,32166.941
ARE,2003-07-01,32166.941
ARE,2003-08-01,32166.941
ARE,2003-09-01,32166.941
ARE,2003-10-01,32166.941
ARE,2003-11-01,32166.941
ARE,2003-12-01,32166.941
ARE,2004-01-01,34944.807
ARE,2004-02-01,34944.807
ARE,2004-03-01,34944.807
ARE,2004-04-01,34944.807
ARE,2004-05-01,34944.807
ARE,2004-06-01,34944.807
ARE,2004-07-01,34944.807
ARE,2004-08-01,34944.807
ARE,2004-09-01,34944.807
ARE,2004-10-01,34944.807
ARE,2004-11-01,34944.807
ARE,2004-12-01,34944.807
ARE,2005-01-01,39389.226
ARE,2005-02-01,39389.226
ARE,2005-03-01,39389.226
ARE,2005-04-01,39389.226
ARE,2005-05-01,39389.226
ARE,2005-06-01,39389.226
ARE,2005-07-01,39389.226
ARE,2005-08-01,39389.226
ARE,2005-09-01,39389.226
ARE,2005-10-01,39389.226
ARE,2005-11-01,39389.226
ARE,2005-12-01,39389.226
ARE,2006-01-01,45239.607
ARE,2006-02-01,45239.607
ARE,2006-03-01,45239.607
ARE,2006-04-01,45239.607
ARE,2006-05-01,45239.607
