iso3,Date,NEER
ARG,1993-01-01,77.78
ARG,1993-02-01,82.76
ARG,1993-03-01,87.45
ARG,1993-04-01,91.48
ARG,1993-05-01,97.08
ARG,1993-06-01,103.79
ARG,1993-07-01,111.81
ARG,1993-08-01,119.14
ARG,1993-09-01,126.07
ARG,1993-10-01,136.03
ARG,1993-11-01,147.22
ARG,1993-12-01,158.13
ARG,1994-01-01,174.09
ARG,1994-02-01,187.62
ARG,1994-03-01,201.38
ARG,1994-04-01,219.02
ARG,1994-05-01,236.0
ARG,1994-06-01,245.59
ARG,1994-07-01,249.16
ARG,1994-08-01,247.17
ARG,1994-09-01,244.47
ARG,1994-10-01,242.05
ARG,1994-11-01,242.92
ARG,1994-12-01,246.24
ARG,1995-01-01,247.43
ARG,1995-02-01,245.81
ARG,1995-03-01,246.78
ARG,1995-04-01,245.26
ARG,1995-05-01,244.77
ARG,1995-06-01,245.39
ARG,1995-07-01,245.89
ARG,1995-08-01,249.93
ARG,1995-09-01,252.67
ARG,1995-10-01,252.04
ARG,1995-11-01,253.38
ARG,1995-12-01,254.87
ARG,1996-01-01,256.63
ARG,1996-02-01,257.48
ARG,1996-03-01,258.21
ARG,1996-04-01,259.59
ARG,1996-05-01,261.21
ARG,1996-06-01,261.92
ARG,1996-07-01,261.67
ARG,1996-08-01,261.28
ARG,1996-09-01,262.78
ARG,1996-10-01,264.36
ARG,1996-11-01,264.11
ARG,1996-12-01,266.78
ARG,1997-01-01,270.26
ARG,1997-02-01,274.99
ARG,1997-03-01,277.03
ARG,1997-04-01,278.31
ARG,1997-05-01,278.0
ARG,1997-06-01,279.1
ARG,1997-07-01,282.68
ARG,1997-08-01,286.81
ARG,1997-09-01,286.22
ARG,1997-10-01,286.19
ARG,1997-11-01,287.68
ARG,1997-12-01,294.59
ARG,1998-01-01,301.11
ARG,1998-02-01,300.0
ARG,1998-03-01,300.72
ARG,1998-04-01,300.44
ARG,1998-05-01,300.48
ARG,1998-06-01,304.12
ARG,1998-07-01,305.18
ARG,1998-08-01,306.82
ARG,1998-09-01,303.92
ARG,1998-10-01,298.91
ARG,1998-11-01,300.76
ARG,1998-12-01,300.82
ARG,1999-01-01,317.11
ARG,1999-02-01,338.96
ARG,1999-03-01,342.29
ARG,1999-04-01,334.75
ARG,1999-05-01,334.87
ARG,1999-06-01,341.06
ARG,1999-07-01,343.31
ARG,1999-08-01,344.09
ARG,1999-09-01,345.64
ARG,1999-10-01,346.59
ARG,1999-11-01,348.23
ARG,1999-12-01,346.29
ARG,2000-01-01,344.43
ARG,2000-02-01,347.13
ARG,2000-03-01,347.23
ARG,2000-04-01,350.27
ARG,2000-05-01,359.24
ARG,2000-06-01,354.08
ARG,2000-07-01,355.22
ARG,2000-08-01,359.71
ARG,2000-09-01,365.7
ARG,2000-10-01,370.7
ARG,2000-11-01,374.56
ARG,2000-12-01,370.89
ARG,2001-01-01,367.25
ARG,2001-02-01,371.2
ARG,2001-03-01,378.52
