iso3,date,agency,rating,outlook
ARE,1996-01-29,Moody's,Baa1,Stable
ARE,1997-08-28,Moody's,Baa1,Positive Watch
ARE,1997-12-11,Moody's,A2,Stable
ARE,2004-12-21,Moody's,A1,Stable
ARE,2006-09-07,Moody's,A1,Positive Watch
ARE,2006-10-04,Moody's,Aa3,Stable
ARE,2007-07-02,S&P,AA,Stable
ARE,2007-07-10,Moody's,Aa2,Stable
ARE,2016-03-04,Moody's,Aa2,Negative Watch
ARE,2016-05-14,Moody's,Aa2,Negative
ARE,2017-05-25,Moody's,Aa2,Stable
ARE,2020-11-11,Fitch,AA-,Stable
ARG,1985-11-18,Moody's,Ba3,Stable
ARG,1987-12-04,Moody's,B2,Negative
ARG,1989-05-26,Moody's,B3,Negative
ARG,1992-07-13,Moody's,B1,Positive
ARG,1993-08-25,S&P,BB-,Stable
ARG,1994-02-04,S&P,BB-,Positive
ARG,1995-03-08,S&P,BB-,Stable
ARG,1995-05-16,Moody's,B1,Positive Watch
ARG,1997-04-02,S&P,BB,Stable
ARG,1997-05-28,Fitch,BB,
ARG,1997-10-02,Moody's,Ba3,Stable
ARG,1998-09-03,Moody's,Ba3,Negative Watch
ARG,1999-07-22,S&P,BB,Negative
ARG,1999-08-20,Moody's,Ba3,Negative Watch
ARG,1999-10-06,Moody's,B1,Stable
ARG,2000-02-10,S&P,BB,Stable
ARG,2000-09-21,Fitch,BB,Negative
ARG,2000-09-22,S&P,BB,Negative Watch
ARG,2000-11-14,S&P,BB-,Stable
ARG,2000-11-21,Moody's,B1,Negative
ARG,2001-03-19,S&P,BB-,Negative Watch
ARG,2001-03-20,Fitch,BB-,Negative Watch
ARG,2001-03-26,S&P,B+,Negative Watch
ARG,2001-03-28,Fitch,B+,Negative Watch
ARG,2001-03-28,Moody's,B2,Negative Watch
ARG,2001-05-08,S&P,B,Negative Watch
ARG,2001-06-06,S&P,B,Negative
ARG,2001-07-11,Fitch,B-,Negative
ARG,2001-07-12,S&P,B-,Negative
ARG,2001-07-13,Moody's,B3,Negative Watch
ARG,2001-07-26,Moody's,Caa1,Negative
ARG,2001-10-09,S&P,CCC+,Negative
ARG,2001-10-12,Fitch,CCC-,Negative
ARG,2001-10-12,Moody's,Caa3,Stable
ARG,2001-10-30,S&P,CC,Negative
ARG,2001-11-02,Fitch,CC,Negative Watch
ARG,2001-11-06,Fitch,C,Negative Watch
ARG,2001-11-06,S&P,SD,
ARG,2001-12-03,Fitch,DDD,
ARG,2001-12-21,Moody's,Ca,Stable
ARG,2003-08-20,Moody's,Caa1,Stable
ARG,2005-01-14,Fitch,D,
ARG,2005-06-01,S&P,B-,Stable
ARG,2005-06-03,Fitch,DDD,
ARG,2005-06-29,Moody's,B3,Stable
ARG,2005-12-14,Fitch,RD,
ARG,2006-03-23,S&P,B,Stable
ARG,2006-10-02,S&P,B+,Stable
ARG,2007-01-16,Moody's,B3,Positive
ARG,2007-09-06,DBRS,B (low),Stable
ARG,2008-04-25,S&P,B+,Negative
ARG,2008-08-11,S&P,B,Stable
ARG,2008-08-14,Moody's,B3,Stable
ARG,2008-10-22,DBRS,B (low),Negative
ARG,2008-10-31,S&P,B-,Stable
ARG,2010-07-12,Fitch,B,Stable
ARG,2010-09-13,S&P,B,Stable
ARG,2010-10-19,DBRS,B (low),Positive
ARG,2011-10-05,DBRS,B,Stable
ARG,2012-04-23,S&P,B,Negative
ARG,2012-09-17,Moody's,B3,Negative
ARG,2012-10-30,Fitch,B,Negative Watch
ARG,2012-10-30,S&P,B-,Negative
ARG,2012-11-12,DBRS,B,Under Review
ARG,2012-11-27,Fitch,CC,
ARG,2013-08-30,DBRS,B (low),Under Review
ARG,2013-09-10,S&P,CCC+,Negative
ARG,2014-02-18,DBRS,CCC (high),Negative
ARG,2014-03-17,Moody's,Caa1,Stable
ARG,2014-06-17,S&P,CCC-,Negative
ARG,2014-06-20,DBRS,CC,Under Review
ARG,2014-07-01,S&P,CCC-,Negative Watch
ARG,2014-07-30,S&P,SD,
ARG,2014-07-31,DBRS,SD,
ARG,2014-07-31,Fitch,RD,
ARG,2014-07-31,Moody's,Caa1,Negative
ARG,2015-11-02,Moody's,Caa1,Stable
ARG,2015-11-24,Moody's,Caa1,Positive
ARG,2016-04-15,Moody's,B3,Stable
ARG,2016-05-06,S&P,B-,Stable
ARG,2016-05-10,Fitch,B,Stable
ARG,2016-05-13,DBRS,B,Stable
ARG,2017-03-06,Moody's,B3,Positive
ARG,2017-04-04,S&P,B,Stable
ARG,2017-10-30,S&P,B+,Stable
ARG,2017-11-07,Fitch,B,Positive
ARG,2017-11-29,Moody's,B2,Stable
ARG,2018-05-04,Fitch,B,Stable
ARG,2018-08-31,S&P,B+,Negative Watch
ARG,2018-11-07,Fitch,B,Negative
ARG,2018-11-12,S&P,B,Stable
ARG,2019-07-12,Moody's,B2,Negative
ARG,2019-08-16,Fitch,CCC,Negative
ARG,2019-08-16,S&P,B-,Negative
ARG,2019-08-29,S&P,SD,
ARG,2019-08-30,DBRS,CC,Under Review
ARG,2019-08-30,Fitch,RD,
ARG,2019-08-30,Moody's,Caa2,Under Review
ARG,2019-08-30,S&P,CCC-,Negative
ARG,2019-09-03,Fitch,CC,
ARG,2019-12-20,Fitch,RD,
ARG,2019-12-20,S&P,SD,Negative
ARG,2019-12-23,DBRS,SD,
ARG,2019-12-23,Fitch,CC,
ARG,2019-12-30,S&P,CC,Negative
ARG,2020-01-07,S&P,CCC-,Negative
ARG,2020-04-03,Moody's,Ca,Negative
ARG,2020-04-06,Fitch,RD,
ARG,2020-04-07,Fitch,CC,
ARG,2020-04-07,S&P,SD,
ARG,2020-04-17,Fitch,C,
ARG,2020-05-26,Fitch,RD,
ARG,2020-09-07,S&P,CCC+,Stable
ARG,2020-09-10,DBRS,CCC,Stable
ARG,2020-09-10,Fitch,CCC,
ARG,2020-09-28,Moody's,Ca,Stable
ARG,2022-10-26,Fitch,CCC-,
ARG,2022-11-16,S&P,CCC+,Negative
ARG,2023-03-24,Fitch,C,
ARG,2023-03-29,S&P,CCC-,Negative
ARG,2023-06-13,Fitch,CC,
ARG,2024-03-15,S&P,CCC,Stable
ARG,2024-11-15,Fitch,CCC,
ARG,2024-11-25,DBRS,B (low),Stable
ARG,2025-01-25,Moody's,Caa3,Positive
ARG,2025-05-12,Fitch,CCC+,
ARG,2025-07-17,Moody's,Caa1,Stable
AUT,1989-06-26,S&P,AAA,Stable
AUT,1994-08-10,Fitch,AAA,
AUT,2000-09-21,Fitch,AAA,Stable
AUT,2011-06-21,DBRS,AAA,Stable
AUT,2011-12-05,S&P,AAA,Negative Watch
AUT,2012-01-13,S&P,AA+,Negative
AUT,2013-01-29,S&P,AA+,Stable
AUT,2015-02-13,Fitch,AA+,Stable
AUT,2015-10-23,Moody's,Aaa,Negative
AUT,2016-06-24,Moody's,Aa1,Stable
AUT,2018-07-20,Fitch,AA+,Positive
AUT,2020-05-15,Fitch,AA+,Stable
AUT,2022-02-25,S&P,AA+,Positive
AUT,2022-08-26,S&P,AA+,Stable
AUT,2022-10-07,Fitch,AA+,Negative
AUT,2023-08-25,Fitch,AA+,Stable
AUT,2024-08-23,S&P,AA+,Positive
AUT,2025-01-10,Fitch,AA+,Negative
AUT,2025-02-14,S&P,AA+,Stable
AUT,2025-06-06,DBRS,AAA,Negative
AUT,2025-06-06,Fitch,AA,Stable
BEL,1988-03-22,Moody's,Aa1,Stable
BEL,1988-10-26,S&P,AA+,
BEL,1989-06-26,S&P,AA+,Positive
BEL,1992-07-01,S&P,AA+,Stable
BEL,1994-08-10,Fitch,AA+,
BEL,1998-12-16,Fitch,AA-,
BEL,2000-09-21,Fitch,AA-,Stable
BEL,2002-06-17,Fitch,AA,Stable
BEL,2006-03-28,Moody's,Aa1,Positive
BEL,2006-05-02,Fitch,AA+,Stable
BEL,2009-01-13,Moody's,Aa1,Stable
BEL,2010-12-14,S&P,AA+,Negative
BEL,2011-05-23,Fitch,AA+,Negative
BEL,2011-10-07,Moody's,Aa1,Negative  Watch
BEL,2011-11-11,DBRS,AA (high),Negative
BEL,2011-11-25,S&P,AA,Negative
BEL,2011-12-05,S&P,AA,Negative Watch
BEL,2011-12-16,Fitch,AA+,Negative Watch
BEL,2011-12-16,Moody's,Aa3,Negative
BEL,2012-01-13,S&P,AA,Negative
BEL,2012-01-27,Fitch,AA,Negative
BEL,2013-01-23,Fitch,AA,Stable
BEL,2014-02-28,S&P,AA,Stable
BEL,2014-03-07,Moody's,Aa3,Stable
BEL,2014-03-21,DBRS,AA (high),Stable
BEL,2014-11-14,Fitch,AA,Negative
BEL,2016-12-23,Fitch,AA-,Stable
BEL,2020-04-03,Fitch,AA-,Negative
BEL,2020-08-14,DBRS,AA (high),Negative
BEL,2021-09-24,Fitch,AA-,Stable
BEL,2022-08-12,DBRS,AA,Stable
BEL,2023-03-10,Fitch,AA-,Negative
BEL,2024-10-12,Moody's,Aa3,Negative
BEL,2025-04-25,S&P,AA,Negative
BEL,2025-06-13,Fitch,A+,Stable
BGR,1996-09-27,Moody's,B3,Stable
BGR,1997-12-26,Moody's,B2,Stable
BGR,1998-04-17,Fitch,B+,
BGR,1998-11-23,S&P,B,Positive
BGR,2000-05-10,S&P,B+,Positive
BGR,2000-09-21,Fitch,B+,Positive
BGR,2001-11-07,S&P,BB-,Stable
BGR,2001-12-19,Moody's,B1,Stable
BGR,2002-01-14,Fitch,BB-,Stable
BGR,2002-10-07,S&P,BB,Positive
BGR,2002-10-29,Fitch,BB,Positive
BGR,2002-12-16,Moody's,B1,Positive
BGR,2003-05-22,S&P,BB+,Stable
BGR,2003-06-05,Moody's,Ba2,Positive
BGR,2003-07-24,Fitch,BB+,Positive
BGR,2004-06-24,S&P,BBB-,Stable
BGR,2004-08-04,Fitch,BBB-,Positive
BGR,2004-08-25,Moody's,Ba2,Positive Watch
BGR,2004-11-17,Moody's,Ba1,Stable
BGR,2005-02-10,S&P,BBB-,Positive
BGR,2005-08-17,Fitch,BBB,Stable
BGR,2005-10-27,S&P,BBB,Positive
BGR,2005-12-21,Moody's,Ba1,Positive Watch
BGR,2006-03-01,Moody's,Baa3,Stable
BGR,2006-10-26,S&P,BBB+,Stable
BGR,2008-01-31,Fitch,BBB,Negative
BGR,2008-10-23,S&P,BBB+,Negative Watch
BGR,2008-10-30,S&P,BBB,Negative
BGR,2008-11-09,Fitch,BBB-,Stable
BGR,2009-04-30,Fitch,BBB-,Negative
BGR,2009-12-01,S&P,BBB,Stable
BGR,2011-04-05,Moody's,Baa3,Positive Watch
BGR,2011-05-24,Fitch,BBB-,Positive
BGR,2011-07-22,Moody's,Baa2,Stable
BGR,2011-12-13,Fitch,BBB-,Stable
BGR,2013-12-13,S&P,BBB,Negative
BGR,2014-01-10,Fitch,BBB-,Stable
BGR,2014-06-13,S&P,BBB-,Stable
BGR,2014-12-12,S&P,BB+,Stable
BGR,2017-06-02,Fitch,BBB-,Positive
BGR,2017-06-02,S&P,BB+,Positive
BGR,2017-12-01,Fitch,BBB,Stable
BGR,2017-12-01,S&P,BBB-,Stable
BGR,2018-06-01,S&P,BBB-,Positive
BGR,2019-03-22,Fitch,BBB,Positive
BGR,2019-08-30,Moody's,Baa2,Positive
BGR,2019-11-29,S&P,BBB,Positive
BGR,2020-04-24,Fitch,BBB,Stable
BGR,2020-05-29,S&P,BBB,Stable
BGR,2020-10-09,Moody's,Baa1,Stable
BGR,2021-02-19,Fitch,BBB,Positive
BGR,2023-11-24,S&P,BBB,Positive
BGR,2025-05-02,DBRS,BBB (high),Stable
BGR,2025-07-10,Fitch,BBB+,Stable
BGR,2025-07-10,S&P,BBB+,Stable
BRA,1986-10-18,Moody's,Ba1,Stable
BRA,1987-12-04,Moody's,B1,Stable
BRA,1989-03-28,Moody's,B2,Stable
BRA,1994-10-05,Moody's,B2,Positive Watch
BRA,1994-11-30,Moody's,B1,Stable
BRA,1994-11-30,S&P,B,Positive
BRA,1994-12-01,Fitch,B+,
BRA,1995-07-18,S&P,B+,Stable
BRA,1995-12-20,S&P,B+,Positive
BRA,1997-04-02,S&P,BB-,Stable
BRA,1998-09-03,Moody's,B2,Stable
BRA,1998-09-10,S&P,BB-,Negative
BRA,1999-01-14,S&P,B+,Negative
BRA,1999-01-26,Fitch,B,
BRA,1999-11-10,S&P,B+,Stable
BRA,2000-02-22,Fitch,B+,
BRA,2000-02-29,S&P,B+,Positive
BRA,2000-05-19,Fitch,BB-,
BRA,2000-08-17,Moody's,B2,Positive Watch
BRA,2000-09-21,Fitch,BB-,Stable
BRA,2000-10-16,Moody's,B1,Stable
BRA,2001-01-03,S&P,BB-,Stable
BRA,2001-07-17,Fitch,BB-,Negative
BRA,2001-08-09,S&P,BB-,Negative
BRA,2002-02-27,Moody's,B1,Positive
BRA,2002-06-04,Moody's,B1,Stable
BRA,2002-06-20,Fitch,B+,Negative
BRA,2002-06-20,Moody's,B1,Negative
BRA,2002-07-02,S&P,B+,Negative
BRA,2002-08-01,Fitch,B+,Negative Watch
BRA,2002-08-12,Moody's,B2,Stable
BRA,2002-10-21,Fitch,B,Negative
BRA,2003-03-10,Fitch,B,Stable
BRA,2003-04-29,S&P,B+,Stable
BRA,2003-06-03,Fitch,B,Positive
BRA,2003-11-06,Fitch,B+,Stable
BRA,2003-12-11,S&P,B+,Positive
BRA,2004-09-09,Moody's,B1,Stable
BRA,2004-09-17,S&P,BB-,Stable
BRA,2004-09-28,Fitch,BB-,Stable
BRA,2005-10-11,Fitch,BB-,Positive
BRA,2005-10-12,Moody's,Ba3,Stable
BRA,2005-11-08,S&P,BB-,Positive
BRA,2006-02-28,S&P,BB,Stable
BRA,2006-06-28,Fitch,BB,Stable
BRA,2006-07-06,DBRS,BB,Stable
BRA,2006-08-01,Moody's,Ba3,Positive Watch
BRA,2006-08-31,Moody's,Ba2,Stable
BRA,2006-11-22,S&P,BB,Positive
BRA,2007-02-05,Fitch,BB,Positive
BRA,2007-05-10,Fitch,BB+,Stable
BRA,2007-05-16,S&P,BB+,Positive
BRA,2007-05-24,Moody's,Ba2,Positive Watch
BRA,2007-06-18,DBRS,BB (high),Positive
BRA,2007-08-23,Moody's,Ba1,Stable
BRA,2008-04-30,S&P,BBB-,Stable
BRA,2008-05-28,DBRS,BBB (low),Stable
BRA,2008-05-29,Fitch,BBB-,Stable
BRA,2009-07-06,Moody's,Ba1,Positive Watch
BRA,2009-09-22,Moody's,Baa3,Positive
BRA,2010-06-28,Fitch,BBB-,Positive
BRA,2011-04-04,Fitch,BBB,Stable
BRA,2011-05-23,S&P,BBB-,Positive
BRA,2011-06-20,Moody's,Baa2,Positive
BRA,2011-11-17,S&P,BBB,Stable
BRA,2011-11-18,DBRS,BBB,Stable
BRA,2013-06-06,S&P,BBB,Negative
BRA,2013-10-02,Moody's,Baa2,Stable
BRA,2014-03-24,S&P,BBB-,Stable
BRA,2014-08-01,DBRS,BBB,Stable
BRA,2014-09-09,Moody's,Baa2,Negative
BRA,2015-04-09,Fitch,BBB,Negative
BRA,2015-07-28,S&P,BBB-,Negative
BRA,2015-08-07,DBRS,BBB (low),Stable
BRA,2015-08-11,Moody's,Baa3,Stable
BRA,2015-09-09,S&P,BB+,Negative
BRA,2015-10-15,Fitch,BBB-,Negative
BRA,2015-12-09,Moody's,Baa3,Negative Watch
BRA,2015-12-16,Fitch,BB+,Negative
BRA,2016-02-17,S&P,BB,Negative
BRA,2016-02-24,Moody's,Ba2,Negative
BRA,2016-03-15,DBRS,BB (high),Negative
BRA,2016-03-15,DBRS,BBB (low),Negative
BRA,2016-05-05,Fitch,BB,Negative
BRA,2016-08-01,DBRS,BB,Negative
BRA,2017-03-15,Moody's,Ba2,Stable
BRA,2017-05-22,S&P,BB,Negative Watch
BRA,2017-05-26,Moody's,Ba2,Negative
BRA,2017-08-15,S&P,BB,Negative
BRA,2018-01-11,S&P,BB-,Stable
BRA,2018-02-23,Fitch,BB-,Stable
BRA,2018-03-16,DBRS,BB (low),Stable
BRA,2018-04-09,Moody's,Ba2,Stable
BRA,2019-12-11,S&P,BB-,Positive
BRA,2020-04-06,S&P,BB-,Stable
BRA,2020-05-05,Fitch,BB-,Negative
BRA,2022-07-15,Fitch,BB-,Stable
BRA,2023-06-14,S&P,BB-,Positive
BRA,2023-07-26,Fitch,BB,Stable
BRA,2023-07-28,DBRS,BB,Stable
BRA,2023-12-19,S&P,BB,Stable
BRA,2024-05-01,Moody's,Ba2,Positive
BRA,2024-10-01,Moody's,Ba1,Positive
BRA,2025-05-30,Moody's,Ba1,Stable
CAN,1987-10-16,DBRS,AAA,
CAN,1989-06-26,S&P,AAA,Stable
CAN,1992-10-14,S&P,AA+,Stable
CAN,1993-05-28,DBRS,AAA,Negative
CAN,1994-03-21,DBRS,AA (high),Stable
CAN,1994-06-02,Moody's,Aa1,Stable
CAN,1994-08-10,Fitch,AA,
CAN,1995-02-16,Moody's,Aa1,Negative Watch
CAN,1995-03-03,S&P,AA+,Negative
CAN,1995-03-28,DBRS,AA (high),Negative
CAN,1995-04-12,Moody's,Aa2,Stable
CAN,1997-02-24,S&P,AA+,Stable
CAN,1997-10-22,DBRS,AA (high),Stable
CAN,2000-04-06,Moody's,Aa2,Positive Watch
CAN,2000-06-21,Moody's,Aa1,Stable
CAN,2000-09-21,Fitch,AA,Stable
CAN,2001-04-03,Fitch,AA+,Stable
CAN,2002-05-03,Moody's,Aaa,Stable
CAN,2002-07-29,S&P,AAA,Stable
CAN,2002-09-20,Fitch,AA+,Stable
CAN,2002-12-16,DBRS,AAA,Stable
CAN,2004-08-12,Fitch,AAA,Stable
CAN,2020-06-24,Fitch,AA+,Stable
CHE,1982-01-20,Moody's,Aaa,Stable
CHE,1988-10-01,S&P,AAA,
CHE,1989-06-26,S&P,AAA,Stable
CHE,1994-08-10,Fitch,AA,
CHE,1994-12-22,Fitch,AA-,
CHE,1999-01-27,Fitch,AA,
CHE,2000-09-21,Fitch,AAA,Stable
CHE,2011-07-14,DBRS,AAA,Stable
CHL,1992-08-17,S&P,BBB,Stable
CHL,1993-12-20,S&P,BBB+,Stable
CHL,1994-02-17,Moody's,Baa2,Stable
CHL,1994-11-10,Fitch,BBB+,
CHL,1995-05-03,Moody's,Baa2,Positive Watch
CHL,1995-06-29,Moody's,Baa1,Stable
CHL,1995-07-11,S&P,A-,Stable
CHL,1995-08-30,Fitch,A-,
CHL,2000-09-21,Fitch,A-,Stable
CHL,2002-04-16,S&P,A-,Positive
CHL,2003-02-24,Fitch,A-,Stable
CHL,2004-01-14,S&P,A,Stable
CHL,2004-02-02,Fitch,A-,Positive
CHL,2005-03-28,Fitch,A,Stable
CHL,2006-03-21,Moody's,Baa1,Positive Watch
CHL,2006-05-30,DBRS,A (high),Stable
CHL,2006-07-07,Moody's,A2,Stable
CHL,2006-12-14,S&P,A,Positive
CHL,2007-05-15,Fitch,A,Positive
CHL,2007-12-18,S&P,A+,Stable
CHL,2008-11-10,Fitch,A,Stable
CHL,2008-11-20,Moody's,A2,Positive Watch
CHL,2009-03-23,Moody's,A1,Stable
CHL,2010-06-16,Moody's,Aa3,Stable
CHL,2010-12-16,S&P,A+,Positive
CHL,2011-02-01,Fitch,A+,Stable
CHL,2011-11-21,Fitch,A+,Stable
CHL,2011-12-20,DBRS,A (high),Positive
CHL,2012-12-26,S&P,AA-,Stable
CHL,2013-02-08,DBRS,AA (low),Stable
CHL,2016-12-13,Fitch,A+,Negative
CHL,2017-01-26,S&P,AA-,Negative
CHL,2017-04-12,DBRS,,
CHL,2017-07-13,S&P,A+,Stable
CHL,2017-08-11,Fitch,A,Stable
CHL,2017-08-24,Moody's,Aa3,Negative
CHL,2018-07-26,Moody's,A1,Stable
CHL,2020-03-12,Fitch,A,Negative
CHL,2020-04-27,S&P,A+,Negative
CHL,2020-08-25,Moody's,A1,Negative
CHL,2020-10-15,Fitch,A-,Stable
CHL,2021-03-24,S&P,A,Stable
CHL,2022-09-15,Moody's,A2,Stable
CHL,2023-10-19,S&P,A,Negative
CHL,2024-10-15,S&P,A,Stable
CHN,1988-05-18,Moody's,A3,Stable
CHN,1989-11-08,Moody's,Baa1,Stable
CHN,1992-02-20,S&P,BBB,Stable
CHN,1993-07-19,S&P,BBB,Positive
CHN,1993-09-10,Moody's,A3,Stable
CHN,1997-05-14,S&P,BBB+,Stable
CHN,1997-12-11,Fitch,A-,
CHN,1998-02-19,Moody's,A3,Negative
CHN,1998-07-16,S&P,BBB+,Negative
CHN,1999-07-20,S&P,BBB,Stable
CHN,2000-09-21,Fitch,A-,Stable
CHN,2001-08-14,Moody's,A3,Stable
CHN,2002-11-22,Moody's,A3,Positive
CHN,2003-04-15,S&P,BBB,Positive
CHN,2003-05-14,Fitch,A-,Stable
CHN,2003-10-13,Fitch,A-,Positive
CHN,2003-10-15,Moody's,A2,Stable
CHN,2004-02-17,S&P,BBB+,Positive
CHN,2005-07-19,S&P,A-,Positive
CHN,2005-10-16,Fitch,A,Stable
CHN,2006-07-27,S&P,A,Stable
CHN,2006-09-13,Fitch,A,Positive
CHN,2007-05-30,Moody's,A2,Positive
CHN,2007-07-26,Moody's,A1,Stable
CHN,2007-07-26,S&P,A,Positive
CHN,2007-11-05,Fitch,A+,Stable
CHN,2008-07-31,S&P,A+,Stable
CHN,2009-11-09,Moody's,A1,Positive
CHN,2010-11-11,Moody's,Aa3,Positive
CHN,2010-12-16,S&P,AA-,Stable
CHN,2013-04-16,Moody's,Aa3,Stable
CHN,2014-09-29,DBRS,A (high),Stable
CHN,2016-03-02,Moody's,Aa3,Negative
CHN,2016-03-31,S&P,AA-,Negative
CHN,2017-05-24,Moody's,A1,Stable
