Date,Country,Rating
1981-03-01,DNK,AAA
1981-04-01,DNK,AAA
1981-05-01,DNK,AAA
1981-06-01,DNK,AAA
1981-07-01,DNK,AAA
1981-08-01,DNK,AAA
1981-09-01,DNK,AAA
1981-10-01,DNK,AAA
1981-11-01,DNK,AAA
1981-12-01,DNK,AAA
1982-01-01,DNK,AAA
1982-02-01,DNK,AAA
1982-03-01,DNK,AAA
1982-04-01,DNK,AAA
1982-05-01,DNK,AAA
1982-06-01,DNK,AAA
1982-07-01,DNK,AAA
1982-08-01,DNK,AAA
1982-09-01,DNK,AAA
1982-10-01,DNK,AAA
1982-11-01,DNK,AAA
1982-12-01,DNK,AAA
1983-01-01,DNK,AA+
1983-02-01,DNK,AA+
1983-03-01,DNK,AA+
1983-04-01,DNK,AA+
1983-05-01,DNK,AA+
1983-06-01,DNK,AA+
1983-07-01,DNK,AA+
1983-08-01,DEU,AAA
1983-08-01,DNK,AA+
1983-09-01,DEU,AAA
1983-09-01,DNK,AA+
1983-10-01,DEU,AAA
1983-10-01,DNK,AA+
1983-11-01,DEU,AAA
1983-11-01,DNK,AA+
1983-12-01,DEU,AAA
1983-12-01,DNK,AA+
1984-01-01,DEU,AAA
1984-01-01,DNK,AA+
1984-02-01,DEU,AAA
1984-02-01,DNK,AA+
1984-03-01,DEU,AAA
1984-03-01,DNK,AA+
1984-04-01,DEU,AAA
1984-04-01,DNK,AA+
1984-05-01,DEU,AAA
1984-05-01,DNK,AA+
1984-06-01,DEU,AAA
1984-06-01,DNK,AA+
1984-07-01,DEU,AAA
1984-07-01,DNK,AA+
1984-08-01,DEU,AAA
1984-08-01,DNK,AA+
1984-09-01,DEU,AAA
1984-09-01,DNK,AA+
1984-10-01,DEU,AAA
1984-10-01,DNK,AA+
1984-11-01,DEU,AAA
1984-11-01,DNK,AA+
1984-12-01,DEU,AAA
1984-12-01,DNK,AA+
1985-01-01,DEU,AAA
1985-01-01,DNK,AA+
1985-02-01,DEU,AAA
1985-02-01,DNK,AA+
1985-03-01,DEU,AAA
1985-03-01,DNK,AA+
1985-04-01,DEU,AAA
1985-04-01,DNK,AA+
1985-05-01,DEU,AAA
1985-05-01,DNK,AA+
1985-06-01,DEU,AAA
1985-06-01,DNK,AA+
1985-07-01,DEU,AAA
1985-07-01,DNK,AA+
1985-08-01,DEU,AAA
1985-08-01,DNK,AA+
1985-09-01,DEU,AAA
1985-09-01,DNK,AA+
1985-10-01,DEU,AAA
1985-10-01,DNK,AA+
1985-11-01,DEU,AAA
1985-11-01,DNK,AA+
1985-12-01,DEU,AAA
1985-12-01,DNK,AA+
1986-01-01,DEU,AAA
1986-01-01,DNK,AA+
1986-02-01,DEU,AAA
1986-02-01,DNK,AA+
1986-03-01,DEU,AAA
1986-03-01,DNK,AA+
1986-04-01,DEU,AAA
1986-04-01,DNK,AA+
1986-05-01,DEU,AAA
1986-05-01,DNK,AA+
1986-06-01,DEU,AAA
1986-06-01,DNK,AA+
1986-07-01,DEU,AAA
1986-07-01,DNK,AA+
1986-08-01,DEU,AAA
1986-08-01,DNK,AA+
1986-09-01,DEU,AAA
1986-09-01,DNK,AA+
1986-10-01,DEU,AAA
1986-10-01,DNK,AA+
1986-11-01,DEU,AAA
1986-11-01,DNK,AA+
1986-12-01,DEU,AAA
1986-12-01,DNK,AA+
1987-01-01,DEU,AAA
1987-01-01,DNK,AA+
1987-02-01,DEU,AAA
1987-02-01,DNK,AA+
1987-03-01,DEU,AAA
1987-03-01,DNK,AA
1987-04-01,DEU,AAA
1987-04-01,DNK,AA
1987-05-01,DEU,AAA
1987-05-01,DNK,AA
1987-06-01,DEU,AAA
1987-06-01,DNK,AA
1987-07-01,DEU,AAA
1987-07-01,DNK,AA
1987-08-01,DEU,AAA
1987-08-01,DNK,AA
1987-09-01,DEU,AAA
1987-09-01,DNK,AA
1987-10-01,DEU,AAA
1987-10-01,DNK,AA
1987-11-01,DEU,AAA
1987-11-01,DNK,AA
1987-12-01,DEU,AAA
1987-12-01,DNK,AA
1988-01-01,DEU,AAA
1988-01-01,DNK,AA
