,before,after
ln_gdp_per_capita_lag1,1.8583670243028863,0.5557685928119942
wgi_ge_lag1,1.6479376251604207,0.1030950775635728
deficit_to_gdp_lag1,1.2154986043238387,0.3848515318386951
ln_population_lag1,0.5032268120591848,0.08762195316443584
gdp_annual_growth_rate_lag1,0.37176830063827393,0.06313902615920985
mineral_rent_lag1,0.28274592540256216,0.14015312589539938
current_account_balance_lag1,0.26914427493159926,0.07631585851665518
debt_to_gdp_lag1,0.2501235449638894,0.039943846735088884
extreme_change_flag,0.14405791481778552,0.24430280252439462
cpi_yoy_lag1,0.11799087640090478,0.38601360066014434
ln_gross_gdp_lag1,0.015628910445996746,0.2524413289645865
