iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
AUS,1996,-0.9306316611306042,63.544201076693,63.3849814772652,
AUT,1996,-0.9496195787420926,64.932327192483,64.6554767947817,
BEL,1996,-0.18822698930431306,59.0374367151564,58.7687338181403,
BGR,1996,176.37612497254943,49.4077227593758,48.9858233342146,
CAN,1996,-0.2545904387224174,66.206615966895,66.1399241483887,
CHE,1996,-0.5296295108596991,66.4320054743793,66.4124215056993,
DEU,1996,-0.36649975392711454,66.1734469476299,66.1215156509877,
DNK,1996,-0.7469998419104199,66.6273624323748,66.3939722226878,
ESP,1996,-1.746899360596287,58.2086253282079,57.9911471468811,
FIN,1996,-1.2577113715253372,70.1345288522744,70.0372262673983,
FRA,1996,-0.7844978479168211,63.3814242430483,63.2409750220781,
GBR,1996,-0.2149950608963751,67.7431000018724,67.6263045415071,
GRC,1996,1.1703295768200066,52.2301514127517,51.9998988091484,
IND,1996,0.4621166600263553,38.9183690093112,38.8226270201253,
IRL,1996,-0.7037154249494378,59.1964402865379,59.0511143684674,
ITA,1996,-1.5019010031111235,53.8237462151899,53.8766492120808,
JPN,1996,-0.05271710822065767,60.0119213402824,59.8802669083378,
LUX,1996,-1.1554180370377138,62.1985667984759,60.9905238170694,
MLT,1996,-0.7893268572602963,52.4868222641378,52.946145399862,
MYS,1996,0.12616086848273617,48.1669778171696,48.0149335617389,
NAM,1996,1.0395287072402617,43.8308824178161,43.8314106922931,
NLD,1996,-0.24854300445321953,64.8227811535915,64.4528441415378,
NOR,1996,-0.2578737227205488,70.5159878945591,70.2228293964599,
NZL,1996,0.4487952011466909,67.0711904881997,66.9689104419889,
PAK,1996,-0.9613105774685015,36.380323579252,36.361079479551,
PRT,1996,-2.235782136258631,54.1364579052831,53.8145827983491,
SVK,1996,-1.5989693575947528,50.3007106008551,50.649019538216,
SWE,1996,-1.5688007367118024,66.6547330832393,66.5514864335874,
THA,1996,-1.042340146165217,44.1856848968592,44.1912848384273,
