fold,year_holdout,n_train_total,n_test_total,n_train_valid,n_test_valid,used,reason,n_kept
0,1995,1505,30,1318,27,True,,27
1,1996,1503,32,1316,29,True,,29
2,1997,1501,34,1314,31,True,,31
3,1998,1499,36,1312,33,True,,33
4,1999,1497,38,1310,35,True,,35
5,2000,1495,40,1308,37,True,,37
6,2001,1493,42,1306,39,True,,39
7,2002,1491,44,1304,41,True,,41
8,2003,1489,46,1304,41,True,,41
9,2004,1488,47,1303,42,True,,42
10,2005,1487,48,1302,43,True,,43
11,2006,1487,48,1302,43,True,,43
12,2007,1484,51,1300,45,True,,45
13,2008,1481,54,1297,48,True,,48
14,2009,1480,55,1296,49,True,,49
15,2010,1478,57,1294,51,True,,51
16,2011,1479,56,1295,50,True,,50
17,2012,1472,63,1290,55,True,,55
18,2013,1471,64,1290,55,True,,55
19,2014,1471,64,1290,55,True,,55
20,2015,1470,65,1290,55,True,,55
21,2016,1471,64,1290,55,True,,55
22,2017,1471,64,1290,55,True,,55
23,2018,1470,65,1290,55,True,,55
24,2019,1470,65,1281,55,True,,55
25,2020,1470,65,1290,55,True,,55
26,2021,1469,66,1290,55,True,,55
27,2022,1469,66,1290,55,True,,55
28,2023,1469,66,1290,55,True,,55
