,u_all,v_all,groups
0,-19.253481137080588,-1.1487424182466568,AUS
1,-20.177393654013,-0.44258688080295316,AUT
2,-19.897071931434137,0.2507115366161572,BEL
3,28.092151795252718,0.16631803358938457,BGR
4,-19.58731012728531,0.4745009911326705,CAN
5,-21.248940833224243,-1.302527617985079,CHE
6,-20.162792407946778,0.13425268826332948,DEU
7,-18.928578111389086,-1.9569837630034086,DNK
8,-16.764439574194444,0.4790555041646942,ESP
9,-18.510568319846477,-0.562393120844622,FIN
10,-19.691485200432354,0.049194648408941166,FRA
11,-19.453220151727297,0.7318574200727554,GBR
12,-14.080412475265081,-0.35976275279954395,GRC
13,-19.6264029256947,-0.4772762752460946,IRL
14,-15.631024931881214,0.7134805685647749,ITA
15,-21.740567193004033,-1.8270801994997767,JPN
16,-20.021128243111114,-2.021856447735989,LUX
17,-5.115477772571273,-2.704818607884479,MLT
18,-1.888940767521104,-1.9585137117107634,MYS
19,-20.205300257025293,0.7588290485053037,NLD
20,-20.46653606616716,-1.5431336967559317,NOR
21,-21.308904826842,-1.7531354142340958,NZL
22,-17.22994607972703,-1.2567313794176767,PRT
23,-19.3473379425722,0.08601193610343527,SVK
24,-17.017075792979547,-1.0520586302359063,SWE
25,-2.2681081879525262,-1.5420151819978343,THA
26,-16.981272591453596,4.169656379513853,ZAF
1000000,-0.5438911749412794,-0.9807184752672606,AUS
1000001,-2.0946820008241755,-2.290814218426164,AUT
1000002,0.23987540668135848,-1.4651726350545464,BEL
1000003,174.7133646071732,0.8010638205668075,BGR
1000004,0.110128195605529,-0.7546911911359904,CAN
1000005,-0.5612594252935899,-2.7908108767116087,CHE
1000006,-0.4930994601669102,-2.1207654209973774,DEU
1000007,-1.9191942086424387,-3.576951471987954,DNK
1000008,-1.5528628602915688,-0.7968676726935944,ESP
1000009,-1.2972134130368076,-1.5102399682888992,FIN
1000010,0.10181320909156716,-0.5273588422297633,FRA
1000011,0.6793291900429449,-0.8804827966442412,GBR
1000012,0.30455885080360634,-1.2884689785151595,GRC
1000013,-2.300521408988437,-0.29141288228379425,IRL
1000014,-0.5223317785532142,-1.0730685745010282,ITA
1000015,0.3955134548871424,-1.416066003782742,JPN
1000016,-1.8487050076259837,-0.4085675441210288,LUX
1000017,-1.5525077918726398,-0.9231803614598046,MLT
1000018,0.857301963608259,-2.2620188899089917,MYS
1000019,0.004009425629799945,-1.0175511433320472,NLD
1000020,-0.7639029223637375,-1.228144876094174,NOR
1000021,0.21432345924143553,-2.4510453096497846,NZL
1000022,-2.6398395530932417,0.5227710242139805,PHL
1000023,-2.405369557074327,-3.102593787492952,PRT
1000024,-5.0126648453340765,-3.0254043412406912,RUS
1000025,-2.7153775061038137,0.1933053831261442,SVK
1000026,-0.9465361343729031,-2.6681877362106574,SWE
1000027,-0.7940337988244841,-0.7173282616564793,THA
1000028,0.4904286291439157,-0.745058488079331,ZAF
2000000,-0.7904959534612575,-1.9991786816272914,AUS
2000001,-0.3128681717453305,-1.5439377496292561,AUT
2000002,-0.5026291507153264,-2.0185319428265247,BEL
2000003,101.96987106356374,1.4378489117322788,BGR
2000004,-0.7604441089504698,-0.6417228367378023,CAN
2000005,-0.7792666476052926,-2.726430398493373,CHE
2000006,-3.299703635013066,0.851250894297154,CYP
2000007,-0.3677990168582216,-1.726691247158502,DEU
2000008,-0.09955329443906608,-3.857301383857052,DNK
2000009,-1.846214041077718,-0.2707324995779641,ESP
2000010,-0.36842826009287033,-1.9266068465811588,FIN
2000011,-0.6028629747241755,-1.2408119791089454,FRA
2000012,-0.035102705141748736,0.1375476253482215,GBR
2000013,-2.0470197560543877,-0.16044024681409774,GRC
2000014,-0.712277405848547,-0.34235481002476487,IRL
2000015,-1.8718636412149665,-1.2515789038250733,ITA
2000016,-0.3198345358384078,-2.7733546583202937,JPN
2000017,-0.5721233211663677,-2.0079272814244127,LTU
2000018,-0.6117554249765255,-0.9746110938613111,LUX
2000019,0.9784897281673824,-1.0287117234715075,MLT
2000020,0.03671426284941576,-2.0303878517579745,MYS
2000021,-0.09951086216137518,-0.9306942431651628,NLD
2000022,-0.8187391210052881,-1.0551286244942744,NOR
2000023,-0.6166503502698283,-3.22784585609405,NZL
2000024,-0.881791164094019,-0.007956669479272427,PHL
2000025,-1.6324722478388662,-2.1795923974969877,PRT
2000026,-2.1980391844152507,-4.613559962103066,RUS
2000027,10.787038585856802,-0.3535075300284096,SVK
2000028,-1.0757018332981676,-3.161140848093947,SWE
2000029,-0.4177949834536161,-1.191302287101452,THA
2000030,-0.14427088094349383,1.5580392889375019,ZAF
3000000,-0.3704293360941253,-0.7740505902153538,AUS
3000001,-0.009697275636143012,-1.0393326682686839,AUT
3000002,0.09630022029472066,-0.8630186883563704,BEL
3000003,-104.69031373196938,16.297397604806175,BGR
3000004,0.17744384982172123,-0.819733109125035,CAN
3000005,0.76838511202567,-1.6526851377247982,CHE
3000006,0.8191900033769746,-0.6030628876232336,CYP
3000007,-0.446581051250482,-1.2137686968527561,DEU
3000008,-0.1827744024865855,-2.4091836635331045,DNK
3000009,-0.3147225078049027,-0.4924973479640325,ESP
3000010,-0.0384292611058587,-0.9555309675674328,FIN
3000011,0.0822926838631721,-0.06447858588661726,FRA
3000012,-0.2496981535473604,-1.2390721192124408,GBR
3000013,-0.6976305486882095,-0.6319610747107127,GRC
3000014,-0.5501708636740449,0.018521771334163883,IRL
3000015,-0.7677242935529125,-0.7427201407671087,ITA
3000016,-0.43430552287315305,-0.13150148623083435,JPN
3000017,2.2166029532976,-0.14387101513137246,LTU
3000018,0.16156036657026912,0.1402851029722223,LUX
3000019,1.8620095424994263,0.21627819537409554,LVA
3000020,1.1142166911538005,-0.8082167611931963,MLT
3000021,1.5119323275183278,-2.426183001680628,MYS
3000022,0.1256264494943468,-0.28947059121533325,NLD
3000023,0.19444935131812993,-0.7866460128661807,NOR
3000024,0.20059537293558188,-2.2808561652040282,NZL
3000025,6.736718995677569,0.3015479038762072,PHL
3000026,-0.571649994748846,-2.0818234987347246,PRT
3000027,15.655394979092065,-3.619020108127706,RUS
3000028,-5.682581185226637,-3.644171196114547,SGP
3000029,11.606473935082064,0.37720702935809003,SVK
3000030,-0.23835572524320578,-1.8351199188494138,SWE
3000031,3.2494016514157407,0.9566454602849319,THA
3000032,1.8354790349130388,-0.7187619587193723,ZAF
4000000,-0.0768509929417536,-0.9234858128633525,AUS
4000001,-0.5963355101395345,-0.5397634601878485,AUT
4000002,-0.4654933208717147,-1.6617241701386507,BEL
4000003,2.4560487480805655,-0.28204930176914633,BGR
4000004,-0.22244488837119258,-0.07197183810403618,CAN
4000005,-0.5871999744227155,-1.6366650154973117,CHE
4000006,-0.059272524236433366,0.23130686055143057,CYP
4000007,-0.3563068226296105,-1.1414971212229528,DEU
4000008,-0.3654767590562785,-2.5251610624528356,DNK
4000009,-0.852585995955603,0.9473726488169436,ESP
4000010,-0.6945647288086481,-0.7985526388653466,FIN
4000011,-0.7117223039891344,-0.6251670374196128,FRA
4000012,-0.7482065717044802,0.3279913414917355,GBR
4000013,-2.8617306521224735,0.8984068729359822,GRC
4000014,-10.94215057713988,2.6401902272217836,HUN
4000015,-0.8559562620551162,-0.5843333062399649,IRL
4000016,-0.7209586088761764,-0.20201049733209198,ITA
4000017,-0.29734751198878584,-1.8797350169538314,JPN
4000018,3.612343685693311,-1.8054382180591309,LTU
4000019,-0.5391928885348164,-1.5851986413671506,LUX
4000020,3.1953826591939274,-1.0047493853764,LVA
4000021,-0.23704397986356615,-1.3111949496882693,MLT
4000022,-0.7419648668993555,-0.4142991410492405,MYS
4000023,-0.5661787313324005,-0.002659353176747814,NLD
4000024,-1.0560766841984743,-0.09998039083516241,NOR
4000025,-0.26891106006035165,-1.7028457356986573,NZL
4000026,1.5127919939812786,0.6104890610574887,PHL
4000027,-10.52662287355681,1.025532763978053,POL
4000028,-1.07718426197324,-1.6548443126255834,PRT
4000029,10.535821148682322,-5.402965647816191,RUS
4000030,-0.9449321072088657,-1.9811176824019503,SGP
4000031,0.7323656954541153,-0.20433697500037118,SVK
4000032,-0.28462852450232007,-1.9448522500607708,SWE
4000033,-2.003295411104298,-0.1806869000517184,THA
4000034,1.2309218879641375,1.5870775662577254,ZAF
5000000,-0.00975408616072898,-0.06581042223403255,AUS
5000001,0.36358672244337514,-0.5695075649004739,AUT
5000002,0.6466571422396437,-0.5866512097347938,BEL
5000003,-0.8352546931362266,-0.35628625495789756,BGR
5000004,-0.15739665967362074,0.10865416074284817,CAN
5000005,0.5108184069064093,-1.1996774393572611,CHE
5000006,0.2322692306579307,-0.23960678620782905,CYP
5000007,-7.266337503921297,-0.37050805641873374,CZE
5000008,0.2242924387610817,-0.8419617613413937,DEU
5000009,0.3463138038748164,-1.6080737200772157,DNK
5000010,0.3263557034026183,0.3619464356333856,ESP
5000011,0.2932581307866976,-0.4707403417079947,FIN
5000012,0.27087974389657693,-0.13744370525229455,FRA
5000013,-0.2762735495268212,-0.506110270506018,GBR
5000014,-0.6063623625601942,-0.41847480732414344,GRC
5000015,-1.176493104743022,1.577555326022973,HUN
5000016,0.24410227553020303,0.4046844105321554,IRL
5000017,0.020582844290663482,-0.08320548782933286,ITA
5000018,-0.7664636492439977,-1.1626182914845464,JPN
5000019,-5.678196282575456,-2.7847167599351486,KOR
5000020,-1.3577468318142336,-0.881750004963934,LTU
5000021,0.5260761781269697,2.3454387823389733,LUX
5000022,-2.6813132035917464,0.6059970356325088,LVA
5000023,-0.22751410474125566,-0.22079351339290054,MLT
5000024,-1.1944878707256965,-0.9310286660131275,MYS
5000025,0.3620137919367708,-0.22610411810818887,NLD
5000026,-0.09444166662595146,0.20396801370422635,NOR
5000027,0.01387432548585138,-0.42878983831939843,NZL
5000028,-0.5072946342107487,0.4718748983348806,PHL
5000029,2.19320118409534,0.4752608681844346,POL
5000030,-0.2183338936688024,-1.8317049006208634,PRT
5000031,-5.595216464499992,-1.0521134215542483,RUS
5000032,-0.43817347599672707,-0.106294139926141,SGP
5000033,-2.6983532068682092,0.7066192773908355,SVK
5000034,-0.08690707609118833,-1.2551151783583794,SWE
5000035,-0.6356731453817199,0.8459153896540292,THA
5000036,-0.39959250581510797,0.12418151531965105,ZAF
6000000,0.4589324968125498,-0.14870242092502162,AUS
6000001,0.8166103167220546,0.6789061459297938,AUT
6000002,0.7880697531917176,-0.3278025817382966,BEL
6000003,-0.8494834746200279,-0.3838089301935781,BGR
6000004,0.7093608991243605,0.046550994554266145,CAN
6000005,0.6974032093660594,-0.5673667767611406,CHE
6000006,1.340773831987103,0.8567090697437467,CYP
6000007,0.09606223531742342,0.016410355870532634,CZE
6000008,0.5558536282182526,-0.35544868205718694,DEU
6000009,0.8271192486210712,-1.2670344730271688,DNK
6000010,0.6612405266478174,1.8272103930530814,ESP
6000011,0.8409167240018188,0.20985878352818776,FIN
6000012,0.6190030507657356,-0.1792402195942966,FRA
6000013,0.749475181082542,0.6411873674675537,GBR
6000014,-0.1970707818015507,1.346377089204283,GRC
6000015,-0.42096880317342716,3.008161309439243,HUN
6000016,0.5216409086797194,-0.256514570803108,IRL
6000017,0.5868081873139561,1.4321733678411288,ITA
6000018,0.28291417489665194,-3.0713030969175503,JPN
6000019,0.9042459772817977,-2.4394343928684705,KOR
6000020,-1.4373339970668166,-1.2878095362656197,LTU
6000021,0.6751219342676488,0.4846904199948896,LUX
6000022,0.4732371201509079,-0.9726370553451265,LVA
6000023,-6.202025474332749,1.8385113540360254,MEX
6000024,1.2563615810791582,1.0544822684752,MLT
6000025,-0.08800398638725104,-0.7055863716208828,MYS
6000026,0.8073456717264227,-0.001657246694193315,NLD
6000027,1.2958000380309154,-0.3466591305377773,NOR
6000028,0.5742396134269852,-0.39722859558463197,NZL
6000029,4.607795298921966,0.16378747898336843,PHL
6000030,0.6900509034064468,-0.011443647587573658,POL
6000031,0.2640509133277471,-1.1045024377277453,PRT
6000032,17.647739671421185,0.485097863325723,ROU
6000033,-2.25919076653776,-1.5933086883997145,RUS
6000034,-0.24376590086471928,-0.7043308038661369,SGP
6000035,-0.3706371353307689,0.0952619493911877,SVK
6000036,0.918538551621505,-0.8524772976865516,SWE
6000037,0.09548299196182652,-0.41081572690384305,THA
6000038,-0.040361267478787835,1.797469799127383,ZAF
7000000,0.6075294119959533,1.3344862177057877,AUS
7000001,0.35933848584203165,-0.2222851866251505,AUT
7000002,0.37151268070405463,0.3902807001890909,BEL
7000003,0.3586500963088124,0.41541151974662727,BGR
7000004,0.33908331769316163,-0.005181566844523422,CAN
7000005,0.22189024806148855,-0.5093700629023199,CHE
7000006,4.409069891880015,-0.7310289932701801,COL
7000007,-0.8485016184209309,0.08725220794642019,CYP
7000008,-1.1947390977230348,0.9592031951410163,CZE
7000009,0.4938395675114944,0.12152478978244852,DEU
7000010,0.5353562425845436,-0.5803929597225812,DNK
7000011,0.2717194633579011,0.70205477439186,ESP
7000012,0.5882071957837282,0.31675793340978275,FIN
7000013,0.5975156629581199,0.493006358669938,FRA
7000014,0.3621226815000806,0.2466785270486498,GBR
7000015,0.485368945849729,0.2301816593929853,GRC
7000016,-0.49097497907369514,2.1633901950048764,HUN
7000017,0.20170620003898215,0.5926575292699847,IRL
7000018,0.3880768447669501,0.707264116506028,ITA
