iso3c,n_obs,sum_contrib,sum_v2,pct_numerator
BGR,28,17246.80741182096,14419.408507862965,1.0133713336913743
BGD,20,45.61460707756095,652.4471459257528,0.002680179241655685
ZMB,16,38.90090701624926,45.77735456359499,0.0022857021061093003
COL,17,19.098527579264047,314.43570849034575,0.0011221729275689102
MLT,28,18.290525289330628,298.0148463078368,0.0010746971056023295
NOR,28,16.22880896523851,939.0616205307756,0.0009535567593834397
PAK,28,15.67161711902577,369.07381196534703,0.0009208178164106343
CIV,5,14.598417381951299,95.92629322522698,0.0008577597777309084
VNM,14,12.61404476469938,33.30182856616899,0.0007411639187021269
TUR,13,11.083187295533916,66.16788640815673,0.0006512152668631594
CHN,16,10.638452414882545,453.7624864122243,0.0006250839621884254
CAN,28,9.683556385365007,411.55270701384336,0.0005689770990535388
KOR,23,9.626532385298157,344.0028646273998,0.0005656265376643884
POL,24,8.836242716168243,273.6841099390942,0.0005191914568470664
NZL,28,8.048626804849928,1121.9265381273433,0.0004729134781214421
IND,28,6.9472833187649305,491.56611559859215,0.0004082017960868119
DEU,28,6.902972886704663,358.9942700541548,0.0004055982463073566
PRT,28,4.906455474204088,280.48087457819486,0.00028828879507193265
IDN,14,3.909868868336125,143.4074779037672,0.00022973231712139996
PHL,27,3.5369467231648164,297.62282492263387,0.0002078205161375101
AUT,28,3.355532188039781,309.6496889441058,0.00019716113524335957
SVK,28,2.9838480473899365,91.20111529383729,0.00017532207573927382
SWE,28,1.3532314776548455,374.18764745174644,7.95118745492765e-05
FRA,28,0.9555181077116045,231.01069418780483,5.6143414607523126e-05
IRL,28,0.9484395718811292,621.5037591730644,5.572750080250235e-05
AUS,28,0.7994257721323064,212.62180890422064,4.697189117666608e-05
ISR,11,0.5243937775415399,125.56329687531894,3.0811825576628335e-05
ISL,19,0.2606906325708939,92.46154103682116,1.5317409634211394e-05
PER,18,0.25176047713372984,105.3984896754018,1.4792700143965235e-05
DNK,28,0.08282419328253005,389.80687835623667,4.866504345094205e-06
CHL,4,0.0461102997700209,3.2704832163582775,2.7093046764602113e-06
MEX,22,-0.07246020586507829,205.91776829759527,-4.257547133431643e-06
JPN,28,-0.5962558166734213,182.88331517659387,-3.503422620405945e-05
SRB,5,-0.9898805376703343,3.0688743047279075,-5.8162449240697475e-05
CHE,28,-1.6955957948967344,255.79822691877598,-9.962818804935974e-05
THA,28,-1.9004355277302254,84.66015325643089,-0.00011166396419609083
FIN,28,-2.3843092757034627,1109.7268560906448,-0.0001400949528198637
LUX,28,-2.5261373133774323,984.413957054746,-0.0001484283483440691
SVN,21,-2.7092092836523465,141.05653122436019,-0.00015918511521976586
HRV,15,-3.3045139568299686,74.89560204381175,-0.00019416345504846003
CYP,26,-3.6495368298350264,517.8347478322186,-0.00021443597741289047
ITA,28,-4.1898046036079,319.61396981563007,-0.0002461805120033003
CZE,23,-4.299720991837498,223.89411748426218,-0.00025263887350030536
ARM,10,-4.357840504849051,782.6095434905202,-0.00025605380398614373
BWA,19,-5.541739338503668,365.12353023167765,-0.0003256161937878614
GBR,28,-5.555106427578076,606.6735268960065,-0.0003264016043603491
NLD,28,-6.354629445711584,317.4789125855861,-0.00037337920942408893
ESP,28,-7.394099465583386,142.44053951619625,-0.0004344553897986496
SGP,25,-7.703999902800054,149.13686907665536,-0.00045266422183782163
HUN,24,-7.884740591632934,57.448545783995826,-0.0004632840095191833
MYS,28,-7.950942504423276,97.16288688414076,-0.00046717383788308603
GRC,28,-8.91207016119637,150.8976890784319,-0.0005236468529829271
EGY,11,-9.942081212730288,40.48858068538485,-0.0005841672523870726
UGA,11,-10.422140471694686,58.76749131861649,-0.0006123741129318371
QAT,11,-10.838547077559305,987.2004617088248,-0.0006368409320634584
LTU,26,-11.164231307003917,69.93049820726088,-0.0006559771729962773
LKA,9,-11.987221100007734,29.04715006337944,-0.0007043336162635133
BEL,28,-12.13136825984019,418.3745490537421,-0.0007128032765385577
BRA,16,-15.962033040625187,163.26189650633177,-0.0009378817960080813
NGA,16,-17.19712094474111,504.0446511647776,-0.001010451904013241
NAM,28,-21.51218775350482,514.0510580242143,-0.00126399245227536
KEN,15,-23.791486486245766,444.40589670572456,-0.001397917296539327
LVA,25,-30.219823239676487,153.4905071736753,-0.0017756273291089767
ROU,22,-31.15259968690352,143.1348501739865,-0.0018304345110871606
ZAF,28,-45.95237290709272,496.0853597498606,-0.0027000253616345856
ARG,8,-79.68059317301919,150.17285344348545,-0.00468179571122937
RUS,27,-82.34242376238022,1687.1569379798875,-0.00483819699466647
