,before,after
wgi_cc,2.2651245009960417,0.8760010663795925
wgi_ge,2.2626614227543533,0.8888624898412907
ln_gdp_per_capita_lag1,2.2117560148186475,0.7931212648801084
deficit_to_gdp_lag1,1.6996908520765004,0.0010486330628597807
wgi_pv,1.3332870343718672,0.47385473359080377
sovereign_spread_lag1,0.7616180674230671,0.31014661275756933
current_account_balance_lag1,0.5907535147810724,0.01813565521895945
debt_to_gdp_lag1,0.3440266544165267,0.11645063264490066
gdp_annual_growth_rate_lag1,0.28615755734989967,0.13164886322792485
cpi_yoy_lag1,0.14299839731274272,0.05989244136427401
