year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,country_mean,gain_diff1,ln_gdp_per_capita,ln_gross_gdp,sovereign_spread_lag1,sovereign_spread_lag2,cpi_yoy_lag1,cpi_yoy_lag2,gdp_annual_growth_rate_lag1,gdp_annual_growth_rate_lag2,ln_gdp_per_capita_lag1,ln_gdp_per_capita_lag2,ln_gross_gdp_lag1,ln_gross_gdp_lag2,debt_to_gdp_lag1,debt_to_gdp_lag2,deficit_to_gdp_lag1,deficit_to_gdp_lag2,current_account_balance_lag1,current_account_balance_lag2,gain_diff3,gain_diff5,gain_substantive_change,gain_diff1_wins,sovereign_spread_lag1_impflag,sovereign_spread_lag2_impflag,cpi_yoy_lag1_impflag,cpi_yoy_lag2_impflag,gdp_annual_growth_rate_lag1_impflag,gdp_annual_growth_rate_lag2_impflag,ln_gdp_per_capita_lag1_impflag,ln_gdp_per_capita_lag2_impflag,debt_to_gdp_lag1_impflag,debt_to_gdp_lag2_impflag,deficit_to_gdp_lag1_impflag,deficit_to_gdp_lag2_impflag,current_account_balance_lag1_impflag,current_account_balance_lag2_impflag,wgi_cc_impflag,wgi_ge_impflag,wgi_pv_impflag,wgi_rl_impflag,wgi_rq_impflag,wgi_va_impflag,gain_impflag
2010,ARG,18.198045454545458,15.60423593073593,,10.0,10412.974,424.729,43.454,5206.218,-0.3819999999999999,0.401211002814394,-0.3552300333976745,-0.1117919459939003,-0.084797866642475,-0.5980942249298096,-0.7429409027099609,0.3616701364517212,46.2990033990143,46.40237204074432,,9.250807807647877,6.051451318482245,,,,,,,,,,,,,,,,,,,False,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2012,ARG,10.867387872228782,9.0795766819282,,-0.8749999999999999,13889.792,579.666,40.436,6944.048,-0.369,0.402684521100847,-0.4459092020988464,-0.2069670110940933,0.1030405461788177,-0.6230342388153076,-0.897686779499054,0.2952099144458771,45.8440545973499,46.40237204074432,-0.45494880166440055,9.53890946083425,6.362452075599256,15.60423593073593,,,,10.0,,9.250807807647877,,6.051451318482245,,43.454,,5206.218,,-0.3819999999999999,,,,False,-0.45494880166440055,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
2013,ARG,8.939225195094762,6.987067718068862,,2.35,14488.829,611.471,43.496,7243.0945,-2.147,0.400681276190246,-0.4343067109584808,-0.2542369663715362,0.0653142631053924,-0.6563286185264587,-0.9281347990036012,0.2769335508346557,45.5120610080099,46.40237204074432,-0.33199358934000145,9.581133217694346,6.415867529636344,9.0795766819282,15.60423593073593,,,-0.8749999999999999,10.0,9.53890946083425,9.250807807647877,6.362452075599256,6.051451318482245,40.436,43.454,6944.048,5206.218,-0.369,-0.3819999999999999,,,False,-0.33199358934000145,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,ARG,10.112927170868348,7.833954106895284,,-2.475,13208.831,563.614,44.697,6602.6655,-1.6290000000000002,0.401533576867251,-0.5497913956642151,-0.1111142933368682,-0.0051218713633716,-0.8666273355484009,-1.0661495923995972,0.3452717661857605,45.0769981298042,46.40237204074432,-0.43506287820569867,9.488640900035104,6.334369620028288,6.987067718068862,9.0795766819282,,,2.35,-0.8749999999999999,9.581133217694346,9.53890946083425,6.415867529636344,6.362452075599256,43.496,40.436,7243.0945,6944.048,-2.147,-0.369,-1.2220052692101007,,False,-0.43506287820569867,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ARG,7.512341128626994,5.376117533021819,,2.6999999999999997,14895.316,642.464,52.56300000000001,7445.449,-2.743,0.4013496800158769,-0.5812652707099915,-0.0494756102561949,0.0087641347199678,-0.7486358880996704,-0.8980223536491394,0.411758154630661,44.8996914763672,46.40237204074432,-0.17730665343700025,9.60880208009522,6.465310784071168,7.833954106895284,6.987067718068862,,,-2.475,2.35,9.488640900035104,9.581133217694346,6.334369620028288,6.415867529636344,44.697,43.496,6602.6655,7243.0945,-1.6290000000000002,-2.147,-0.9443631209827004,,False,-0.17730665343700025,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,ARG,3.203472948760177,1.3619082621754677,,-2.0,12772.868,556.774,53.06,6384.053,-2.7129999999999996,0.402707730093365,-0.2992355525493622,0.2187963724136351,0.1977498978376387,-0.3201595246791839,-0.3475711643695831,0.4932636618614197,46.5120910519626,46.40237204074432,1.612399575595397,9.455078512690466,6.322159412527647,5.376117533021819,7.833954106895284,,,2.6999999999999997,-2.475,9.60880208009522,9.488640900035104,6.465310784071168,6.334369620028288,52.56300000000001,44.697,7445.449,6602.6655,-2.743,-1.6290000000000002,1.0000300439526981,0.21308765294829612,True,1.612399575595397,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ARG,6.4319454769264555,4.101447707469876,,2.8249999999999997,14618.327,643.861,57.028,7307.0495,-4.838,0.403895553808896,-0.3090024590492248,0.1350856125354766,0.1625421643257141,-0.2373120337724684,-0.1964302062988281,0.5287081003189087,46.441575292977,46.40237204074432,-0.07051575898560003,9.590031294471354,6.467482864298553,1.3619082621754677,5.376117533021819,,,-2.0,2.6999999999999997,9.455078512690466,9.60880208009522,6.322159412527647,6.465310784071168,53.06,52.56300000000001,6384.053,7445.449,-2.7129999999999996,-2.743,1.3645771631727968,0.5975206956270966,False,-0.07051575898560003,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ARG,17.805067199400842,14.89435165147305,33.795057517114586,-2.5,11786.433,524.431,85.246,5892.097500000001,-5.164,0.38331499562736,-0.0992739275097847,0.0280606187880039,0.0069098123349248,-0.2193304300308226,-0.1959776282310485,0.5392525792121887,48.315080343066,46.40237204074432,1.8735050500890011,9.374704403226325,6.262313865321564,4.101447707469876,1.3619082621754677,,,2.8249999999999997,-2.0,9.590031294471354,9.455078512690466,6.467482864298553,6.322159412527647,57.028,53.06,7307.0495,6384.053,-4.838,-2.7129999999999996,3.415388866698798,2.8030193350560992,True,1.8735050500890011,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,ARG,27.386041252086475,25.216374285082185,53.59573458414868,-2.0500000000000003,9941.59,446.762,89.83999999999999,4970.5915,-0.781,0.381364588553903,-0.1071162447333335,-0.1207953318953514,-0.0978230908513069,-0.4273604452610016,-0.4530797004699707,0.5708746314048767,48.7207930681477,46.40237204074432,0.405712725081699,9.204482246616973,6.1020260143391205,14.89435165147305,4.101447707469876,33.795057517114586,,-2.5,2.8249999999999997,9.374704403226325,9.590031294471354,6.262313865321564,6.467482864298553,85.246,57.028,5892.097500000001,7307.0495,-5.164,-4.838,2.2087020161851,3.643794938343497,False,0.405712725081699,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,ARM,14.37546807443267,11.647921347767523,,3.825,3732.035,11.121,40.856,1865.7339999999997,-7.297,0.363941116121719,-0.5305334329605103,0.0783172845840454,0.1103851422667503,-0.3408889472484588,0.2351826876401901,-0.5880992412567139,51.7067198309547,54.45808196950359,,8.224708940272668,2.408835212836705,,,,,,,,,,,,,,,,,,,False,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
