,pca_all_pc1,pca_all_pc2,pca_all_pc3
ln_gdp_per_capita_lag1,0.3615031254444622,-0.052765062016572196,0.054813142383475746
gdp_annual_growth_rate_lag1,-0.08077219455843229,0.6937523594369137,-0.07735586456445705
debt_to_gdp_lag1,0.09297435739393693,-0.6662716723722232,0.20447538186200015
deficit_to_gdp_lag1,0.337959552984595,0.06751653273257174,0.30089724770529647
current_account_balance_lag1,0.1390192944541928,0.23785577430950783,0.8599001637806793
wgi_ge_lag1,0.39039961852601635,0.04215704490067541,-0.0666859014332475
wgi_rl_lag1,0.3914311307955517,0.009736538692796497,-0.14419729031744574
wgi_cc_lag1,0.3894270806684621,0.0523975517189296,-0.09397868603847799
wgi_pv_lag1,0.34112716261152154,0.0562500915724438,-0.23053803207820803
wgi_rq_lag1,0.38334410590578394,0.0555889034547451,-0.178925450555232
