iso3,GAIN,date
AFG,-5.91910456569203,1995-01-01
AFG,-5.92755984885468,1996-01-01
AFG,-5.7138219848275,1997-01-01
AFG,-5.40922772798456,1998-01-01
AFG,-5.52512695701302,1999-01-01
AFG,-5.63707540402387,2000-01-01
AFG,-5.47917266272817,2001-01-01
AFG,-5.41071902985544,2002-01-01
AFG,-5.21927445777978,2003-01-01
AFG,-5.3533331163222,2004-01-01
AFG,-8.7048596837732,2005-01-01
AFG,-10.2300701729419,2006-01-01
AFG,-10.7197631689339,2007-01-01
AFG,-11.0238509658859,2008-01-01
AFG,-10.7386156226425,2009-01-01
AFG,-10.5558330234472,2010-01-01
AFG,-11.2321065108752,2011-01-01
AFG,-10.33321127144,2012-01-01
AFG,-10.5548953952062,2013-01-01
AFG,-9.69817265842528,2014-01-01
AFG,-9.46916593601421,2015-01-01
AFG,-9.33408224394465,2016-01-01
AFG,-9.93836334298755,2017-01-01
AFG,-10.1566360565347,2018-01-01
AFG,-9.46914276480624,2019-01-01
AFG,-9.64361497558397,2020-01-01
AFG,-8.3780921830657,2021-01-01
AFG,-8.56991560855915,2022-01-01
AFG,-8.47226446559236,2023-01-01
AGO,-7.25513123639691,1995-01-01
AGO,-7.39409036346583,1996-01-01
AGO,-7.47628375841082,1997-01-01
AGO,-7.52451058973973,1998-01-01
AGO,-7.56662300443156,1999-01-01
AGO,-7.6337843443431,2000-01-01
AGO,-7.57319446362734,2001-01-01
AGO,-7.41788745870506,2002-01-01
AGO,-7.92091630925787,2003-01-01
AGO,-8.02720418261968,2004-01-01
AGO,-8.8094335698831,2005-01-01
AGO,-10.5290717841084,2006-01-01
AGO,-10.554621206401,2007-01-01
AGO,-10.6614170906443,2008-01-01
AGO,-10.8561036286054,2009-01-01
AGO,-11.5689855097509,2010-01-01
AGO,-11.6252711360328,2011-01-01
AGO,-10.9657918426298,2012-01-01
AGO,-10.7793655073528,2013-01-01
AGO,-11.5128060325771,2014-01-01
AGO,-11.3243542781873,2015-01-01
AGO,-10.1121423918666,2016-01-01
AGO,-9.8530887787409,2017-01-01
AGO,-9.09918206917614,2018-01-01
AGO,-8.4965685636252,2019-01-01
AGO,-7.5667809533857,2020-01-01
AGO,-6.62929781131288,2021-01-01
AGO,-6.52856414950776,2022-01-01
AGO,-6.42374177105997,2023-01-01
ALB,-0.0145469276345906,1995-01-01
ALB,-0.152038127730997,1996-01-01
ALB,-0.0973229625242666,1997-01-01
ALB,-0.44686251735488,1998-01-01
ALB,-0.692801500510406,1999-01-01
ALB,-0.486999870715145,2000-01-01
ALB,-0.640650696879817,2001-01-01
ALB,-0.572006661993676,2002-01-01
ALB,-0.639977994037864,2003-01-01
ALB,0.0374413297196412,2004-01-01
ALB,-0.482473343506413,2005-01-01
ALB,-1.48887550074301,2006-01-01
ALB,-1.29622060947257,2007-01-01
ALB,-0.836939188795675,2008-01-01
ALB,-0.0355372101314373,2009-01-01
ALB,0.212127982105862,2010-01-01
ALB,-0.345494968065587,2011-01-01
ALB,0.0486852434642628,2012-01-01
ALB,0.528138560159007,2013-01-01
ALB,1.73701006859049,2014-01-01
ALB,2.37361706724376,2015-01-01
ALB,2.10220687644199,2016-01-01
ALB,1.78757608725341,2017-01-01
ALB,1.71025591935998,2018-01-01
ALB,1.36245245131381,2019-01-01
ALB,1.79617390383597,2020-01-01
ALB,1.88283530628424,2021-01-01
ALB,1.51884116656722,2022-01-01
ALB,1.22260336792437,2023-01-01
AND,,1995-01-01
AND,,1996-01-01
AND,,1997-01-01
AND,,1998-01-01
AND,,1999-01-01
AND,,2000-01-01
AND,,2001-01-01
AND,,2002-01-01
AND,,2003-01-01
AND,,2004-01-01
AND,,2005-01-01
AND,,2006-01-01
AND,,2007-01-01
AND,,2008-01-01
AND,,2009-01-01
AND,,2010-01-01
AND,,2011-01-01
AND,,2012-01-01
AND,,2013-01-01
AND,,2014-01-01
AND,,2015-01-01
AND,,2016-01-01
AND,,2017-01-01
AND,,2018-01-01
AND,,2019-01-01
AND,,2020-01-01
AND,,2021-01-01
AND,,2022-01-01
AND,,2023-01-01
ARE,-29.2330480562588,1995-01-01
ARE,-29.5369018727008,1996-01-01
ARE,-29.8676266478861,1997-01-01
ARE,-27.4381319524112,1998-01-01
ARE,-26.1734291486474,1999-01-01
ARE,-27.7590592654767,2000-01-01
ARE,-24.6613342062811,2001-01-01
ARE,-21.8581475433055,2002-01-01
ARE,-24.4511224326442,2003-01-01
ARE,-25.8668066220699,2004-01-01
ARE,-26.3780032625552,2005-01-01
ARE,-26.7581058563267,2006-01-01
ARE,-23.778232134531,2007-01-01
ARE,-21.1006258171093,2008-01-01
ARE,-18.1917800023305,2009-01-01
ARE,-16.7935665117166,2010-01-01
ARE,-17.4604344191109,2011-01-01
ARE,-16.808960338884,2012-01-01
ARE,-14.6541342402602,2013-01-01
ARE,-13.6532270866412,2014-01-01
ARE,-8.93378139116857,2015-01-01
ARE,-7.71440384184198,2016-01-01
ARE,-7.63786859653498,2017-01-01
ARE,-10.18614636583,2018-01-01
ARE,-10.8710141265141,2019-01-01
ARE,-5.78558470568508,2020-01-01
